живое время (секунд) 5441,60
кэВ    набор
1  1.08000000000000E+0002
2  1.19500000000000E+0002
3  1.31000000000000E+0002
4  1.38000000000000E+0002
5  1.27000000000000E+0002
6  1.41000000000000E+0002
7  1.42500000000000E+0002
8  1.44000000000000E+0002
9  1.50000000000000E+0002
10  1.57000000000000E+0002
11  1.58500000000000E+0002
12  1.60000000000000E+0002
13  1.60000000000000E+0002
14  1.39000000000000E+0002
15  1.28500000000000E+0002
16  1.18000000000000E+0002
17  1.11000000000000E+0002
18  9.50000000000000E+0001
19  9.95000000000000E+0001
20  1.04000000000000E+0002
21  1.17000000000000E+0002
22  1.15000000000000E+0002
23  1.03500000000000E+0002
24  9.20000000000000E+0001
25  1.06000000000000E+0002
26  1.03000000000000E+0002
27  1.07500000000000E+0002
28  1.12000000000000E+0002
29  1.11000000000000E+0002
30  8.80000000000000E+0001
31  9.60000000000000E+0001
32  9.60000000000000E+0001
33  9.60000000000000E+0001
34  1.13000000000000E+0002
35  1.31000000000000E+0002
36  1.26500000000000E+0002
37  1.22000000000000E+0002
38  1.18000000000000E+0002
39  1.25000000000000E+0002
40  1.31500000000000E+0002
41  1.38000000000000E+0002
42  1.44000000000000E+0002
43  1.74000000000000E+0002
44  1.96500000000000E+0002
45  2.19000000000000E+0002
46  2.41000000000000E+0002
47  2.74000000000000E+0002
48  3.29500000000000E+0002
49  3.85000000000000E+0002
50  4.47000000000000E+0002
51  5.76000000000000E+0002
52  6.50500000000000E+0002
53  7.25000000000000E+0002
54  8.43000000000000E+0002
55  1.01600000000000E+0003
56  1.10600000000000E+0003
57  1.19600000000000E+0003
58  1.36300000000000E+0003
59  1.52500000000000E+0003
60  1.73700000000000E+0003
61  1.76850000000000E+0003
62  1.80000000000000E+0003
63  2.07900000000000E+0003
64  2.33600000000000E+0003
65  2.40800000000000E+0003
66  2.48000000000000E+0003
67  2.66300000000000E+0003
68  2.85300000000000E+0003
69  2.96800000000000E+0003
70  3.08300000000000E+0003
71  3.05800000000000E+0003
72  3.26200000000000E+0003
73  3.30050000000000E+0003
74  3.33900000000000E+0003
75  3.33800000000000E+0003
76  3.34000000000000E+0003
77  3.33400000000000E+0003
78  3.32800000000000E+0003
79  3.29400000000000E+0003
80  3.38300000000000E+0003
81  3.34500000000000E+0003
82  3.30700000000000E+0003
83  3.40100000000000E+0003
84  3.41700000000000E+0003
85  3.42350000000000E+0003
86  3.43000000000000E+0003
87  3.48500000000000E+0003
88  3.49400000000000E+0003
89  3.37200000000000E+0003
90  3.39300000000000E+0003
91  3.41400000000000E+0003
92  3.33600000000000E+0003
93  3.44100000000000E+0003
94  3.42450000000000E+0003
95  3.40800000000000E+0003
96  3.54100000000000E+0003
97  3.59300000000000E+0003
98  3.60300000000000E+0003
99  3.61300000000000E+0003
100  3.64100000000000E+0003
101  3.70900000000000E+0003
102  3.73650000000000E+0003
103  3.76400000000000E+0003
104  3.81100000000000E+0003
105  3.74200000000000E+0003
106  3.81850000000000E+0003
107  3.89500000000000E+0003
108  3.91800000000000E+0003
109  4.03800000000000E+0003
110  4.05550000000000E+0003
111  4.07300000000000E+0003
112  4.09600000000000E+0003
113  4.13700000000000E+0003
114  4.21700000000000E+0003
115  4.29700000000000E+0003
