живое время (секунд) 886,72
кэВ    набор
1  3.10000000000000E+0001
2  2.95000000000000E+0001
3  2.80000000000000E+0001
4  3.10000000000000E+0001
5  3.20000000000000E+0001
6  3.20000000000000E+0001
7  2.95000000000000E+0001
8  2.70000000000000E+0001
9  3.70000000000000E+0001
10  3.20000000000000E+0001
11  3.55000000000000E+0001
12  3.90000000000000E+0001
13  4.00000000000000E+0001
14  3.30000000000000E+0001
15  3.45000000000000E+0001
16  3.60000000000000E+0001
17  2.60000000000000E+0001
18  4.20000000000000E+0001
19  4.00000000000000E+0001
20  3.80000000000000E+0001
21  3.00000000000000E+0001
22  2.90000000000000E+0001
23  2.75000000000000E+0001
24  2.60000000000000E+0001
25  3.00000000000000E+0001
26  2.00000000000000E+0001
27  2.85000000000000E+0001
28  3.70000000000000E+0001
29  2.80000000000000E+0001
30  2.30000000000000E+0001
31  3.50000000000000E+0001
32  3.35000000000000E+0001
33  3.20000000000000E+0001
34  3.00000000000000E+0001
35  2.80000000000000E+0001
36  2.70000000000000E+0001
37  2.60000000000000E+0001
38  3.40000000000000E+0001
39  3.60000000000000E+0001
40  3.75000000000000E+0001
41  3.90000000000000E+0001
42  5.00000000000000E+0001
43  6.40000000000000E+0001
44  6.45000000000000E+0001
45  6.50000000000000E+0001
46  8.90000000000000E+0001
47  1.27000000000000E+0002
48  1.40000000000000E+0002
49  1.53000000000000E+0002
50  1.74000000000000E+0002
51  2.29000000000000E+0002
52  2.45500000000000E+0002
53  2.62000000000000E+0002
54  3.00000000000000E+0002
55  4.34000000000000E+0002
56  4.60000000000000E+0002
57  4.86000000000000E+0002
58  5.19000000000000E+0002
59  5.66000000000000E+0002
60  6.68000000000000E+0002
61  6.83500000000000E+0002
62  6.99000000000000E+0002
63  7.40000000000000E+0002
64  7.91000000000000E+0002
65  8.55500000000000E+0002
66  9.20000000000000E+0002
67  9.27000000000000E+0002
68  1.00400000000000E+0003
69  1.00350000000000E+0003
70  1.00300000000000E+0003
71  1.07900000000000E+0003
72  1.14900000000000E+0003
73  1.13250000000000E+0003
74  1.11600000000000E+0003
75  1.12400000000000E+0003
76  1.09900000000000E+0003
77  1.10350000000000E+0003
78  1.10800000000000E+0003
79  1.10400000000000E+0003
80  1.16800000000000E+0003
81  1.12150000000000E+0003
82  1.07500000000000E+0003
83  1.06800000000000E+0003
84  1.07000000000000E+0003
85  1.08250000000000E+0003
86  1.09500000000000E+0003
87  1.03900000000000E+0003
88  1.03700000000000E+0003
89  9.99000000000000E+0002
90  1.02400000000000E+0003
91  1.04900000000000E+0003
92  9.84000000000000E+0002
93  1.02200000000000E+0003
94  1.02500000000000E+0003
95  1.02800000000000E+0003
96  1.00400000000000E+0003
97  1.01800000000000E+0003
98  1.03550000000000E+0003
99  1.05300000000000E+0003
100  1.08500000000000E+0003
101  9.79000000000000E+0002
102  1.01250000000000E+0003
103  1.04600000000000E+0003
104  1.09500000000000E+0003
105  1.03300000000000E+0003
106  1.07150000000000E+0003
107  1.11000000000000E+0003
108  1.10100000000000E+0003
109  1.07900000000000E+0003
110  1.11800000000000E+0003
111  1.15700000000000E+0003
112  1.08700000000000E+0003
113  1.15800000000000E+0003
114  1.13450000000000E+0003
115  1.11100000000000E+0003
116  1.22300000000000E+0003
117  1.17200000000000E+0003
118  1.18100000000000E+0003
119  1.19400000000000E+0003
120  1.20700000000000E+0003
