живое время (секунд) 3192,70
кэВ    набор
1  7.60000000000000E+0001
2  7.70000000000000E+0001
3  7.80000000000000E+0001
4  7.60000000000000E+0001
5  8.20000000000000E+0001
6  7.90000000000000E+0001
7  7.80000000000000E+0001
8  7.70000000000000E+0001
9  6.90000000000000E+0001
10  7.20000000000000E+0001
11  7.65000000000000E+0001
12  8.10000000000000E+0001
13  7.80000000000000E+0001
14  6.90000000000000E+0001
15  7.00000000000000E+0001
16  7.10000000000000E+0001
17  6.50000000000000E+0001
18  6.70000000000000E+0001
19  6.65000000000000E+0001
20  6.60000000000000E+0001
21  5.40000000000000E+0001
22  6.20000000000000E+0001
23  6.60000000000000E+0001
24  7.00000000000000E+0001
25  5.10000000000000E+0001
26  6.00000000000000E+0001
27  6.15000000000000E+0001
28  6.30000000000000E+0001
29  4.80000000000000E+0001
30  6.40000000000000E+0001
31  4.70000000000000E+0001
32  4.95000000000000E+0001
33  5.20000000000000E+0001
34  3.90000000000000E+0001
35  4.90000000000000E+0001
36  5.20000000000000E+0001
37  5.50000000000000E+0001
38  3.60000000000000E+0001
39  4.70000000000000E+0001
40  4.75000000000000E+0001
41  4.80000000000000E+0001
42  3.80000000000000E+0001
43  5.80000000000000E+0001
44  6.05000000000000E+0001
45  6.30000000000000E+0001
46  7.70000000000000E+0001
47  8.30000000000000E+0001
48  9.70000000000000E+0001
49  1.11000000000000E+0002
50  1.58000000000000E+0002
51  1.50000000000000E+0002
52  1.81500000000000E+0002
53  2.13000000000000E+0002
54  2.48000000000000E+0002
55  3.05000000000000E+0002
56  3.01000000000000E+0002
57  2.97000000000000E+0002
58  3.94000000000000E+0002
59  4.11000000000000E+0002
60  4.72000000000000E+0002
61  5.09500000000000E+0002
62  5.47000000000000E+0002
63  5.83000000000000E+0002
64  6.40000000000000E+0002
65  6.39500000000000E+0002
66  6.39000000000000E+0002
67  7.87000000000000E+0002
68  8.37000000000000E+0002
69  8.60500000000000E+0002
70  8.84000000000000E+0002
71  8.48000000000000E+0002
72  9.78000000000000E+0002
73  9.68000000000000E+0002
74  9.58000000000000E+0002
75  9.72000000000000E+0002
76  9.76000000000000E+0002
77  9.29500000000000E+0002
78  8.83000000000000E+0002
79  8.60000000000000E+0002
80  9.10000000000000E+0002
81  8.65500000000000E+0002
82  8.21000000000000E+0002
83  9.01000000000000E+0002
84  8.43000000000000E+0002
85  8.57000000000000E+0002
86  8.71000000000000E+0002
87  7.97000000000000E+0002
88  8.04000000000000E+0002
89  8.04000000000000E+0002
90  8.11500000000000E+0002
91  8.19000000000000E+0002
92  7.60000000000000E+0002
93  7.56000000000000E+0002
94  7.27000000000000E+0002
95  6.98000000000000E+0002
96  7.92000000000000E+0002
97  7.65000000000000E+0002
98  7.53000000000000E+0002
99  7.41000000000000E+0002
100  7.97000000000000E+0002
101  8.22000000000000E+0002
102  8.15000000000000E+0002
103  8.08000000000000E+0002
104  8.11000000000000E+0002
105  8.17000000000000E+0002
106  8.01500000000000E+0002
107  7.86000000000000E+0002
108  8.63000000000000E+0002
109  8.79000000000000E+0002
110  8.83000000000000E+0002
111  8.87000000000000E+0002
112  8.59000000000000E+0002
113  9.05000000000000E+0002
114  8.80500000000000E+0002
115  8.56000000000000E+0002
116  8.94000000000000E+0002
117  8.75000000000000E+0002
118  9.19000000000000E+0002
119  8.79500000000000E+0002
120  8.40000000000000E+0002
121  8.56000000000000E+0002
122  8.85000000000000E+0002
123  8.99500000000000E+0002
124  9.14000000000000E+0002
125  8.52000000000000E+0002
126  8.86000000000000E+0002
127  9.16500000000000E+0002
128  9.47000000000000E+0002
129  8.80000000000000E+0002
130  9.13000000000000E+0002
131  9.16500000000000E+0002
132  9.20000000000000E+0002
133  9.47000000000000E+0002
134  9.36000000000000E+0002
135  9.44000000000000E+0002
136  9.52000000000000E+0002
137  9.56000000000000E+0002
138  9.35000000000000E+0002
139  9.44500000000000E+0002
140  9.54000000000000E+0002
141  9.73000000000000E+0002
142  9.42000000000000E+0002
143  9.51500000000000E+0002
144  9.61000000000000E+0002
145  9.78000000000000E+0002
146  1.00500000000000E+0003
147  9.59000000000000E+0002
148  9.68500000000000E+0002
149  9.78000000000000E+0002
150  9.97000000000000E+0002
151  9.35000000000000E+0002
152  9.67000000000000E+0002
153  9.99000000000000E+0002
154  9.69000000000000E+0002
155  9.55000000000000E+0002
156  9.60500000000000E+0002
157  9.66000000000000E+0002
158  9.34000000000000E+0002
159  9.65000000000000E+0002
160  9.57000000000000E+0002
161  9.49000000000000E+0002
162  9.87000000000000E+0002
163  8.66000000000000E+0002
164  9.02500000000000E+0002
165  9.39000000000000E+0002
166  8.97000000000000E+0002
167  8.90000000000000E+0002
168  8.86500000000000E+0002
169  8.83000000000000E+0002
170  8.36000000000000E+0002
171  7.87000000000000E+0002
172  8.19000000000000E+0002
173  8.51000000000000E+0002
174  8.26000000000000E+0002
175  7.78000000000000E+0002
176  7.69000000000000E+0002
177  7.75500000000000E+0002
178  7.82000000000000E+0002
179  7.36000000000000E+0002
180  7.85000000000000E+0002
181  7.75500000000000E+0002
182  7.66000000000000E+0002
183  7.49000000000000E+0002
184  7.64000000000000E+0002
185  7.61000000000000E+0002
186  7.58000000000000E+0002
187  7.50000000000000E+0002
188  7.14000000000000E+0002
189  7.16500000000000E+0002
190  7.19000000000000E+0002
191  7.28000000000000E+0002
192  7.10000000000000E+0002
193  7.14500000000000E+0002
194  7.19000000000000E+0002
195  6.63000000000000E+0002
196  7.19000000000000E+0002
197  6.94000000000000E+0002
198  6.69000000000000E+0002
199  6.36000000000000E+0002
200  6.38000000000000E+0002
201  6.35500000000000E+0002
202  6.33000000000000E+0002
203  5.92000000000000E+0002
204  6.16000000000000E+0002
205  6.30000000000000E+0002
206  6.24000000000000E+0002
207  6.18000000000000E+0002
208  6.35000000000000E+0002
209  5.79000000000000E+0002
210  5.71500000000000E+0002
211  5.64000000000000E+0002
212  5.88000000000000E+0002
213  5.77000000000000E+0002
214  5.69500000000000E+0002
215  5.62000000000000E+0002
216  5.99000000000000E+0002
217  5.33000000000000E+0002
218  5.51500000000000E+0002
219  5.70000000000000E+0002
220  5.95000000000000E+0002
221  5.75000000000000E+0002
222  5.62500000000000E+0002
223  5.50000000000000E+0002
224  5.64000000000000E+0002
225  5.61000000000000E+0002
226  5.48500000000000E+0002
227  5.36000000000000E+0002
228  5.00000000000000E+0002
229  5.67000000000000E+0002
230  5.52000000000000E+0002
231  5.37000000000000E+0002
232  5.20000000000000E+0002
