живое время (секунд) 4723,30
кэВ    набор
1  8.10000000000000E+0001
2  8.95000000000000E+0001
3  9.80000000000000E+0001
4  1.03000000000000E+0002
5  1.24000000000000E+0002
6  9.80000000000000E+0001
7  1.13000000000000E+0002
8  1.28000000000000E+0002
9  1.03000000000000E+0002
10  1.07000000000000E+0002
11  1.01500000000000E+0002
12  9.60000000000000E+0001
13  9.00000000000000E+0001
14  9.90000000000000E+0001
15  9.90000000000000E+0001
16  9.90000000000000E+0001
17  1.00000000000000E+0002
18  8.60000000000000E+0001
19  8.70000000000000E+0001
20  8.80000000000000E+0001
21  9.70000000000000E+0001
22  9.30000000000000E+0001
23  8.60000000000000E+0001
24  7.90000000000000E+0001
25  6.90000000000000E+0001
26  7.30000000000000E+0001
27  6.85000000000000E+0001
28  6.40000000000000E+0001
29  6.80000000000000E+0001
30  4.70000000000000E+0001
31  7.50000000000000E+0001
32  6.80000000000000E+0001
33  6.10000000000000E+0001
34  7.00000000000000E+0001
35  8.00000000000000E+0001
36  7.35000000000000E+0001
37  6.70000000000000E+0001
38  6.50000000000000E+0001
39  5.80000000000000E+0001
40  6.25000000000000E+0001
41  6.70000000000000E+0001
42  9.20000000000000E+0001
43  7.70000000000000E+0001
44  8.80000000000000E+0001
45  9.90000000000000E+0001
46  1.26000000000000E+0002
47  1.17000000000000E+0002
48  1.35500000000000E+0002
49  1.54000000000000E+0002
50  2.06000000000000E+0002
51  2.38000000000000E+0002
52  2.80500000000000E+0002
53  3.23000000000000E+0002
54  3.18000000000000E+0002
55  3.90000000000000E+0002
56  4.44500000000000E+0002
57  4.99000000000000E+0002
58  5.90000000000000E+0002
59  6.40000000000000E+0002
60  6.64000000000000E+0002
61  7.17500000000000E+0002
62  7.71000000000000E+0002
63  8.30000000000000E+0002
64  8.44000000000000E+0002
65  9.03500000000000E+0002
66  9.63000000000000E+0002
67  1.00900000000000E+0003
68  1.03900000000000E+0003
69  1.07750000000000E+0003
70  1.11600000000000E+0003
71  1.24600000000000E+0003
72  1.23100000000000E+0003
73  1.23700000000000E+0003
74  1.24300000000000E+0003
75  1.20000000000000E+0003
76  1.22600000000000E+0003
77  1.21750000000000E+0003
78  1.20900000000000E+0003
79  1.22500000000000E+0003
80  1.19000000000000E+0003
81  1.17250000000000E+0003
82  1.15500000000000E+0003
83  1.22200000000000E+0003
84  1.18700000000000E+0003
85  1.20550000000000E+0003
86  1.22400000000000E+0003
87  1.21400000000000E+0003
88  1.17800000000000E+0003
89  1.11900000000000E+0003
90  1.13100000000000E+0003
91  1.14300000000000E+0003
92  1.11400000000000E+0003
93  1.12600000000000E+0003
94  1.12150000000000E+0003
95  1.11700000000000E+0003
96  1.12600000000000E+0003
97  1.06400000000000E+0003
98  1.11950000000000E+0003
99  1.17500000000000E+0003
100  1.17700000000000E+0003
101  1.22600000000000E+0003
102  1.21050000000000E+0003
103  1.19500000000000E+0003
104  1.16200000000000E+0003
105  1.21200000000000E+0003
106  1.20000000000000E+0003
107  1.18800000000000E+0003
108  1.19700000000000E+0003
109  1.22600000000000E+0003
110  1.25850000000000E+0003
111  1.29100000000000E+0003
112  1.24000000000000E+0003
113  1.30300000000000E+0003
114  1.24750000000000E+0003
115  1.19200000000000E+0003
116  1.26400000000000E+0003
117  1.29500000000000E+0003
118  1.33900000000000E+0003
119  1.34400000000000E+0003
120  1.34900000000000E+0003
121  1.31000000000000E+0003
122  1.34800000000000E+0003
123  1.33850000000000E+0003
124  1.32900000000000E+0003
125  1.34100000000000E+0003
126  1.35000000000000E+0003
127  1.36050000000000E+0003
128  1.37100000000000E+0003
129  1.39000000000000E+0003
130  1.35900000000000E+0003
131  1.37500000000000E+0003
132  1.39100000000000E+0003
133  1.39100000000000E+0003
134  1.40100000000000E+0003
135  1.40500000000000E+0003
136  1.40900000000000E+0003
137  1.38800000000000E+0003
138  1.37800000000000E+0003
139  1.35900000000000E+0003
140  1.34000000000000E+0003
141  1.33900000000000E+0003
142  1.36500000000000E+0003
143  1.34500000000000E+0003
144  1.32500000000000E+0003
145  1.31600000000000E+0003
146  1.37400000000000E+0003
147  1.33000000000000E+0003
148  1.36250000000000E+0003
149  1.39500000000000E+0003
150  1.36200000000000E+0003
151  1.29600000000000E+0003
152  1.30400000000000E+0003
153  1.31200000000000E+0003
154  1.30700000000000E+0003
155  1.28000000000000E+0003
156  1.31150000000000E+0003
157  1.34300000000000E+0003
158  1.29200000000000E+0003
159  1.35000000000000E+0003
160  1.29450000000000E+0003
161  1.23900000000000E+0003
162  1.25600000000000E+0003
163  1.27100000000000E+0003
164  1.28850000000000E+0003
165  1.30600000000000E+0003
166  1.18600000000000E+0003
167  1.27000000000000E+0003
168  1.23100000000000E+0003
169  1.19200000000000E+0003
170  1.24100000000000E+0003
171  1.28900000000000E+0003
172  1.27700000000000E+0003
173  1.26500000000000E+0003
174  1.22200000000000E+0003
175  1.20400000000000E+0003
176  1.26200000000000E+0003
177  1.21850000000000E+0003
178  1.17500000000000E+0003
179  1.20800000000000E+0003
180  1.21500000000000E+0003
181  1.16900000000000E+0003
182  1.12300000000000E+0003
183  1.23300000000000E+0003
184  1.20000000000000E+0003
185  1.15400000000000E+0003
186  1.10800000000000E+0003
187  1.14300000000000E+0003
188  1.19800000000000E+0003
189  1.16450000000000E+0003
190  1.13100000000000E+0003
191  1.17600000000000E+0003
192  1.14000000000000E+0003
193  1.14000000000000E+0003
194  1.14000000000000E+0003
195  1.09800000000000E+0003
196  1.10700000000000E+0003
197  1.09800000000000E+0003
198  1.08900000000000E+0003
199  1.09000000000000E+0003
200  1.07400000000000E+0003
201  1.07350000000000E+0003
202  1.07300000000000E+0003
203  1.08500000000000E+0003
204  1.06800000000000E+0003
205  1.02100000000000E+0003
206  1.04850000000000E+0003
207  1.07600000000000E+0003
208  1.11700000000000E+0003
209  1.01500000000000E+0003
210  1.04100000000000E+0003
211  1.06700000000000E+0003
212  1.10500000000000E+0003
213  1.03300000000000E+0003
214  1.06750000000000E+0003
215  1.10200000000000E+0003
216  1.05800000000000E+0003
217  1.06900000000000E+0003
218  1.04200000000000E+0003
219  1.01500000000000E+0003
220  1.01600000000000E+0003
221  1.04600000000000E+0003
222  1.02700000000000E+0003
223  1.00800000000000E+0003
224  9.94000000000000E+0002
225  1.02500000000000E+0003
226  9.91000000000000E+0002
227  9.57000000000000E+0002
228  9.78000000000000E+0002
229  9.58000000000000E+0002
230  9.34500000000000E+0002
231  9.11000000000000E+0002
232  1.01900000000000E+0003
233  9.17000000000000E+0002
234  8.93000000000000E+0002
235  9.05000000000000E+0002
236  9.17000000000000E+0002
237  8.43000000000000E+0002
238  8.67000000000000E+0002
239  8.86500000000000E+0002
240  9.06000000000000E+0002
241  8.55000000000000E+0002
242  8.27000000000000E+0002
243  8.45500000000000E+0002
244  8.64000000000000E+0002
245  8.40000000000000E+0002
246  8.12000000000000E+0002
247  8.07000000000000E+0002
248  8.02000000000000E+0002
249  8.35000000000000E+0002
250  7.95000000000000E+0002
