живое время (секунд) 2149,80
кэВ    набор
1  9.00000000000000E+0001
2  9.85000000000000E+0001
3  1.07000000000000E+0002
4  1.04000000000000E+0002
5  1.13000000000000E+0002
6  1.00000000000000E+0002
7  9.95000000000000E+0001
8  9.90000000000000E+0001
9  1.19000000000000E+0002
10  1.33000000000000E+0002
11  1.21000000000000E+0002
12  1.09000000000000E+0002
13  1.00000000000000E+0002
14  9.50000000000000E+0001
15  1.09500000000000E+0002
16  1.24000000000000E+0002
17  1.27000000000000E+0002
18  1.01000000000000E+0002
19  1.05500000000000E+0002
20  1.10000000000000E+0002
21  1.22000000000000E+0002
22  9.60000000000000E+0001
23  1.05500000000000E+0002
24  1.15000000000000E+0002
25  1.09000000000000E+0002
26  1.16000000000000E+0002
27  1.18000000000000E+0002
28  1.20000000000000E+0002
29  1.11000000000000E+0002
30  1.28000000000000E+0002
31  1.21000000000000E+0002
32  1.20500000000000E+0002
33  1.20000000000000E+0002
34  1.41000000000000E+0002
35  1.51000000000000E+0002
36  1.59500000000000E+0002
37  1.68000000000000E+0002
38  1.66000000000000E+0002
39  1.81000000000000E+0002
40  1.97500000000000E+0002
41  2.14000000000000E+0002
42  2.28000000000000E+0002
43  2.93000000000000E+0002
44  2.97500000000000E+0002
45  3.02000000000000E+0002
46  3.83000000000000E+0002
47  5.00000000000000E+0002
48  5.51000000000000E+0002
49  6.02000000000000E+0002
50  7.57000000000000E+0002
51  9.00000000000000E+0002
52  9.98500000000000E+0002
53  1.09700000000000E+0003
54  1.32700000000000E+0003
55  1.52200000000000E+0003
56  1.60100000000000E+0003
57  1.68000000000000E+0003
58  1.99500000000000E+0003
59  2.19200000000000E+0003
60  2.36400000000000E+0003
61  2.56400000000000E+0003
62  2.76400000000000E+0003
63  3.04800000000000E+0003
64  3.16900000000000E+0003
65  3.31550000000000E+0003
66  3.46200000000000E+0003
67  3.64200000000000E+0003
68  3.81200000000000E+0003
69  3.91500000000000E+0003
70  4.01800000000000E+0003
71  4.25000000000000E+0003
72  4.30600000000000E+0003
73  4.39950000000000E+0003
74  4.49300000000000E+0003
75  4.35500000000000E+0003
76  4.26500000000000E+0003
77  4.22550000000000E+0003
78  4.18600000000000E+0003
79  4.25300000000000E+0003
80  4.14000000000000E+0003
81  4.23300000000000E+0003
82  4.32600000000000E+0003
83  4.28700000000000E+0003
84  4.22000000000000E+0003
85  4.20800000000000E+0003
86  4.19600000000000E+0003
87  4.08200000000000E+0003
88  4.07200000000000E+0003
89  3.98900000000000E+0003
90  3.98700000000000E+0003
91  3.98500000000000E+0003
92  3.99500000000000E+0003
93  3.97000000000000E+0003
94  4.00300000000000E+0003
95  4.03600000000000E+0003
96  3.96600000000000E+0003
97  3.94000000000000E+0003
98  3.98950000000000E+0003
99  4.03900000000000E+0003
100  4.04800000000000E+0003
101  4.24300000000000E+0003
102  4.20000000000000E+0003
103  4.15700000000000E+0003
104  4.18900000000000E+0003
105  4.20800000000000E+0003
106  4.27050000000000E+0003
107  4.33300000000000E+0003
108  4.38700000000000E+0003
109  4.41000000000000E+0003
110  4.44350000000000E+0003
111  4.47700000000000E+0003
112  4.51800000000000E+0003
113  4.61000000000000E+0003
114  4.62200000000000E+0003
115  4.63400000000000E+0003
116  4.58900000000000E+0003
117  4.80000000000000E+0003
118  4.65700000000000E+0003
119  4.73450000000000E+0003
120  4.81200000000000E+0003
121  4.74000000000000E+0003
122  4.77500000000000E+0003
123  4.76350000000000E+0003
124  4.75200000000000E+0003
125  4.71800000000000E+0003
126  4.97800000000000E+0003
127  4.96200000000000E+0003
128  4.94600000000000E+0003
129  4.85400000000000E+0003
130  4.85900000000000E+0003
131  4.78900000000000E+0003
132  4.71900000000000E+0003
133  5.00200000000000E+0003
134  4.95200000000000E+0003
135  4.87650000000000E+0003
136  4.80100000000000E+0003
137  4.81700000000000E+0003
138  4.76200000000000E+0003
139  4.81450000000000E+0003
140  4.86700000000000E+0003
141  4.68000000000000E+0003
142  4.74400000000000E+0003
143  4.73550000000000E+0003
144  4.72700000000000E+0003
145  4.79700000000000E+0003
146  4.77400000000000E+0003
147  4.85300000000000E+0003
148  4.86800000000000E+0003
149  4.88300000000000E+0003
150  4.71900000000000E+0003
151  4.68000000000000E+0003
152  4.70150000000000E+0003
153  4.72300000000000E+0003
154  4.76300000000000E+0003
155  4.69700000000000E+0003
156  4.72050000000000E+0003
157  4.74400000000000E+0003
158  4.72700000000000E+0003
159  4.78600000000000E+0003
160  4.77350000000000E+0003
161  4.76100000000000E+0003
162  4.71100000000000E+0003
163  4.69500000000000E+0003
164  4.67350000000000E+0003
165  4.65200000000000E+0003
166  4.78800000000000E+0003
167  4.67700000000000E+0003
168  4.60100000000000E+0003
169  4.52500000000000E+0003
170  4.66700000000000E+0003
171  4.56100000000000E+0003
172  4.58200000000000E+0003
173  4.60300000000000E+0003
174  4.69100000000000E+0003
175  4.75900000000000E+0003
176  4.72100000000000E+0003
177  4.70300000000000E+0003
178  4.68500000000000E+0003
179  4.86900000000000E+0003
180  4.76000000000000E+0003
181  4.80500000000000E+0003
182  4.85000000000000E+0003
183  4.86100000000000E+0003
184  4.91000000000000E+0003
185  4.88600000000000E+0003
186  4.86200000000000E+0003
187  4.81600000000000E+0003
188  4.89300000000000E+0003
189  4.83900000000000E+0003
190  4.78500000000000E+0003
191  4.77700000000000E+0003
192  4.78800000000000E+0003
193  4.77100000000000E+0003
194  4.75400000000000E+0003
195  4.65700000000000E+0003
196  4.64900000000000E+0003
197  4.54400000000000E+0003
198  4.43900000000000E+0003
199  4.47100000000000E+0003
200  4.42300000000000E+0003
201  4.37900000000000E+0003
202  4.33500000000000E+0003
203  4.23500000000000E+0003
204  3.97800000000000E+0003
205  4.01700000000000E+0003
206  4.02550000000000E+0003
207  4.03400000000000E+0003
208  3.99900000000000E+0003
209  3.90100000000000E+0003
210  3.92150000000000E+0003
211  3.94200000000000E+0003
212  3.97000000000000E+0003
213  3.70900000000000E+0003
214  3.72200000000000E+0003
215  3.73500000000000E+0003
216  3.60500000000000E+0003
217  3.56600000000000E+0003
218  3.54250000000000E+0003
219  3.51900000000000E+0003
220  3.55300000000000E+0003
221  3.43800000000000E+0003
222  3.42550000000000E+0003
223  3.41300000000000E+0003
224  3.43300000000000E+0003
225  3.37000000000000E+0003
226  3.36550000000000E+0003
227  3.36100000000000E+0003
228  3.32700000000000E+0003
229  3.26000000000000E+0003
230  3.22400000000000E+0003
231  3.18800000000000E+0003
232  3.17000000000000E+0003
233  3.14800000000000E+0003
234  3.01400000000000E+0003
235  3.05550000000000E+0003
236  3.09700000000000E+0003
237  2.95700000000000E+0003
238  3.06100000000000E+0003
239  3.01650000000000E+0003
240  2.97200000000000E+0003
241  3.05800000000000E+0003
242  2.94900000000000E+0003
243  2.92150000000000E+0003
244  2.89400000000000E+0003
245  2.92800000000000E+0003
246  2.87300000000000E+0003
247  2.84400000000000E+0003
248  2.81500000000000E+0003
249  2.86700000000000E+0003
250  2.92800000000000E+0003
251  2.82600000000000E+0003
252  2.72400000000000E+0003
253  2.84800000000000E+0003
254  2.75600000000000E+0003
255  2.73400000000000E+0003
256  2.71200000000000E+0003
257  2.65300000000000E+0003
258  2.59200000000000E+0003
259  2.61450000000000E+0003
260  2.63700000000000E+0003
261  2.65300000000000E+0003
262  2.55800000000000E+0003
263  2.58200000000000E+0003
264  2.55700000000000E+0003
265  2.53200000000000E+0003
266  2.52500000000000E+0003
267  2.42400000000000E+0003
268  2.42300000000000E+0003
269  2.42200000000000E+0003
270  2.46900000000000E+0003
271  2.40200000000000E+0003
272  2.42850000000000E+0003
273  2.45500000000000E+0003
274  2.44700000000000E+0003
275  2.41200000000000E+0003
276  2.42100000000000E+0003
277  2.43000000000000E+0003
278  2.34000000000000E+0003
279  2.28500000000000E+0003
280  2.31700000000000E+0003
281  2.34900000000000E+0003
282  2.32600000000000E+0003
283  2.35800000000000E+0003
284  2.33400000000000E+0003
285  2.31000000000000E+0003
286  2.30600000000000E+0003
287  2.17700000000000E+0003
288  2.21200000000000E+0003
289  2.25100000000000E+0003
290  2.29000000000000E+0003
291  2.14000000000000E+0003
292  2.19100000000000E+0003
293  2.18400000000000E+0003
294  2.17700000000000E+0003
295  2.13100000000000E+0003
296  2.15400000000000E+0003
297  2.17500000000000E+0003
298  2.19600000000000E+0003
299  2.25100000000000E+0003
300  2.24800000000000E+0003
301  2.15100000000000E+0003
302  2.05400000000000E+0003
303  2.14300000000000E+0003
304  2.04900000000000E+0003
305  2.03300000000000E+0003
306  2.01700000000000E+0003
307  2.08900000000000E+0003
308  1.99900000000000E+0003
309  2.00000000000000E+0003
310  2.00100000000000E+0003
311  2.00900000000000E+0003
312  1.98700000000000E+0003
313  1.99050000000000E+0003
314  1.99400000000000E+0003
315  1.92300000000000E+0003
316  1.91300000000000E+0003
317  1.91800000000000E+0003
318  1.93450000000000E+0003
319  1.95100000000000E+0003
320  1.99500000000000E+0003
321  1.87000000000000E+0003
322  1.92200000000000E+0003
323  1.97400000000000E+0003
324  1.93300000000000E+0003
325  1.90800000000000E+0003
326  1.88450000000000E+0003
327  1.86100000000000E+0003
328  1.86900000000000E+0003
329  1.90200000000000E+0003
330  1.87750000000000E+0003
331  1.85300000000000E+0003
332  1.81000000000000E+0003
333  1.83400000000000E+0003
334  1.82200000000000E+0003
335  1.81000000000000E+0003
336  1.73000000000000E+0003
337  1.82900000000000E+0003
338  1.82350000000000E+0003
339  1.81800000000000E+0003
340  1.70200000000000E+0003
341  1.76700000000000E+0003
342  1.79050000000000E+0003
343  1.81400000000000E+0003
344  1.77000000000000E+0003
345  1.73900000000000E+0003
346  1.76000000000000E+0003
347  1.77700000000000E+0003
348  1.79400000000000E+0003
349  1.78700000000000E+0003
350  1.79200000000000E+0003
351  1.77850000000000E+0003
352  1.76500000000000E+0003
353  1.74100000000000E+0003
354  1.79600000000000E+0003
355  1.78200000000000E+0003
356  1.76800000000000E+0003
357  1.67300000000000E+0003
358  1.77300000000000E+0003
359  1.76050000000000E+0003
360  1.74800000000000E+0003
361  1.69600000000000E+0003
362  1.70900000000000E+0003
363  1.70900000000000E+0003
364  1.70900000000000E+0003
365  1.64800000000000E+0003
366  1.66100000000000E+0003
367  1.66600000000000E+0003
368  1.67100000000000E+0003
369  1.55600000000000E+0003
370  1.60300000000000E+0003
371  1.63950000000000E+0003
372  1.67600000000000E+0003
373  1.66100000000000E+0003
374  1.67400000000000E+0003
375  1.67200000000000E+0003
376  1.66400000000000E+0003
377  1.65600000000000E+0003
378  1.64400000000000E+0003
379  1.64500000000000E+0003
380  1.63000000000000E+0003
381  1.61500000000000E+0003
382  1.66400000000000E+0003
383  1.63200000000000E+0003
384  1.65150000000000E+0003
385  1.67100000000000E+0003
386  1.67100000000000E+0003
387  1.58900000000000E+0003
388  1.55350000000000E+0003
389  1.51800000000000E+0003
390  1.67000000000000E+0003
391  1.60700000000000E+0003
392  1.59950000000000E+0003
393  1.59200000000000E+0003
394  1.58500000000000E+0003
395  1.54400000000000E+0003
396  1.55650000000000E+0003
397  1.56900000000000E+0003
398  1.55000000000000E+0003
399  1.59200000000000E+0003
400  1.59000000000000E+0003
401  1.58800000000000E+0003
402  1.60500000000000E+0003
403  1.62000000000000E+0003
404  1.53800000000000E+0003
405  1.53750000000000E+0003
406  1.53700000000000E+0003
407  1.59700000000000E+0003
408  1.61400000000000E+0003
409  1.56150000000000E+0003
410  1.50900000000000E+0003
411  1.58300000000000E+0003
412  1.57800000000000E+0003
413  1.59100000000000E+0003
414  1.60400000000000E+0003
415  1.57700000000000E+0003
416  1.56300000000000E+0003
417  1.56750000000000E+0003
418  1.57200000000000E+0003
419  1.56500000000000E+0003
420  1.49900000000000E+0003
421  1.50450000000000E+0003
422  1.51000000000000E+0003
423  1.53800000000000E+0003
424  1.58400000000000E+0003
425  1.55400000000000E+0003
426  1.52400000000000E+0003
427  1.51500000000000E+0003
428  1.49600000000000E+0003
429  1.50200000000000E+0003
430  1.50800000000000E+0003
431  1.58500000000000E+0003
432  1.58700000000000E+0003
433  1.58500000000000E+0003
434  1.58600000000000E+0003
435  1.58700000000000E+0003
436  1.50200000000000E+0003
437  1.56000000000000E+0003
438  1.55550000000000E+0003
439  1.55100000000000E+0003
440  1.58800000000000E+0003
441  1.54600000000000E+0003
442  1.50500000000000E+0003
443  1.46400000000000E+0003
444  1.56600000000000E+0003
445  1.58600000000000E+0003
446  1.53900000000000E+0003
447  1.49200000000000E+0003
448  1.50000000000000E+0003
449  1.53300000000000E+0003
450  1.52800000000000E+0003
451  1.52300000000000E+0003
452  1.45800000000000E+0003
453  1.43000000000000E+0003
454  1.43400000000000E+0003
455  1.43800000000000E+0003
456  1.52400000000000E+0003
457  1.38200000000000E+0003
458  1.42250000000000E+0003
459  1.46300000000000E+0003
460  1.37900000000000E+0003
461  1.37700000000000E+0003
462  1.33000000000000E+0003
463  1.34400000000000E+0003
464  1.35800000000000E+0003
465  1.33400000000000E+0003
466  1.29500000000000E+0003
467  1.27950000000000E+0003
468  1.26400000000000E+0003
469  1.32200000000000E+0003
470  1.27800000000000E+0003
471  1.24750000000000E+0003
472  1.21700000000000E+0003
473  1.22400000000000E+0003
474  1.15500000000000E+0003
475  1.12250000000000E+0003
476  1.09000000000000E+0003
477  1.08000000000000E+0003
478  1.02200000000000E+0003
479  1.00200000000000E+0003
480  9.82000000000000E+0002
481  8.91000000000000E+0002
482  8.92000000000000E+0002
483  8.59500000000000E+0002
484  8.27000000000000E+0002
485  8.33000000000000E+0002
486  7.74000000000000E+0002
487  7.38000000000000E+0002
488  7.02000000000000E+0002
489  7.09000000000000E+0002
490  6.74000000000000E+0002
491  6.69000000000000E+0002
492  6.92500000000000E+0002
493  7.16000000000000E+0002
494  6.45000000000000E+0002
495  6.18000000000000E+0002
496  6.24000000000000E+0002
497  6.30000000000000E+0002
498  6.52000000000000E+0002
499  6.20000000000000E+0002
500  6.18000000000000E+0002
501  6.16000000000000E+0002
502  5.92000000000000E+0002
503  6.09000000000000E+0002
