кэВ    набор
1  8.40000000000000E+0001
2  7.75000000000000E+0001
3  7.10000000000000E+0001
4  5.30000000000000E+0001
5  6.90000000000000E+0001
6  8.70000000000000E+0001
7  8.10000000000000E+0001
8  7.50000000000000E+0001
9  7.20000000000000E+0001
10  6.60000000000000E+0001
11  7.20000000000000E+0001
12  7.80000000000000E+0001
13  9.00000000000000E+0001
14  8.10000000000000E+0001
15  7.85000000000000E+0001
16  7.60000000000000E+0001
17  7.00000000000000E+0001
18  6.40000000000000E+0001
19  5.65000000000000E+0001
20  4.90000000000000E+0001
21  4.90000000000000E+0001
22  5.60000000000000E+0001
23  5.10000000000000E+0001
24  4.60000000000000E+0001
25  4.90000000000000E+0001
26  5.10000000000000E+0001
27  4.35000000000000E+0001
28  3.60000000000000E+0001
29  3.00000000000000E+0001
30  4.00000000000000E+0001
31  5.00000000000000E+0001
32  4.05000000000000E+0001
33  3.10000000000000E+0001
34  3.70000000000000E+0001
35  4.40000000000000E+0001
36  4.45000000000000E+0001
37  4.50000000000000E+0001
38  5.20000000000000E+0001
39  5.90000000000000E+0001
40  6.45000000000000E+0001
41  7.00000000000000E+0001
42  7.20000000000000E+0001
43  9.40000000000000E+0001
44  1.00000000000000E+0002
45  1.06000000000000E+0002
46  1.31000000000000E+0002
47  1.40000000000000E+0002
48  1.73000000000000E+0002
49  2.06000000000000E+0002
50  2.57000000000000E+0002
51  3.26000000000000E+0002
52  3.65000000000000E+0002
53  4.04000000000000E+0002
54  4.18000000000000E+0002
55  5.54000000000000E+0002
56  5.96500000000000E+0002
57  6.39000000000000E+0002
58  7.06000000000000E+0002
59  8.53000000000000E+0002
60  9.25000000000000E+0002
61  9.69000000000000E+0002
62  1.01300000000000E+0003
63  1.19100000000000E+0003
64  1.30100000000000E+0003
65  1.31600000000000E+0003
66  1.33100000000000E+0003
67  1.54300000000000E+0003
68  1.64500000000000E+0003
69  1.68600000000000E+0003
70  1.72700000000000E+0003
71  1.80600000000000E+0003
72  1.93100000000000E+0003
73  1.94550000000000E+0003
74  1.96000000000000E+0003
75  1.94900000000000E+0003
76  1.90300000000000E+0003
77  1.88800000000000E+0003
78  1.87300000000000E+0003
79  1.93200000000000E+0003
80  1.94100000000000E+0003
81  1.90600000000000E+0003
82  1.87100000000000E+0003
83  1.86300000000000E+0003
84  1.86600000000000E+0003
85  1.85250000000000E+0003
86  1.83900000000000E+0003
87  1.76600000000000E+0003
88  1.69700000000000E+0003
89  1.68900000000000E+0003
90  1.64000000000000E+0003
91  1.59100000000000E+0003
92  1.52500000000000E+0003
93  1.66700000000000E+0003
94  1.65800000000000E+0003
95  1.64900000000000E+0003
96  1.61400000000000E+0003
97  1.69900000000000E+0003
98  1.69050000000000E+0003
99  1.68200000000000E+0003
100  1.70000000000000E+0003
101  1.66900000000000E+0003
102  1.72300000000000E+0003
103  1.77700000000000E+0003
104  1.81400000000000E+0003
105  1.84800000000000E+0003
106  1.86800000000000E+0003
107  1.88800000000000E+0003
108  1.91800000000000E+0003
109  1.84500000000000E+0003
110  1.86900000000000E+0003
111  1.89300000000000E+0003
112  1.90600000000000E+0003
113  1.96700000000000E+0003
114  1.91850000000000E+0003
115  1.87000000000000E+0003
116  1.97100000000000E+0003
117  1.98000000000000E+0003
118  1.95100000000000E+0003
