живое время (секунд) 30177,00
кэВ    набор
1  5.78000000000000E+0002
2  5.67500000000000E+0002
3  5.57000000000000E+0002
4  5.25000000000000E+0002
5  6.20000000000000E+0002
6  6.02000000000000E+0002
7  6.28000000000000E+0002
8  6.54000000000000E+0002
9  6.75000000000000E+0002
10  6.64000000000000E+0002
11  6.65000000000000E+0002
12  6.66000000000000E+0002
13  6.67000000000000E+0002
14  6.32000000000000E+0002
15  6.13500000000000E+0002
16  5.95000000000000E+0002
17  5.23000000000000E+0002
18  5.16000000000000E+0002
19  4.90000000000000E+0002
20  4.64000000000000E+0002
21  4.07000000000000E+0002
22  4.07000000000000E+0002
23  4.18000000000000E+0002
24  4.29000000000000E+0002
25  3.84000000000000E+0002
26  3.23000000000000E+0002
27  3.29500000000000E+0002
28  3.36000000000000E+0002
29  3.28000000000000E+0002
30  3.10000000000000E+0002
31  2.98000000000000E+0002
32  2.82500000000000E+0002
33  2.67000000000000E+0002
34  2.95000000000000E+0002
35  3.04000000000000E+0002
36  3.22500000000000E+0002
37  3.41000000000000E+0002
38  3.79000000000000E+0002
39  4.13000000000000E+0002
40  4.22500000000000E+0002
41  4.32000000000000E+0002
42  5.34000000000000E+0002
43  6.19000000000000E+0002
44  6.98500000000000E+0002
45  7.78000000000000E+0002
46  9.19000000000000E+0002
47  1.15600000000000E+0003
48  1.29700000000000E+0003
49  1.43800000000000E+0003
50  1.79400000000000E+0003
51  2.28200000000000E+0003
52  2.54200000000000E+0003
53  2.80200000000000E+0003
54  3.28000000000000E+0003
55  4.02300000000000E+0003
56  4.28500000000000E+0003
57  4.54700000000000E+0003
58  5.19000000000000E+0003
59  5.96600000000000E+0003
60  6.59700000000000E+0003
61  6.87450000000000E+0003
62  7.15200000000000E+0003
63  7.82600000000000E+0003
64  8.56000000000000E+0003
65  8.90000000000000E+0003
66  9.24000000000000E+0003
67  9.86400000000000E+0003
68  1.07020000000000E+0004
69  1.09390000000000E+0004
70  1.11760000000000E+0004
71  1.17790000000000E+0004
72  1.21540000000000E+0004
73  1.22555000000000E+0004
74  1.23570000000000E+0004
75  1.23390000000000E+0004
76  1.25730000000000E+0004
77  1.25980000000000E+0004
78  1.26230000000000E+0004
79  1.20730000000000E+0004
80  1.20750000000000E+0004
81  1.21970000000000E+0004
82  1.23190000000000E+0004
83  1.22910000000000E+0004
84  1.23610000000000E+0004
85  1.23245000000000E+0004
86  1.22880000000000E+0004
87  1.24360000000000E+0004
88  1.21160000000000E+0004
89  1.21010000000000E+0004
90  1.20095000000000E+0004
91  1.19180000000000E+0004
92  1.19100000000000E+0004
93  1.17910000000000E+0004
94  1.18525000000000E+0004
95  1.19140000000000E+0004
96  1.19180000000000E+0004
97  1.21880000000000E+0004
98  1.22350000000000E+0004
99  1.22820000000000E+0004
100  1.22580000000000E+0004
101  1.26400000000000E+0004
102  1.26465000000000E+0004
103  1.26530000000000E+0004
104  1.29600000000000E+0004
105  1.30090000000000E+0004
106  1.30600000000000E+0004
107  1.31110000000000E+0004
108  1.31850000000000E+0004
109  1.35360000000000E+0004
110  1.35520000000000E+0004
111  1.35680000000000E+0004
112  1.35980000000000E+0004
113  1.38180000000000E+0004
114  1.39425000000000E+0004
115  1.40670000000000E+0004
116  1.40190000000000E+0004
117  1.42000000000000E+0004
118  1.45740000000000E+0004
119  1.44660000000000E+0004
120  1.43580000000000E+0004
121  1.43600000000000E+0004
122  1.47040000000000E+0004
123  1.46675000000000E+0004
124  1.46310000000000E+0004
125  1.49160000000000E+0004
126  1.48800000000000E+0004
127  1.47190000000000E+0004
128  1.45580000000000E+0004
129  1.50080000000000E+0004
130  1.47970000000000E+0004
131  1.48830000000000E+0004
132  1.49690000000000E+0004
133  1.47150000000000E+0004
134  1.47780000000000E+0004
135  1.48105000000000E+0004
136  1.48430000000000E+0004
137  1.46800000000000E+0004
138  1.50990000000000E+0004
139  1.49670000000000E+0004
140  1.48350000000000E+0004
141  1.48060000000000E+0004
142  1.49070000000000E+0004
143  1.46405000000000E+0004
144  1.43740000000000E+0004
145  1.45470000000000E+0004
146  1.43370000000000E+0004
147  1.45350000000000E+0004
148  1.45005000000000E+0004
149  1.44660000000000E+0004
150  1.43180000000000E+0004
151  1.42170000000000E+0004
152  1.41330000000000E+0004
153  1.40490000000000E+0004
154  1.39430000000000E+0004
155  1.39440000000000E+0004
156  1.38505000000000E+0004
157  1.37570000000000E+0004
158  1.38610000000000E+0004
159  1.38750000000000E+0004
160  1.37020000000000E+0004
161  1.35290000000000E+0004
162  1.34560000000000E+0004
163  1.31840000000000E+0004
164  1.32680000000000E+0004
165  1.33520000000000E+0004
166  1.31630000000000E+0004
167  1.32220000000000E+0004
168  1.30700000000000E+0004
169  1.29180000000000E+0004
170  1.29190000000000E+0004
171  1.25740000000000E+0004
172  1.26020000000000E+0004
173  1.26300000000000E+0004
174  1.25870000000000E+0004
175  1.27160000000000E+0004
176  1.26010000000000E+0004
177  1.25770000000000E+0004
178  1.25530000000000E+0004
179  1.23770000000000E+0004
180  1.23790000000000E+0004
181  1.22860000000000E+0004
182  1.21930000000000E+0004
183  1.20510000000000E+0004
184  1.19230000000000E+0004
185  1.19375000000000E+0004
186  1.19520000000000E+0004
187  1.20210000000000E+0004
188  1.17580000000000E+0004
189  1.17305000000000E+0004
190  1.17030000000000E+0004
191  1.14650000000000E+0004
192  1.14300000000000E+0004
193  1.13620000000000E+0004
194  1.12940000000000E+0004
195  1.12250000000000E+0004
196  1.12440000000000E+0004
197  1.11650000000000E+0004
198  1.10860000000000E+0004
199  1.10820000000000E+0004
200  1.08590000000000E+0004
201  1.09135000000000E+0004
202  1.09680000000000E+0004
203  1.07920000000000E+0004
204  1.06630000000000E+0004
205  1.07350000000000E+0004
206  1.08430000000000E+0004
207  1.09510000000000E+0004
208  1.07980000000000E+0004
209  1.08210000000000E+0004
210  1.06780000000000E+0004
211  1.05350000000000E+0004
212  1.05770000000000E+0004
213  1.05510000000000E+0004
214  1.06150000000000E+0004
215  1.06790000000000E+0004
216  1.06500000000000E+0004
217  1.04880000000000E+0004
218  1.04135000000000E+0004
219  1.03390000000000E+0004
220  1.01300000000000E+0004
221  1.01450000000000E+0004
222  1.00140000000000E+0004
223  9.88300000000000E+0003
224  9.79100000000000E+0003
225  9.68700000000000E+0003
226  9.57300000000000E+0003
227  9.45900000000000E+0003
228  9.28700000000000E+0003
229  9.40200000000000E+0003
230  9.38150000000000E+0003
231  9.36100000000000E+0003
232  9.15900000000000E+0003
233  8.93400000000000E+0003
234  8.91600000000000E+0003
235  8.94400000000000E+0003
236  8.97200000000000E+0003
237  8.94100000000000E+0003
238  8.77400000000000E+0003
239  8.72200000000000E+0003
240  8.67000000000000E+0003
241  8.50900000000000E+0003
242  8.31100000000000E+0003
243  8.13050000000000E+0003
244  7.95000000000000E+0003
245  8.16200000000000E+0003
246  7.78000000000000E+0003
247  7.76100000000000E+0003
248  7.74200000000000E+0003
249  7.59700000000000E+0003
250  7.43700000000000E+0003
251  7.44900000000000E+0003
252  7.46100000000000E+0003
253  7.37100000000000E+0003
254  7.22800000000000E+0003
255  7.23450000000000E+0003
256  7.24100000000000E+0003
257  7.03500000000000E+0003
258  7.06900000000000E+0003
259  6.99550000000000E+0003
260  6.92200000000000E+0003
