живое время (секунд) 53403,00
кэВ    набор
1  0.00000000000000E+0000
2  9.32000000000000E+0002
3  9.36000000000000E+0002
4  9.40000000000000E+0002
5  8.53000000000000E+0002
6  7.58000000000000E+0002
7  7.52500000000000E+0002
8  7.47000000000000E+0002
9  8.06000000000000E+0002
10  8.08000000000000E+0002
11  8.34000000000000E+0002
12  8.60000000000000E+0002
13  8.14000000000000E+0002
14  8.06000000000000E+0002
15  8.10000000000000E+0002
16  8.14000000000000E+0002
17  6.81000000000000E+0002
18  6.51000000000000E+0002
19  6.25500000000000E+0002
20  6.00000000000000E+0002
21  5.57000000000000E+0002
22  5.38000000000000E+0002
23  5.16000000000000E+0002
24  4.94000000000000E+0002
25  4.13000000000000E+0002
26  3.82000000000000E+0002
27  3.79000000000000E+0002
28  3.59500000000000E+0002
29  3.40000000000000E+0002
30  3.40000000000000E+0002
31  3.39000000000000E+0002
32  3.45000000000000E+0002
33  3.51000000000000E+0002
34  3.21000000000000E+0002
35  3.31000000000000E+0002
36  3.22500000000000E+0002
37  3.14000000000000E+0002
38  3.57000000000000E+0002
39  3.80000000000000E+0002
40  4.20500000000000E+0002
41  4.61000000000000E+0002
42  4.41000000000000E+0002
43  5.94000000000000E+0002
44  6.39000000000000E+0002
45  6.84000000000000E+0002
46  7.98000000000000E+0002
47  8.95000000000000E+0002
48  1.03700000000000E+0003
49  1.17900000000000E+0003
50  1.43000000000000E+0003
51  1.74600000000000E+0003
52  1.95550000000000E+0003
53  2.16500000000000E+0003
54  2.51900000000000E+0003
55  2.97100000000000E+0003
56  3.49200000000000E+0003
57  3.77900000000000E+0003
58  4.06600000000000E+0003
59  4.66100000000000E+0003
60  5.28000000000000E+0003
61  5.60050000000000E+0003
62  5.92100000000000E+0003
63  6.55700000000000E+0003
64  7.04500000000000E+0003
65  7.39150000000000E+0003
66  7.73800000000000E+0003
67  8.31800000000000E+0003
68  9.20200000000000E+0003
69  9.48350000000000E+0003
70  9.76500000000000E+0003
71  1.03340000000000E+0004
72  1.08120000000000E+0004
73  1.09595000000000E+0004
74  1.11070000000000E+0004
75  1.16470000000000E+0004
76  1.16100000000000E+0004
77  1.14950000000000E+0004
78  1.13800000000000E+0004
79  1.14310000000000E+0004
80  1.13860000000000E+0004
81  1.13140000000000E+0004
82  1.12420000000000E+0004
83  1.16860000000000E+0004
84  1.17660000000000E+0004
85  1.17710000000000E+0004
86  1.16585000000000E+0004
87  1.15460000000000E+0004
88  1.19270000000000E+0004
89  1.16950000000000E+0004
90  1.15400000000000E+0004
91  1.13850000000000E+0004
92  1.14370000000000E+0004
93  1.14790000000000E+0004
94  1.15645000000000E+0004
95  1.16500000000000E+0004
96  1.14470000000000E+0004
97  1.18410000000000E+0004
98  1.18570000000000E+0004
99  1.18730000000000E+0004
100  1.20130000000000E+0004
101  1.21800000000000E+0004
102  1.22575000000000E+0004
103  1.23350000000000E+0004
104  1.25690000000000E+0004
105  1.25370000000000E+0004
106  1.27155000000000E+0004
107  1.28940000000000E+0004
108  1.30840000000000E+0004
109  1.30260000000000E+0004
110  1.31435000000000E+0004
111  1.32610000000000E+0004
112  1.35170000000000E+0004
113  1.37150000000000E+0004
114  1.37410000000000E+0004
115  1.38690000000000E+0004
116  1.39970000000000E+0004
117  1.40380000000000E+0004
118  1.42520000000000E+0004
119  1.42760000000000E+0004
120  1.43000000000000E+0004
121  1.44280000000000E+0004
122  1.43570000000000E+0004
123  1.45105000000000E+0004
124  1.46640000000000E+0004
125  1.45270000000000E+0004
126  1.47440000000000E+0004
127  1.47890000000000E+0004
128  1.48340000000000E+0004
129  1.47270000000000E+0004
130  1.49010000000000E+0004
131  1.47715000000000E+0004
132  1.46420000000000E+0004
133  1.45360000000000E+0004
134  1.48790000000000E+0004
135  1.47120000000000E+0004
136  1.45450000000000E+0004
137  1.44860000000000E+0004
138  1.47910000000000E+0004
139  1.45210000000000E+0004
140  1.42510000000000E+0004
141  1.45600000000000E+0004
142  1.41700000000000E+0004
143  1.44390000000000E+0004
144  1.44120000000000E+0004
145  1.43850000000000E+0004
146  1.41190000000000E+0004
147  1.39850000000000E+0004
148  1.40015000000000E+0004
149  1.40180000000000E+0004
150  1.38660000000000E+0004
151  1.38540000000000E+0004
152  1.38070000000000E+0004
153  1.37600000000000E+0004
154  1.36680000000000E+0004
155  1.33520000000000E+0004
156  1.33575000000000E+0004
157  1.33630000000000E+0004
158  1.31940000000000E+0004
159  1.32090000000000E+0004
160  1.31120000000000E+0004
161  1.30150000000000E+0004
162  1.28300000000000E+0004
163  1.28750000000000E+0004
164  1.28725000000000E+0004
165  1.28700000000000E+0004
166  1.26290000000000E+0004
167  1.22480000000000E+0004
168  1.23155000000000E+0004
169  1.23830000000000E+0004
170  1.21720000000000E+0004
171  1.21110000000000E+0004
172  1.20210000000000E+0004
173  1.19215000000000E+0004
174  1.18220000000000E+0004
175  1.19060000000000E+0004
176  1.17300000000000E+0004
177  1.16780000000000E+0004
178  1.16260000000000E+0004
179  1.16480000000000E+0004
180  1.14390000000000E+0004
181  1.13220000000000E+0004
182  1.12050000000000E+0004
183  1.09070000000000E+0004
184  1.10250000000000E+0004
185  1.10930000000000E+0004
186  1.11610000000000E+0004
187  1.08110000000000E+0004
188  1.08560000000000E+0004
189  1.07715000000000E+0004
190  1.06870000000000E+0004
191  1.04350000000000E+0004
192  1.02030000000000E+0004
193  1.02615000000000E+0004
194  1.03200000000000E+0004
195  9.94000000000000E+0003
196  1.00590000000000E+0004
197  1.00040000000000E+0004
198  9.94900000000000E+0003
199  9.77900000000000E+0003
200  9.59000000000000E+0003
201  9.47200000000000E+0003
202  9.40000000000000E+0003
203  9.32800000000000E+0003
204  9.37000000000000E+0003
205  9.07800000000000E+0003
206  9.16250000000000E+0003
207  9.24700000000000E+0003
208  9.07800000000000E+0003
209  9.07100000000000E+0003
210  8.97100000000000E+0003
211  8.87100000000000E+0003
212  8.63500000000000E+0003
213  8.66600000000000E+0003
214  8.71650000000000E+0003
215  8.76700000000000E+0003
216  8.39100000000000E+0003
217  8.21700000000000E+0003
218  8.24800000000000E+0003
219  8.27900000000000E+0003
220  8.17900000000000E+0003
221  8.07700000000000E+0003
222  8.02500000000000E+0003
223  7.97300000000000E+0003
224  7.81000000000000E+0003
225  8.02600000000000E+0003
226  7.84050000000000E+0003
227  7.65500000000000E+0003
228  7.76800000000000E+0003
229  7.56600000000000E+0003
230  7.53600000000000E+0003
231  7.40150000000000E+0003
232  7.26700000000000E+0003
233  7.40300000000000E+0003
234  7.47500000000000E+0003
235  7.41700000000000E+0003
236  7.35900000000000E+0003
237  7.24000000000000E+0003
238  7.18900000000000E+0003
239  7.18400000000000E+0003
240  7.17900000000000E+0003
241  6.99700000000000E+0003
242  6.89400000000000E+0003
243  6.81750000000000E+0003
244  6.74100000000000E+0003
245  6.58200000000000E+0003
246  6.43000000000000E+0003
247  6.32750000000000E+0003
248  6.22500000000000E+0003
249  6.07000000000000E+0003
250  6.07000000000000E+0003
251  5.99400000000000E+0003
252  5.91800000000000E+0003
253  5.80400000000000E+0003
254  5.68000000000000E+0003
255  5.68200000000000E+0003
256  5.63100000000000E+0003
257  5.58000000000000E+0003
258  5.57100000000000E+0003
259  5.56500000000000E+0003
260  5.45150000000000E+0003
261  5.33800000000000E+0003
262  5.32400000000000E+0003
263  5.28000000000000E+0003
264  5.26050000000000E+0003
265  5.24100000000000E+0003
266  5.09000000000000E+0003
267  5.06100000000000E+0003
