живое врнмя (секунд) 2610,50
кэВ    набор
1  6.40000000000000E+0001
2  6.60000000000000E+0001
3  6.80000000000000E+0001
4  7.90000000000000E+0001
5  7.30000000000000E+0001
6  6.40000000000000E+0001
7  6.85000000000000E+0001
8  7.30000000000000E+0001
9  7.00000000000000E+0001
10  6.80000000000000E+0001
11  6.20000000000000E+0001
12  5.60000000000000E+0001
13  6.70000000000000E+0001
14  5.80000000000000E+0001
15  6.60000000000000E+0001
16  7.40000000000000E+0001
17  5.10000000000000E+0001
18  6.70000000000000E+0001
19  6.25000000000000E+0001
20  5.80000000000000E+0001
21  5.60000000000000E+0001
22  4.20000000000000E+0001
23  4.10000000000000E+0001
24  4.00000000000000E+0001
25  5.10000000000000E+0001
26  4.40000000000000E+0001
27  4.60000000000000E+0001
28  4.80000000000000E+0001
29  4.90000000000000E+0001
30  5.00000000000000E+0001
31  6.60000000000000E+0001
32  5.75000000000000E+0001
33  4.90000000000000E+0001
34  3.70000000000000E+0001
35  5.70000000000000E+0001
36  6.00000000000000E+0001
37  6.30000000000000E+0001
38  7.60000000000000E+0001
39  6.60000000000000E+0001
40  7.45000000000000E+0001
41  8.30000000000000E+0001
42  9.00000000000000E+0001
43  1.07000000000000E+0002
44  1.22000000000000E+0002
45  1.37000000000000E+0002
46  1.72000000000000E+0002
47  1.89000000000000E+0002
48  2.21000000000000E+0002
49  2.53000000000000E+0002
50  2.96000000000000E+0002
51  4.23000000000000E+0002
52  4.40000000000000E+0002
53  4.57000000000000E+0002
54  5.72000000000000E+0002
55  6.95000000000000E+0002
56  7.43500000000000E+0002
57  7.92000000000000E+0002
58  8.88000000000000E+0002
59  1.06500000000000E+0003
60  1.13400000000000E+0003
61  1.20300000000000E+0003
62  1.27200000000000E+0003
63  1.41500000000000E+0003
64  1.52000000000000E+0003
65  1.56400000000000E+0003
66  1.60800000000000E+0003
67  1.74200000000000E+0003
68  1.82800000000000E+0003
69  1.82450000000000E+0003
70  1.82100000000000E+0003
71  2.06100000000000E+0003
72  2.11500000000000E+0003
73  2.10150000000000E+0003
74  2.08800000000000E+0003
75  2.10800000000000E+0003
76  2.11400000000000E+0003
77  2.07250000000000E+0003
78  2.03100000000000E+0003
79  2.06600000000000E+0003
80  2.07900000000000E+0003
81  2.08950000000000E+0003
82  2.10000000000000E+0003
83  2.13800000000000E+0003
84  2.10900000000000E+0003
85  2.13700000000000E+0003
86  2.16500000000000E+0003
87  2.13300000000000E+0003
88  2.01900000000000E+0003
89  2.08200000000000E+0003
90  2.02600000000000E+0003
91  1.97000000000000E+0003
92  1.97900000000000E+0003
93  1.93600000000000E+0003
94  1.99100000000000E+0003
95  2.04600000000000E+0003
96  2.09800000000000E+0003
97  2.10500000000000E+0003
98  2.13200000000000E+0003
99  2.15900000000000E+0003
100  2.11200000000000E+0003
101  2.21100000000000E+0003
102  2.25450000000000E+0003
103  2.29800000000000E+0003
104  2.32200000000000E+0003
105  2.30100000000000E+0003
106  2.30850000000000E+0003
107  2.31600000000000E+0003
108  2.29000000000000E+0003
109  2.32800000000000E+0003
110  2.37550000000000E+0003
111  2.42300000000000E+0003
112  2.48300000000000E+0003
113  2.50100000000000E+0003
114  2.43300000000000E+0003
115  2.36500000000000E+0003
116  2.55600000000000E+0003
117  2.53800000000000E+0003
118  2.67400000000000E+0003
119  2.66000000000000E+0003
120  2.64600000000000E+0003
121  2.56600000000000E+0003
122  2.63400000000000E+0003
123  2.67200000000000E+0003
124  2.71000000000000E+0003
125  2.67400000000000E+0003
126  2.72500000000000E+0003
127  2.73400000000000E+0003
128  2.74300000000000E+0003
129  2.74700000000000E+0003
