живое время (секунд) 7294,20
кэВ    набор
1  1.71000000000000E+0002
2  1.78500000000000E+0002
3  1.86000000000000E+0002
4  1.78000000000000E+0002
5  1.70000000000000E+0002
6  1.71000000000000E+0002
7  1.72500000000000E+0002
8  1.74000000000000E+0002
9  1.48000000000000E+0002
10  1.94000000000000E+0002
11  1.79000000000000E+0002
12  1.64000000000000E+0002
13  1.82000000000000E+0002
14  1.76000000000000E+0002
15  1.68000000000000E+0002
16  1.60000000000000E+0002
17  1.26000000000000E+0002
18  1.25000000000000E+0002
19  1.27000000000000E+0002
20  1.29000000000000E+0002
21  1.09000000000000E+0002
22  1.11000000000000E+0002
23  1.06500000000000E+0002
24  1.02000000000000E+0002
25  9.60000000000000E+0001
26  8.20000000000000E+0001
27  8.55000000000000E+0001
28  8.90000000000000E+0001
29  7.20000000000000E+0001
30  7.60000000000000E+0001
31  7.10000000000000E+0001
32  8.15000000000000E+0001
33  9.20000000000000E+0001
34  1.08000000000000E+0002
35  1.12000000000000E+0002
36  1.02000000000000E+0002
37  9.20000000000000E+0001
38  9.50000000000000E+0001
39  1.21000000000000E+0002
40  1.29500000000000E+0002
41  1.38000000000000E+0002
42  1.46000000000000E+0002
43  1.56000000000000E+0002
44  1.88500000000000E+0002
45  2.21000000000000E+0002
46  2.37000000000000E+0002
47  3.03000000000000E+0002
48  3.35500000000000E+0002
49  3.68000000000000E+0002
50  4.79000000000000E+0002
51  5.59000000000000E+0002
52  6.35000000000000E+0002
53  7.11000000000000E+0002
54  8.54000000000000E+0002
55  9.99000000000000E+0002
56  1.07600000000000E+0003
57  1.15300000000000E+0003
58  1.32000000000000E+0003
59  1.54800000000000E+0003
60  1.71600000000000E+0003
61  1.81750000000000E+0003
62  1.91900000000000E+0003
63  2.06600000000000E+0003
64  2.29100000000000E+0003
65  2.36450000000000E+0003
66  2.43800000000000E+0003
67  2.63400000000000E+0003
68  2.91300000000000E+0003
69  3.02200000000000E+0003
70  3.13100000000000E+0003
71  3.16000000000000E+0003
72  3.15800000000000E+0003
73  3.30300000000000E+0003
74  3.44800000000000E+0003
75  3.37900000000000E+0003
76  3.44900000000000E+0003
77  3.40300000000000E+0003
78  3.35700000000000E+0003
79  3.30500000000000E+0003
80  3.26500000000000E+0003
81  3.25850000000000E+0003
82  3.25200000000000E+0003
83  3.42800000000000E+0003
84  3.31100000000000E+0003
85  3.32950000000000E+0003
86  3.34800000000000E+0003
87  3.20300000000000E+0003
88  3.14500000000000E+0003
89  3.28900000000000E+0003
90  3.22350000000000E+0003
91  3.15800000000000E+0003
92  3.13900000000000E+0003
93  3.31200000000000E+0003
94  3.20550000000000E+0003
95  3.09900000000000E+0003
96  3.18400000000000E+0003
97  3.16500000000000E+0003
98  3.22200000000000E+0003
99  3.27900000000000E+0003
100  3.41700000000000E+0003
101  3.38800000000000E+0003
102  3.42550000000000E+0003
103  3.46300000000000E+0003
104  3.48200000000000E+0003
105  3.47700000000000E+0003
106  3.56100000000000E+0003
107  3.64500000000000E+0003
108  3.65100000000000E+0003
109  3.72500000000000E+0003
110  3.70700000000000E+0003
111  3.68900000000000E+0003
112  3.86500000000000E+0003
113  3.80500000000000E+0003
114  3.88850000000000E+0003
115  3.97200000000000E+0003
116  4.03200000000000E+0003
117  3.95900000000000E+0003
118  3.99100000000000E+0003
119  4.07850000000000E+0003
120  4.16600000000000E+0003
121  4.07800000000000E+0003
122  4.22200000000000E+0003
123  4.23150000000000E+0003
124  4.24100000000000E+0003
125  4.11900000000000E+0003
126  4.19700000000000E+0003
