живое время (секунд) 57569,00
кэВ    набор
1  0.00000000000000E+0000
2  1.26400000000000E+0003
3  1.22400000000000E+0003
4  1.18400000000000E+0003
5  1.19900000000000E+0003
6  1.17500000000000E+0003
7  1.11750000000000E+0003
8  1.06000000000000E+0003
9  1.02000000000000E+0003
10  1.05100000000000E+0003
11  9.99500000000000E+0002
12  9.48000000000000E+0002
13  9.91000000000000E+0002
14  9.75000000000000E+0002
15  9.30500000000000E+0002
16  8.86000000000000E+0002
17  8.41000000000000E+0002
18  7.87000000000000E+0002
19  7.63500000000000E+0002
20  7.40000000000000E+0002
21  6.99000000000000E+0002
22  5.68000000000000E+0002
23  5.76500000000000E+0002
24  5.85000000000000E+0002
25  5.08000000000000E+0002
26  4.37000000000000E+0002
27  3.86000000000000E+0002
28  3.86000000000000E+0002
29  3.86000000000000E+0002
30  3.34000000000000E+0002
31  3.48000000000000E+0002
32  3.42500000000000E+0002
33  3.37000000000000E+0002
34  3.48000000000000E+0002
35  3.47000000000000E+0002
36  3.37500000000000E+0002
37  3.28000000000000E+0002
38  3.63000000000000E+0002
39  4.08000000000000E+0002
40  4.08000000000000E+0002
41  4.08000000000000E+0002
42  4.71000000000000E+0002
43  5.20000000000000E+0002
44  5.67000000000000E+0002
45  6.14000000000000E+0002
46  6.02000000000000E+0002
47  7.33000000000000E+0002
48  8.25000000000000E+0002
49  9.17000000000000E+0002
50  1.04700000000000E+0003
51  1.28800000000000E+0003
52  1.42650000000000E+0003
53  1.56500000000000E+0003
54  1.82200000000000E+0003
55  2.21300000000000E+0003
56  2.47700000000000E+0003
57  2.68500000000000E+0003
58  2.89300000000000E+0003
59  3.23900000000000E+0003
60  3.78100000000000E+0003
61  3.94300000000000E+0003
62  4.10500000000000E+0003
63  4.47200000000000E+0003
64  4.93600000000000E+0003
65  5.06550000000000E+0003
66  5.19500000000000E+0003
67  5.69500000000000E+0003
68  5.91400000000000E+0003
69  6.08750000000000E+0003
70  6.26100000000000E+0003
71  6.59900000000000E+0003
72  6.83300000000000E+0003
73  6.96500000000000E+0003
74  7.09700000000000E+0003
75  7.30100000000000E+0003
76  7.23700000000000E+0003
77  7.20950000000000E+0003
78  7.18200000000000E+0003
79  7.17900000000000E+0003
80  7.12100000000000E+0003
81  7.13900000000000E+0003
82  7.15700000000000E+0003
83  7.34400000000000E+0003
84  7.33500000000000E+0003
85  7.27300000000000E+0003
86  7.29000000000000E+0003
87  7.30700000000000E+0003
88  7.41900000000000E+0003
89  7.38500000000000E+0003
90  7.19700000000000E+0003
91  7.00900000000000E+0003
92  7.07100000000000E+0003
93  6.93700000000000E+0003
94  6.91850000000000E+0003
95  6.90000000000000E+0003
96  7.04000000000000E+0003
97  7.04400000000000E+0003
98  7.15200000000000E+0003
99  7.26000000000000E+0003
100  7.38400000000000E+0003
101  7.42400000000000E+0003
102  7.36550000000000E+0003
103  7.30700000000000E+0003
104  7.43800000000000E+0003
105  7.74500000000000E+0003
106  7.64150000000000E+0003
107  7.53800000000000E+0003
108  7.45400000000000E+0003
109  7.68800000000000E+0003
110  7.81600000000000E+0003
111  7.94400000000000E+0003
112  7.76700000000000E+0003
113  7.97100000000000E+0003
114  8.04000000000000E+0003
115  8.02700000000000E+0003
116  8.01400000000000E+0003
117  8.12200000000000E+0003
118  8.22200000000000E+0003
119  8.15000000000000E+0003
120  8.07800000000000E+0003
121  8.22700000000000E+0003
122  8.19400000000000E+0003
123  8.26550000000000E+0003
124  8.33700000000000E+0003
125  8.29700000000000E+0003
126  8.40200000000000E+0003
127  8.44300000000000E+0003
128  8.48400000000000E+0003
129  8.31000000000000E+0003
130  8.45600000000000E+0003
131  8.48200000000000E+0003
132  8.50800000000000E+0003
133  8.50700000000000E+0003
134  8.47200000000000E+0003
135  8.42550000000000E+0003
136  8.37900000000000E+0003
137  8.36800000000000E+0003
138  8.37800000000000E+0003
139  8.41500000000000E+0003
140  8.45200000000000E+0003
141  8.27900000000000E+0003
142  8.11700000000000E+0003
143  8.28600000000000E+0003
144  8.26050000000000E+0003
