живое время (секунд) 2409,70
кэВ    набор
1  6.10000000000000E+0001
2  6.70000000000000E+0001
3  7.30000000000000E+0001
4  5.90000000000000E+0001
5  5.70000000000000E+0001
6  4.40000000000000E+0001
7  5.10000000000000E+0001
8  5.80000000000000E+0001
9  4.40000000000000E+0001
10  6.00000000000000E+0001
11  6.25000000000000E+0001
12  6.50000000000000E+0001
13  4.50000000000000E+0001
14  3.90000000000000E+0001
15  4.55000000000000E+0001
16  5.20000000000000E+0001
17  5.00000000000000E+0001
18  4.20000000000000E+0001
19  4.70000000000000E+0001
20  5.20000000000000E+0001
21  3.90000000000000E+0001
22  3.10000000000000E+0001
23  3.00000000000000E+0001
24  2.90000000000000E+0001
25  4.20000000000000E+0001
26  3.50000000000000E+0001
27  4.30000000000000E+0001
28  5.10000000000000E+0001
29  2.80000000000000E+0001
30  3.30000000000000E+0001
31  3.20000000000000E+0001
32  3.65000000000000E+0001
33  4.10000000000000E+0001
34  4.30000000000000E+0001
35  3.90000000000000E+0001
36  4.45000000000000E+0001
37  5.00000000000000E+0001
38  5.90000000000000E+0001
39  5.10000000000000E+0001
40  6.00000000000000E+0001
41  6.90000000000000E+0001
42  7.50000000000000E+0001
43  8.40000000000000E+0001
44  8.95000000000000E+0001
45  9.50000000000000E+0001
46  1.23000000000000E+0002
47  1.63000000000000E+0002
48  1.80500000000000E+0002
49  1.98000000000000E+0002
50  2.55000000000000E+0002
51  3.18000000000000E+0002
52  3.63500000000000E+0002
53  4.09000000000000E+0002
54  5.08000000000000E+0002
55  6.10000000000000E+0002
56  6.82500000000000E+0002
57  7.55000000000000E+0002
58  9.30000000000000E+0002
59  1.01100000000000E+0003
60  1.14500000000000E+0003
61  1.20550000000000E+0003
62  1.26600000000000E+0003
63  1.32800000000000E+0003
64  1.51700000000000E+0003
65  1.53200000000000E+0003
66  1.54700000000000E+0003
67  1.73400000000000E+0003
68  1.87800000000000E+0003
69  1.96150000000000E+0003
70  2.04500000000000E+0003
71  2.03000000000000E+0003
72  2.12600000000000E+0003
73  2.14250000000000E+0003
74  2.15900000000000E+0003
75  2.17300000000000E+0003
76  2.12700000000000E+0003
77  2.12600000000000E+0003
78  2.12500000000000E+0003
79  2.10600000000000E+0003
80  2.19400000000000E+0003
81  2.15250000000000E+0003
82  2.11100000000000E+0003
83  2.19700000000000E+0003
84  2.20200000000000E+0003
85  2.17450000000000E+0003
86  2.14700000000000E+0003
87  2.13400000000000E+0003
88  2.11300000000000E+0003
89  2.07800000000000E+0003
90  2.07000000000000E+0003
91  2.06200000000000E+0003
92  2.04500000000000E+0003
93  2.05500000000000E+0003
94  2.04950000000000E+0003
95  2.04400000000000E+0003
96  2.05400000000000E+0003
97  2.10100000000000E+0003
98  2.13500000000000E+0003
99  2.16900000000000E+0003
100  2.14300000000000E+0003
101  2.18000000000000E+0003
102  2.19750000000000E+0003
103  2.21500000000000E+0003
104  2.32000000000000E+0003
105  2.33100000000000E+0003
106  2.32100000000000E+0003
107  2.31100000000000E+0003
108  2.37300000000000E+0003
109  2.52300000000000E+0003
110  2.48850000000000E+0003
111  2.45400000000000E+0003
112  2.43700000000000E+0003
113  2.45200000000000E+0003
114  2.52400000000000E+0003
115  2.59600000000000E+0003
116  2.64200000000000E+0003
117  2.63800000000000E+0003
118  2.62400000000000E+0003
119  2.67500000000000E+0003
120  2.72600000000000E+0003
121  2.64700000000000E+0003
122  2.75000000000000E+0003
123  2.78500000000000E+0003
124  2.82000000000000E+0003
125  2.69400000000000E+0003
126  2.82500000000000E+0003
127  2.81350000000000E+0003
128  2.80200000000000E+0003
129  2.80600000000000E+0003
130  2.71600000000000E+0003
131  2.76400000000000E+0003
132  2.81200000000000E+0003
133  2.80800000000000E+0003
134  2.73800000000000E+0003
135  2.75350000000000E+0003
136  2.76900000000000E+0003
137  2.87400000000000E+0003
138  2.69000000000000E+0003
139  2.74100000000000E+0003
140  2.79200000000000E+0003
141  2.73000000000000E+0003
142  2.71500000000000E+0003
143  2.74000000000000E+0003
144  2.76500000000000E+0003
145  2.73400000000000E+0003
146  2.72200000000000E+0003
147  2.68200000000000E+0003
148  2.72350000000000E+0003
149  2.76500000000000E+0003
150  2.74600000000000E+0003
151  2.58400000000000E+0003
152  2.58200000000000E+0003
153  2.58000000000000E+0003
154  2.68200000000000E+0003
155  2.63200000000000E+0003
156  2.63800000000000E+0003
157  2.64400000000000E+0003
158  2.70200000000000E+0003
159  2.53600000000000E+0003
160  2.56250000000000E+0003
161  2.58900000000000E+0003
162  2.63200000000000E+0003
163  2.61200000000000E+0003
164  2.58500000000000E+0003
165  2.55800000000000E+0003
166  2.60600000000000E+0003
167  2.47000000000000E+0003
168  2.50350000000000E+0003
169  2.53700000000000E+0003
170  2.58200000000000E+0003
171  2.56900000000000E+0003
172  2.54100000000000E+0003
173  2.51300000000000E+0003
174  2.52000000000000E+0003
175  2.51400000000000E+0003
176  2.52600000000000E+0003
177  2.51800000000000E+0003
178  2.51000000000000E+0003
179  2.58900000000000E+0003
180  2.42100000000000E+0003
181  2.41400000000000E+0003
182  2.40700000000000E+0003
183  2.52400000000000E+0003
184  2.38600000000000E+0003
185  2.40600000000000E+0003
186  2.42600000000000E+0003
187  2.39500000000000E+0003
188  2.40300000000000E+0003
189  2.46050000000000E+0003
190  2.51800000000000E+0003
191  2.35300000000000E+0003
192  2.38600000000000E+0003
193  2.37150000000000E+0003
194  2.35700000000000E+0003
195  2.31400000000000E+0003
196  2.25800000000000E+0003
197  2.29650000000000E+0003
198  2.33500000000000E+0003
199  2.20400000000000E+0003
200  2.23300000000000E+0003
201  2.20250000000000E+0003
