живое время (секунд) 59838,00
Канал    набор
1  1.04400000000000E+0003
2  1.00900000000000E+0003
3  9.62000000000000E+0002
4  9.68000000000000E+0002
5  9.72000000000000E+0002
6  9.23000000000000E+0002
7  9.07000000000000E+0002
8  9.50000000000000E+0002
9  8.57000000000000E+0002
10  8.39000000000000E+0002
11  7.60000000000000E+0002
12  7.18000000000000E+0002
13  6.75000000000000E+0002
14  6.20000000000000E+0002
15  5.69000000000000E+0002
16  5.01000000000000E+0002
17  4.95000000000000E+0002
18  4.47000000000000E+0002
19  4.43000000000000E+0002
20  4.06000000000000E+0002
21  4.08000000000000E+0002
22  3.39000000000000E+0002
23  3.33000000000000E+0002
24  3.32000000000000E+0002
25  3.37000000000000E+0002
26  3.26000000000000E+0002
27  3.32000000000000E+0002
28  3.60000000000000E+0002
29  4.01000000000000E+0002
30  3.64000000000000E+0002
31  4.03000000000000E+0002
32  4.49000000000000E+0002
33  5.07000000000000E+0002
34  5.63000000000000E+0002
35  6.72000000000000E+0002
36  7.57000000000000E+0002
37  8.64000000000000E+0002
38  1.02000000000000E+0003
39  1.20500000000000E+0003
40  1.55800000000000E+0003
41  1.89600000000000E+0003
42  2.20600000000000E+0003
43  2.54100000000000E+0003
44  2.98800000000000E+0003
45  3.49900000000000E+0003
46  3.86200000000000E+0003
47  4.41000000000000E+0003
48  4.77500000000000E+0003
49  5.14700000000000E+0003
50  5.49500000000000E+0003
51  6.12400000000000E+0003
52  6.52500000000000E+0003
53  6.87100000000000E+0003
54  7.00900000000000E+0003
55  7.51900000000000E+0003
56  7.84300000000000E+0003
57  7.94400000000000E+0003
58  7.91200000000000E+0003
59  7.87600000000000E+0003
60  7.68600000000000E+0003
61  7.69500000000000E+0003
62  7.71000000000000E+0003
63  7.71500000000000E+0003
64  7.72400000000000E+0003
65  7.82100000000000E+0003
66  7.86200000000000E+0003
67  7.66900000000000E+0003
68  7.60500000000000E+0003
69  7.66500000000000E+0003
70  7.54600000000000E+0003
71  7.44400000000000E+0003
72  7.54000000000000E+0003
73  7.58300000000000E+0003
74  7.54600000000000E+0003
75  7.53200000000000E+0003
76  7.76500000000000E+0003
77  7.79200000000000E+0003
78  7.79600000000000E+0003
79  7.89000000000000E+0003
80  7.84100000000000E+0003
81  8.04800000000000E+0003
82  7.98500000000000E+0003
83  8.23000000000000E+0003
84  8.26000000000000E+0003
85  8.30700000000000E+0003
86  8.39600000000000E+0003
87  8.55800000000000E+0003
88  8.57600000000000E+0003
89  8.52000000000000E+0003
90  8.59800000000000E+0003
91  8.67800000000000E+0003
92  8.72900000000000E+0003
93  8.82000000000000E+0003
94  8.90500000000000E+0003
95  8.70900000000000E+0003
96  8.78200000000000E+0003
97  9.06200000000000E+0003
98  8.89500000000000E+0003
99  8.85300000000000E+0003
100  8.92600000000000E+0003
101  8.93400000000000E+0003
102  8.85500000000000E+0003
103  9.03100000000000E+0003
104  8.72100000000000E+0003
105  8.89000000000000E+0003
106  8.82200000000000E+0003
107  8.90800000000000E+0003
108  8.77800000000000E+0003
109  8.85800000000000E+0003
110  8.62300000000000E+0003
111  8.57100000000000E+0003
112  8.72300000000000E+0003
113  8.57600000000000E+0003
114  8.64100000000000E+0003
115  8.50700000000000E+0003
116  8.52400000000000E+0003
117  8.54900000000000E+0003
118  8.23300000000000E+0003
119  8.19200000000000E+0003
120  8.29200000000000E+0003
121  8.18400000000000E+0003
122  8.14300000000000E+0003
123  8.06500000000000E+0003
124  7.98200000000000E+0003
125  7.94200000000000E+0003
126  7.90800000000000E+0003
127  7.94100000000000E+0003
128  7.77900000000000E+0003
129  7.74400000000000E+0003
130  7.68100000000000E+0003
131  7.59600000000000E+0003
132  7.56100000000000E+0003
133  7.59400000000000E+0003
134  7.44300000000000E+0003
135  7.51300000000000E+0003
136  7.52500000000000E+0003
137  7.53200000000000E+0003
138  7.49500000000000E+0003
139  7.17800000000000E+0003
140  7.09900000000000E+0003
141  7.10800000000000E+0003
142  7.32600000000000E+0003
143  6.86900000000000E+0003
144  7.11100000000000E+0003
145  6.96800000000000E+0003
146  6.97200000000000E+0003
147  6.76000000000000E+0003
148  6.61000000000000E+0003
149  6.75900000000000E+0003
150  6.56600000000000E+0003
151  6.57400000000000E+0003
152  6.51100000000000E+0003
153  6.39600000000000E+0003
154  6.34200000000000E+0003
155  6.40400000000000E+0003
156  6.27400000000000E+0003
157  6.29200000000000E+0003
158  6.28600000000000E+0003
159  6.17600000000000E+0003
160  6.06200000000000E+0003
161  6.04900000000000E+0003
162  6.09800000000000E+0003
163  6.00400000000000E+0003
164  5.92300000000000E+0003
165  5.95400000000000E+0003
166  5.63600000000000E+0003
167  5.69300000000000E+0003
168  5.65400000000000E+0003
169  5.60400000000000E+0003
170  5.61100000000000E+0003
171  5.50400000000000E+0003
172  5.50200000000000E+0003
173  5.37800000000000E+0003
174  5.39900000000000E+0003
175  5.26200000000000E+0003
176  5.29900000000000E+0003
177  5.23800000000000E+0003
178  5.25800000000000E+0003
179  5.21200000000000E+0003
180  4.99800000000000E+0003
181  5.18200000000000E+0003
182  4.93300000000000E+0003
183  4.86400000000000E+0003
184  4.88300000000000E+0003
185  4.78100000000000E+0003
186  4.71600000000000E+0003
187  4.65600000000000E+0003
188  4.64100000000000E+0003
189  4.43600000000000E+0003
190  4.27200000000000E+0003
191  4.23000000000000E+0003
192  4.24000000000000E+0003
193  4.24800000000000E+0003
194  4.29800000000000E+0003
195  4.04700000000000E+0003
196  4.06800000000000E+0003
197  4.00000000000000E+0003
198  3.97900000000000E+0003
199  4.06800000000000E+0003
200  4.07300000000000E+0003
201  3.81400000000000E+0003
202  3.79400000000000E+0003
203  3.87800000000000E+0003
204  3.84800000000000E+0003
205  3.70500000000000E+0003
