живое время (секунд) 59724,00
кэВ    набор
1  0.00000000000000E+0000
2  1.14800000000000E+0003
3  1.15600000000000E+0003
4  1.16400000000000E+0003
5  1.11700000000000E+0003
6  9.97000000000000E+0002
7  1.02850000000000E+0003
8  1.06000000000000E+0003
9  1.01800000000000E+0003
10  1.00700000000000E+0003
11  9.71500000000000E+0002
12  9.36000000000000E+0002
13  8.58000000000000E+0002
14  7.52000000000000E+0002
15  7.51500000000000E+0002
16  7.51000000000000E+0002
17  6.70000000000000E+0002
18  6.01000000000000E+0002
19  5.65500000000000E+0002
20  5.30000000000000E+0002
21  4.83000000000000E+0002
22  5.14000000000000E+0002
23  4.95500000000000E+0002
24  4.77000000000000E+0002
25  4.29000000000000E+0002
26  3.34000000000000E+0002
27  3.47000000000000E+0002
28  3.10500000000000E+0002
29  2.74000000000000E+0002
30  2.85000000000000E+0002
31  2.85000000000000E+0002
32  2.82500000000000E+0002
33  2.80000000000000E+0002
34  2.90000000000000E+0002
35  3.11000000000000E+0002
36  3.17000000000000E+0002
37  3.23000000000000E+0002
38  3.75000000000000E+0002
39  3.85000000000000E+0002
40  3.83500000000000E+0002
41  3.82000000000000E+0002
42  4.07000000000000E+0002
43  4.72000000000000E+0002
44  5.02500000000000E+0002
45  5.33000000000000E+0002
46  6.72000000000000E+0002
47  6.77000000000000E+0002
48  7.59500000000000E+0002
49  8.42000000000000E+0002
50  9.77000000000000E+0002
51  1.24000000000000E+0003
52  1.38500000000000E+0003
53  1.53000000000000E+0003
54  1.80200000000000E+0003
55  2.17700000000000E+0003
56  2.60300000000000E+0003
57  2.80950000000000E+0003
58  3.01600000000000E+0003
59  3.48800000000000E+0003
60  3.90000000000000E+0003
61  4.09450000000000E+0003
62  4.28900000000000E+0003
63  4.87200000000000E+0003
64  5.18700000000000E+0003
65  5.33500000000000E+0003
66  5.48300000000000E+0003
67  6.00800000000000E+0003
68  6.37300000000000E+0003
69  6.62250000000000E+0003
70  6.87200000000000E+0003
71  7.20600000000000E+0003
72  7.73800000000000E+0003
73  7.77750000000000E+0003
74  7.81700000000000E+0003
75  7.97800000000000E+0003
76  7.91500000000000E+0003
77  7.84850000000000E+0003
78  7.78200000000000E+0003
79  7.67700000000000E+0003
80  7.66300000000000E+0003
81  7.74150000000000E+0003
82  7.82000000000000E+0003
83  7.82400000000000E+0003
84  7.68800000000000E+0003
85  7.95000000000000E+0003
86  7.91450000000000E+0003
87  7.87900000000000E+0003
88  7.65800000000000E+0003
89  7.90700000000000E+0003
90  7.74950000000000E+0003
91  7.59200000000000E+0003
