живое время (сеунд) 2759,30
кэВ    набор
1  5.60000000000000E+0001
2  6.35000000000000E+0001
3  7.10000000000000E+0001
4  7.20000000000000E+0001
5  6.20000000000000E+0001
6  5.90000000000000E+0001
7  6.45000000000000E+0001
8  7.00000000000000E+0001
9  7.10000000000000E+0001
10  6.70000000000000E+0001
11  6.55000000000000E+0001
12  6.40000000000000E+0001
13  7.70000000000000E+0001
14  7.90000000000000E+0001
15  7.55000000000000E+0001
16  7.20000000000000E+0001
17  7.20000000000000E+0001
18  7.60000000000000E+0001
19  7.85000000000000E+0001
20  8.10000000000000E+0001
21  6.10000000000000E+0001
22  5.60000000000000E+0001
23  6.30000000000000E+0001
24  7.00000000000000E+0001
25  7.40000000000000E+0001
26  5.90000000000000E+0001
27  6.25000000000000E+0001
28  6.60000000000000E+0001
29  5.70000000000000E+0001
30  7.00000000000000E+0001
31  5.30000000000000E+0001
32  5.20000000000000E+0001
33  5.10000000000000E+0001
34  5.10000000000000E+0001
35  7.80000000000000E+0001
36  6.70000000000000E+0001
37  5.60000000000000E+0001
38  7.60000000000000E+0001
39  9.00000000000000E+0001
40  9.45000000000000E+0001
41  9.90000000000000E+0001
42  1.17000000000000E+0002
43  1.14000000000000E+0002
44  1.46500000000000E+0002
45  1.79000000000000E+0002
46  1.86000000000000E+0002
47  2.51000000000000E+0002
48  2.81000000000000E+0002
49  3.11000000000000E+0002
50  3.66000000000000E+0002
51  4.77000000000000E+0002
52  5.37000000000000E+0002
53  5.97000000000000E+0002
54  7.68000000000000E+0002
55  8.83000000000000E+0002
56  9.40000000000000E+0002
57  9.97000000000000E+0002
58  1.28700000000000E+0003
59  1.40500000000000E+0003
60  1.57700000000000E+0003
61  1.61500000000000E+0003
62  1.65300000000000E+0003
63  1.96000000000000E+0003
64  2.13200000000000E+0003
65  2.21900000000000E+0003
66  2.30600000000000E+0003
67  2.55000000000000E+0003
68  2.70200000000000E+0003
69  2.80250000000000E+0003
70  2.90300000000000E+0003
71  2.98300000000000E+0003
72  3.16900000000000E+0003
73  3.15850000000000E+0003
74  3.14800000000000E+0003
75  3.11700000000000E+0003
76  3.14600000000000E+0003
77  3.10900000000000E+0003
78  3.07200000000000E+0003
79  3.13100000000000E+0003
80  3.10100000000000E+0003
81  3.09850000000000E+0003
82  3.09600000000000E+0003
83  3.14000000000000E+0003
84  3.15200000000000E+0003
85  3.13750000000000E+0003
86  3.12300000000000E+0003
87  3.19300000000000E+0003
88  3.08500000000000E+0003
89  3.09100000000000E+0003
90  3.09600000000000E+0003
91  3.10100000000000E+0003
92  3.13400000000000E+0003
93  3.08300000000000E+0003
94  3.15550000000000E+0003
95  3.22800000000000E+0003
96  3.21900000000000E+0003
97  3.15000000000000E+0003
98  3.27650000000000E+0003
99  3.40300000000000E+0003
100  3.33900000000000E+0003
101  3.46600000000000E+0003
102  3.49300000000000E+0003
103  3.52000000000000E+0003
104  3.60800000000000E+0003
105  3.66400000000000E+0003
106  3.62700000000000E+0003
107  3.59000000000000E+0003
108  3.75200000000000E+0003
109  3.80000000000000E+0003
110  3.80950000000000E+0003
111  3.81900000000000E+0003
112  3.88700000000000E+0003
113  3.87300000000000E+0003
114  3.89850000000000E+0003
115  3.92400000000000E+0003
116  3.98400000000000E+0003
117  3.96800000000000E+0003
118  4.08100000000000E+0003
119  4.07650000000000E+0003
120  4.07200000000000E+0003
121  4.05700000000000E+0003
122  4.15400000000000E+0003
123  4.12000000000000E+0003
124  4.08600000000000E+0003
125  4.15400000000000E+0003
126  4.06200000000000E+0003
127  4.14250000000000E+0003
128  4.22300000000000E+0003
129  4.29700000000000E+0003
130  4.15800000000000E+0003
131  4.16250000000000E+0003
132  4.16700000000000E+0003
133  4.19700000000000E+0003
134  4.18900000000000E+0003
135  4.14950000000000E+0003
136  4.11000000000000E+0003
137  4.11400000000000E+0003
138  4.18600000000000E+0003
139  4.15550000000000E+0003
140  4.12500000000000E+0003
141  4.04700000000000E+0003
142  4.11900000000000E+0003
143  4.09200000000000E+0003
144  4.06500000000000E+0003
145  4.21900000000000E+0003
146  4.15100000000000E+0003
147  4.03500000000000E+0003
148  4.03000000000000E+0003
149  4.02500000000000E+0003
150  4.05200000000000E+0003
151  3.95100000000000E+0003
152  3.95100000000000E+0003
153  3.95100000000000E+0003
154  3.92300000000000E+0003
155  3.92300000000000E+0003
156  4.00500000000000E+0003
157  4.08700000000000E+0003
158  3.80500000000000E+0003
159  3.86900000000000E+0003
160  3.91450000000000E+0003
161  3.96000000000000E+0003
162  3.82800000000000E+0003
163  3.79900000000000E+0003
164  3.74300000000000E+0003
165  3.68700000000000E+0003
166  3.64400000000000E+0003
167  3.67300000000000E+0003
168  3.68300000000000E+0003
169  3.69300000000000E+0003
170  3.63200000000000E+0003
171  3.63500000000000E+0003
172  3.61750000000000E+0003
173  3.60000000000000E+0003
174  3.58500000000000E+0003
175  3.60700000000000E+0003
176  3.69500000000000E+0003
177  3.60700000000000E+0003
178  3.51900000000000E+0003
179  3.61900000000000E+0003
180  3.52000000000000E+0003
