живое время (секунд) 2940,20
кэВ    набор
1  6.70000000000000E+0001
2  6.00000000000000E+0001
3  5.30000000000000E+0001
4  8.00000000000000E+0001
5  6.80000000000000E+0001
6  8.90000000000000E+0001
7  8.65000000000000E+0001
8  8.40000000000000E+0001
9  8.30000000000000E+0001
10  8.10000000000000E+0001
11  7.55000000000000E+0001
12  7.00000000000000E+0001
13  7.20000000000000E+0001
14  8.90000000000000E+0001
15  8.40000000000000E+0001
16  7.90000000000000E+0001
17  5.70000000000000E+0001
18  7.30000000000000E+0001
19  6.90000000000000E+0001
20  6.50000000000000E+0001
21  6.90000000000000E+0001
22  7.70000000000000E+0001
23  7.15000000000000E+0001
24  6.60000000000000E+0001
25  6.80000000000000E+0001
26  5.90000000000000E+0001
27  6.70000000000000E+0001
28  7.50000000000000E+0001
29  7.70000000000000E+0001
30  7.50000000000000E+0001
31  6.40000000000000E+0001
32  6.55000000000000E+0001
33  6.70000000000000E+0001
34  6.70000000000000E+0001
35  8.20000000000000E+0001
36  7.30000000000000E+0001
37  6.40000000000000E+0001
38  9.40000000000000E+0001
39  9.10000000000000E+0001
40  9.90000000000000E+0001
41  1.07000000000000E+0002
42  1.23000000000000E+0002
43  1.37000000000000E+0002
44  1.49500000000000E+0002
45  1.62000000000000E+0002
46  1.91000000000000E+0002
47  2.44000000000000E+0002
48  2.82500000000000E+0002
49  3.21000000000000E+0002
50  3.69000000000000E+0002
51  4.97000000000000E+0002
52  5.36000000000000E+0002
53  5.75000000000000E+0002
54  7.46000000000000E+0002
55  9.38000000000000E+0002
56  9.88000000000000E+0002
57  1.03800000000000E+0003
58  1.25400000000000E+0003
59  1.41900000000000E+0003
60  1.60500000000000E+0003
61  1.66650000000000E+0003
62  1.72800000000000E+0003
63  1.88700000000000E+0003
64  2.16400000000000E+0003
65  2.20850000000000E+0003
66  2.25300000000000E+0003
67  2.52900000000000E+0003
68  2.76200000000000E+0003
69  2.81550000000000E+0003
70  2.86900000000000E+0003
71  2.96000000000000E+0003
72  3.10100000000000E+0003
73  3.15950000000000E+0003
74  3.21800000000000E+0003
75  3.09800000000000E+0003
76  3.06200000000000E+0003
77  3.07450000000000E+0003
78  3.08700000000000E+0003
79  2.97700000000000E+0003
80  3.13200000000000E+0003
81  3.13600000000000E+0003
82  3.14000000000000E+0003
83  3.24700000000000E+0003
84  3.22800000000000E+0003
85  3.22600000000000E+0003
86  3.22400000000000E+0003
87  3.26300000000000E+0003
88  3.28200000000000E+0003
89  3.25000000000000E+0003
90  3.26900000000000E+0003
91  3.28800000000000E+0003
92  3.09800000000000E+0003
93  3.18800000000000E+0003
94  3.19950000000000E+0003
95  3.21100000000000E+0003
96  3.27100000000000E+0003
97  3.27100000000000E+0003
98  3.30600000000000E+0003
99  3.34100000000000E+0003
100  3.52900000000000E+0003
101  3.61000000000000E+0003
102  3.63700000000000E+0003
103  3.66400000000000E+0003
104  3.56600000000000E+0003
105  3.74400000000000E+0003
106  3.75250000000000E+0003
107  3.76100000000000E+0003
108  3.93500000000000E+0003
109  3.88200000000000E+0003
110  3.86000000000000E+0003
111  3.83800000000000E+0003
112  3.96200000000000E+0003
113  4.04300000000000E+0003
114  3.98150000000000E+0003
115  3.92000000000000E+0003
116  4.02100000000000E+0003
117  4.09000000000000E+0003
118  4.23700000000000E+0003
119  4.22600000000000E+0003
120  4.21500000000000E+0003
121  4.17300000000000E+0003
122  4.15800000000000E+0003
123  4.19900000000000E+0003
124  4.24000000000000E+0003
125  4.24300000000000E+0003
126  4.30400000000000E+0003
127  4.31250000000000E+0003
128  4.32100000000000E+0003
129  4.25700000000000E+0003
130  4.12600000000000E+0003
131  4.18200000000000E+0003
132  4.23800000000000E+0003
133  4.32600000000000E+0003
134  4.36600000000000E+0003
135  4.37500000000000E+0003
136  4.38400000000000E+0003
137  4.33900000000000E+0003
138  4.30300000000000E+0003
139  4.24350000000000E+0003
140  4.18400000000000E+0003
141  4.26000000000000E+0003
142  4.11800000000000E+0003
143  4.17950000000000E+0003
144  4.24100000000000E+0003
145  4.16500000000000E+0003
146  4.04700000000000E+0003
147  4.09300000000000E+0003
148  4.09800000000000E+0003
149  4.10300000000000E+0003
150  4.05000000000000E+0003
151  4.16600000000000E+0003
152  4.10700000000000E+0003
153  4.04800000000000E+0003
154  4.00200000000000E+0003
155  4.04300000000000E+0003
156  3.97150000000000E+0003
157  3.90000000000000E+0003
158  3.94400000000000E+0003
159  3.88900000000000E+0003
160  3.91950000000000E+0003
161  3.95000000000000E+0003
162  3.90200000000000E+0003
163  3.80300000000000E+0003
164  3.80550000000000E+0003
165  3.80800000000000E+0003
166  3.84800000000000E+0003
167  3.66100000000000E+0003
168  3.68800000000000E+0003
169  3.71500000000000E+0003
170  3.67200000000000E+0003
171  3.69500000000000E+0003
172  3.69750000000000E+0003
173  3.70000000000000E+0003
174  3.65000000000000E+0003
175  3.71900000000000E+0003
176  3.59600000000000E+0003
177  3.55550000000000E+0003
178  3.51500000000000E+0003
179  3.63000000000000E+0003
180  3.49600000000000E+0003
181  3.56200000000000E+0003
182  3.62800000000000E+0003
183  3.43500000000000E+0003
184  3.54400000000000E+0003
185  3.48950000000000E+0003
186  3.43500000000000E+0003
187  3.43600000000000E+0003
188  3.40500000000000E+0003
189  3.33850000000000E+0003
190  3.27200000000000E+0003
191  3.43200000000000E+0003
192  3.35400000000000E+0003
193  3.32350000000000E+0003
194  3.29300000000000E+0003
195  3.28300000000000E+0003
196  3.21300000000000E+0003
197  3.18500000000000E+0003
198  3.15700000000000E+0003
199  3.11200000000000E+0003
200  3.02900000000000E+0003
201  3.08600000000000E+0003
202  3.14300000000000E+0003
203  2.99900000000000E+0003
204  2.88900000000000E+0003
205  2.94800000000000E+0003
206  2.86950000000000E+0003
207  2.79100000000000E+0003
208  2.84000000000000E+0003
209  2.74500000000000E+0003
210  2.72950000000000E+0003
211  2.71400000000000E+0003
212  2.74100000000000E+0003
213  2.69100000000000E+0003
214  2.65900000000000E+0003
215  2.62700000000000E+0003
216  2.65100000000000E+0003
217  2.65400000000000E+0003
218  2.53700000000000E+0003
219  2.42000000000000E+0003
220  2.46400000000000E+0003
221  2.52200000000000E+0003
222  2.48100000000000E+0003
223  2.44000000000000E+0003
224  2.31200000000000E+0003
225  2.44000000000000E+0003
226  2.36600000000000E+0003
227  2.29200000000000E+0003
228  2.28700000000000E+0003
229  2.27600000000000E+0003
230  2.25850000000000E+0003
231  2.24100000000000E+0003
232  2.16400000000000E+0003
233  2.15600000000000E+0003
234  2.11000000000000E+0003
235  2.07700000000000E+0003
236  2.04400000000000E+0003
237  2.05100000000000E+0003
238  2.04500000000000E+0003
239  2.01050000000000E+0003
240  1.97600000000000E+0003
241  1.99600000000000E+0003
242  1.96100000000000E+0003
243  1.95600000000000E+0003
244  1.95100000000000E+0003
245  1.85900000000000E+0003
246  1.88600000000000E+0003
247  1.82900000000000E+0003
248  1.77200000000000E+0003
249  1.87500000000000E+0003
250  1.74700000000000E+0003
251  1.73700000000000E+0003
252  1.72700000000000E+0003
253  1.71200000000000E+0003
254  1.75100000000000E+0003
255  1.69700000000000E+0003
256  1.64300000000000E+0003
257  1.72500000000000E+0003
258  1.56700000000000E+0003
259  1.58550000000000E+0003
260  1.60400000000000E+0003
261  1.56900000000000E+0003
262  1.57200000000000E+0003
263  1.53500000000000E+0003
264  1.51250000000000E+0003
265  1.49000000000000E+0003
266  1.54100000000000E+0003
267  1.43300000000000E+0003
268  1.43950000000000E+0003
269  1.44600000000000E+0003
270  1.47200000000000E+0003
271  1.52000000000000E+0003
272  1.48150000000000E+0003
273  1.44300000000000E+0003
274  1.38800000000000E+0003
275  1.35400000000000E+0003
276  1.33900000000000E+0003
277  1.32400000000000E+0003
278  1.34700000000000E+0003
279  1.32200000000000E+0003
280  1.34100000000000E+0003
281  1.36000000000000E+0003
282  1.23400000000000E+0003
283  1.30100000000000E+0003
284  1.30300000000000E+0003
285  1.30500000000000E+0003
286  1.37000000000000E+0003
287  1.23700000000000E+0003
288  1.26600000000000E+0003
289  1.23650000000000E+0003
290  1.20700000000000E+0003
291  1.19300000000000E+0003
292  1.20600000000000E+0003
293  1.16800000000000E+0003
294  1.13000000000000E+0003
295  1.24000000000000E+0003
296  1.11800000000000E+0003
