живое время (секуд) 3163,10
кэВ    набор 
1  4.80000000000000E+0001
2  4.35000000000000E+0001
3  3.90000000000000E+0001
4  4.00000000000000E+0001
5  5.10000000000000E+0001
6  5.10000000000000E+0001
7  5.30000000000000E+0001
8  5.50000000000000E+0001
9  8.00000000000000E+0001
10  5.60000000000000E+0001
11  5.75000000000000E+0001
12  5.90000000000000E+0001
13  6.60000000000000E+0001
14  5.50000000000000E+0001
15  5.95000000000000E+0001
16  6.40000000000000E+0001
17  6.70000000000000E+0001
18  7.20000000000000E+0001
19  7.30000000000000E+0001
20  7.40000000000000E+0001
21  6.00000000000000E+0001
22  8.30000000000000E+0001
23  8.05000000000000E+0001
24  7.80000000000000E+0001
25  9.20000000000000E+0001
26  1.08000000000000E+0002
27  1.18000000000000E+0002
28  1.28000000000000E+0002
29  8.20000000000000E+0001
30  8.40000000000000E+0001
31  1.03000000000000E+0002
32  9.35000000000000E+0001
33  8.40000000000000E+0001
34  8.90000000000000E+0001
35  1.01000000000000E+0002
36  1.00000000000000E+0002
37  9.90000000000000E+0001
38  9.00000000000000E+0001
39  7.30000000000000E+0001
40  8.40000000000000E+0001
41  9.50000000000000E+0001
42  1.02000000000000E+0002
43  1.05000000000000E+0002
44  1.34500000000000E+0002
45  1.64000000000000E+0002
46  1.31000000000000E+0002
47  2.01000000000000E+0002
48  2.45000000000000E+0002
49  2.89000000000000E+0002
50  3.52000000000000E+0002
51  4.19000000000000E+0002
52  5.03000000000000E+0002
53  5.87000000000000E+0002
54  7.49000000000000E+0002
55  8.78000000000000E+0002
56  9.83500000000000E+0002
57  1.08900000000000E+0003
58  1.22800000000000E+0003
59  1.42500000000000E+0003
60  1.62400000000000E+0003
61  1.67200000000000E+0003
62  1.72000000000000E+0003
63  1.89700000000000E+0003
64  2.13200000000000E+0003
65  2.22300000000000E+0003
66  2.31400000000000E+0003
67  2.46700000000000E+0003
68  2.72200000000000E+0003
69  2.79800000000000E+0003
70  2.87400000000000E+0003
71  3.05200000000000E+0003
72  3.07700000000000E+0003
73  3.06550000000000E+0003
74  3.05400000000000E+0003
75  3.19400000000000E+0003
76  3.06000000000000E+0003
77  3.01200000000000E+0003
78  2.96400000000000E+0003
79  2.98900000000000E+0003
80  3.05800000000000E+0003
81  3.02450000000000E+0003
82  2.99100000000000E+0003
83  3.04900000000000E+0003
84  3.05900000000000E+0003
85  3.07950000000000E+0003
86  3.10000000000000E+0003
87  2.98200000000000E+0003
88  2.98600000000000E+0003
89  2.98800000000000E+0003
90  2.92400000000000E+0003
91  2.86000000000000E+0003
92  2.87100000000000E+0003
93  2.95600000000000E+0003
94  2.93000000000000E+0003
95  2.90400000000000E+0003
96  2.94200000000000E+0003
97  2.97900000000000E+0003
98  3.02450000000000E+0003
99  3.07000000000000E+0003
100  3.09900000000000E+0003
101  3.16800000000000E+0003
102  3.18100000000000E+0003
103  3.19400000000000E+0003
104  3.14100000000000E+0003
105  3.26700000000000E+0003
106  3.30700000000000E+0003
107  3.34700000000000E+0003
108  3.45100000000000E+0003
109  3.37600000000000E+0003
110  3.40800000000000E+0003
111  3.44000000000000E+0003
112  3.60400000000000E+0003
113  3.61500000000000E+0003
114  3.64000000000000E+0003
115  3.66500000000000E+0003
116  3.68500000000000E+0003
117  3.76100000000000E+0003
118  3.68600000000000E+0003
119  3.71750000000000E+0003
120  3.74900000000000E+0003
121  3.74800000000000E+0003
122  3.74500000000000E+0003
123  3.74700000000000E+0003
124  3.74900000000000E+0003
125  3.88400000000000E+0003
126  3.85400000000000E+0003
127  3.83450000000000E+0003
128  3.81500000000000E+0003
129  3.91900000000000E+0003
130  3.87000000000000E+0003
131  3.86150000000000E+0003
132  3.85300000000000E+0003
133  3.92200000000000E+0003
134  3.86200000000000E+0003
135  3.85900000000000E+0003
136  3.85600000000000E+0003
137  3.91900000000000E+0003
138  3.77000000000000E+0003
139  3.82350000000000E+0003
140  3.87700000000000E+0003
141  3.95900000000000E+0003
142  3.75300000000000E+0003
143  3.76800000000000E+0003
144  3.78300000000000E+0003
145  3.81800000000000E+0003
146  3.89800000000000E+0003
147  3.77500000000000E+0003
148  3.85700000000000E+0003
149  3.93900000000000E+0003
150  3.69100000000000E+0003
151  3.80600000000000E+0003
152  3.78950000000000E+0003
153  3.77300000000000E+0003
154  3.72700000000000E+0003
155  3.71500000000000E+0003
156  3.73800000000000E+0003
157  3.76100000000000E+0003
158  3.71400000000000E+0003
159  3.64300000000000E+0003
160  3.69400000000000E+0003
161  3.74500000000000E+0003
162  3.66400000000000E+0003
163  3.60100000000000E+0003
164  3.64750000000000E+0003
165  3.69400000000000E+0003
166  3.62800000000000E+0003
167  3.46200000000000E+0003
168  3.54800000000000E+0003
169  3.63400000000000E+0003
170  3.58500000000000E+0003
171  3.56000000000000E+0003
172  3.52850000000000E+0003
173  3.49700000000000E+0003
174  3.40900000000000E+0003
175  3.48100000000000E+0003
176  3.46500000000000E+0003
177  3.44600000000000E+0003
178  3.42700000000000E+0003
179  3.45600000000000E+0003
180  3.55300000000000E+0003
181  3.53600000000000E+0003
182  3.51900000000000E+0003
183  3.42300000000000E+0003
184  3.47100000000000E+0003
185  3.51650000000000E+0003
186  3.56200000000000E+0003
187  3.59500000000000E+0003
188  3.43200000000000E+0003
189  3.44300000000000E+0003
190  3.45400000000000E+0003
191  3.38900000000000E+0003
192  3.39000000000000E+0003
193  3.39450000000000E+0003
194  3.39900000000000E+0003
195  3.23800000000000E+0003
196  3.16600000000000E+0003
197  3.17550000000000E+0003
198  3.18500000000000E+0003
199  3.15500000000000E+0003
200  3.04100000000000E+0003
201  3.05400000000000E+0003
202  3.06700000000000E+0003
203  3.03700000000000E+0003
204  2.93300000000000E+0003
205  3.01500000000000E+0003
206  2.91000000000000E+0003
207  2.80500000000000E+0003
208  2.87400000000000E+0003
209  2.81100000000000E+0003
210  2.76250000000000E+0003
211  2.71400000000000E+0003
212  2.70700000000000E+0003
213  2.79100000000000E+0003
214  2.73300000000000E+0003
215  2.67500000000000E+0003
216  2.63800000000000E+0003
217  2.57100000000000E+0003
218  2.53000000000000E+0003
219  2.48900000000000E+0003
220  2.49000000000000E+0003
221  2.50000000000000E+0003
222  2.46050000000000E+0003
223  2.42100000000000E+0003
224  2.36600000000000E+0003
225  2.41600000000000E+0003
226  2.38550000000000E+0003
227  2.35500000000000E+0003
228  2.23600000000000E+0003
229  2.24700000000000E+0003
230  2.26550000000000E+0003
231  2.28400000000000E+0003
232  2.23100000000000E+0003
233  2.19800000000000E+0003
234  2.03000000000000E+0003
235  2.09850000000000E+0003
236  2.16700000000000E+0003
237  2.15200000000000E+0003
238  2.15000000000000E+0003
239  2.13100000000000E+0003
240  2.11200000000000E+0003
241  2.02500000000000E+0003
242  1.90600000000000E+0003
243  1.88650000000000E+0003
244  1.86700000000000E+0003
245  1.93600000000000E+0003
246  1.95600000000000E+0003
247  1.88550000000000E+0003
248  1.81500000000000E+0003
249  1.83800000000000E+0003
250  1.90200000000000E+0003
251  1.87650000000000E+0003
252  1.85100000000000E+0003
253  1.75000000000000E+0003
254  1.74800000000000E+0003
255  1.73300000000000E+0003
256  1.71800000000000E+0003
257  1.69300000000000E+0003
258  1.72400000000000E+0003
259  1.68050000000000E+0003
260  1.63700000000000E+0003
261  1.58000000000000E+0003
262  1.57500000000000E+0003
