живое время (секунд) 14327,00
кэВ    набор
1  1.71000000000000E+0002
2  1.73500000000000E+0002
3  1.76000000000000E+0002
4  1.72000000000000E+0002
5  1.92000000000000E+0002
6  2.28000000000000E+0002
7  2.36000000000000E+0002
8  2.44000000000000E+0002
9  2.57000000000000E+0002
10  2.17000000000000E+0002
11  2.16500000000000E+0002
12  2.16000000000000E+0002
13  2.10000000000000E+0002
14  2.13000000000000E+0002
15  2.28500000000000E+0002
16  2.44000000000000E+0002
17  2.07000000000000E+0002
18  2.35000000000000E+0002
19  2.24500000000000E+0002
20  2.14000000000000E+0002
21  2.30000000000000E+0002
22  2.43000000000000E+0002
23  2.37500000000000E+0002
24  2.32000000000000E+0002
25  2.47000000000000E+0002
26  2.66000000000000E+0002
27  2.55500000000000E+0002
28  2.45000000000000E+0002
29  2.81000000000000E+0002
30  2.78000000000000E+0002
31  2.91000000000000E+0002
32  2.58500000000000E+0002
33  2.26000000000000E+0002
34  2.52000000000000E+0002
35  2.32000000000000E+0002
36  2.55000000000000E+0002
37  2.78000000000000E+0002
38  2.22000000000000E+0002
39  1.95000000000000E+0002
40  2.06500000000000E+0002
41  2.18000000000000E+0002
42  1.85000000000000E+0002
43  1.94000000000000E+0002
44  2.24500000000000E+0002
45  2.55000000000000E+0002
46  2.95000000000000E+0002
47  3.85000000000000E+0002
48  4.07500000000000E+0002
49  4.30000000000000E+0002
50  5.83000000000000E+0002
51  7.31000000000000E+0002
52  7.97500000000000E+0002
53  8.64000000000000E+0002
54  1.16900000000000E+0003
55  1.33700000000000E+0003
56  1.49350000000000E+0003
57  1.65000000000000E+0003
58  1.84700000000000E+0003
59  2.19900000000000E+0003
60  2.47400000000000E+0003
61  2.63150000000000E+0003
62  2.78900000000000E+0003
63  3.10900000000000E+0003
64  3.63200000000000E+0003
65  3.68000000000000E+0003
66  3.72800000000000E+0003
67  4.24300000000000E+0003
68  4.67000000000000E+0003
69  4.87850000000000E+0003
70  5.08700000000000E+0003
71  5.23500000000000E+0003
72  5.37200000000000E+0003
73  5.47950000000000E+0003
74  5.58700000000000E+0003
75  5.51200000000000E+0003
76  5.42300000000000E+0003
77  5.35850000000000E+0003
78  5.29400000000000E+0003
79  5.22600000000000E+0003
80  5.28300000000000E+0003
81  5.28550000000000E+0003
82  5.28800000000000E+0003
83  5.40700000000000E+0003
84  5.25600000000000E+0003
85  5.27200000000000E+0003
86  5.28800000000000E+0003
87  5.37100000000000E+0003
88  5.05300000000000E+0003
89  4.96800000000000E+0003
90  4.94450000000000E+0003
91  4.92100000000000E+0003
92  4.90000000000000E+0003
93  4.87400000000000E+0003
94  4.87700000000000E+0003
95  4.88000000000000E+0003
96  5.00500000000000E+0003
97  5.04500000000000E+0003
98  5.06250000000000E+0003
99  5.08000000000000E+0003
100  5.17800000000000E+0003
101  5.35300000000000E+0003
102  5.33450000000000E+0003
103  5.31600000000000E+0003
104  5.41900000000000E+0003
105  5.49400000000000E+0003
106  5.51650000000000E+0003
107  5.53900000000000E+0003
108  5.72700000000000E+0003
109  5.71800000000000E+0003
110  5.74650000000000E+0003
111  5.77500000000000E+0003
112  5.99900000000000E+0003
113  6.07000000000000E+0003
114  6.09300000000000E+0003
115  6.11600000000000E+0003
116  5.98500000000000E+0003
117  6.09600000000000E+0003
118  6.11800000000000E+0003
119  6.11550000000000E+0003
120  6.11300000000000E+0003
121  6.17600000000000E+0003
122  6.44600000000000E+0003
123  6.44250000000000E+0003
124  6.43900000000000E+0003
125  6.37200000000000E+0003
126  6.20000000000000E+0003
127  6.26300000000000E+0003
128  6.32600000000000E+0003
129  6.35400000000000E+0003
130  6.40700000000000E+0003
131  6.35650000000000E+0003
132  6.30600000000000E+0003
133  6.34000000000000E+0003
134  6.27000000000000E+0003
135  6.26350000000000E+0003
136  6.25700000000000E+0003
137  6.25000000000000E+0003
138  6.18000000000000E+0003
139  6.26600000000000E+0003
140  6.35200000000000E+0003
141  6.15100000000000E+0003
142  6.24500000000000E+0003
143  6.19350000000000E+0003
144  6.14200000000000E+0003
145  6.07600000000000E+0003
146  6.16200000000000E+0003
147  6.05300000000000E+0003
148  6.08700000000000E+0003
149  6.12100000000000E+0003
150  5.90800000000000E+0003
151  5.92100000000000E+0003
152  5.97500000000000E+0003
153  6.02900000000000E+0003
154  5.84300000000000E+0003
155  5.93300000000000E+0003
156  5.87850000000000E+0003
157  5.82400000000000E+0003
158  5.83200000000000E+0003
159  5.65700000000000E+0003
160  5.60150000000000E+0003
