живое время (секунд) 3955,40
кэВ    набор
1  8.60000000000000E+0001
2  7.90000000000000E+0001
3  7.20000000000000E+0001
4  6.60000000000000E+0001
5  8.40000000000000E+0001
6  9.90000000000000E+0001
7  9.55000000000000E+0001
8  9.20000000000000E+0001
9  8.20000000000000E+0001
10  1.00000000000000E+0002
11  1.04000000000000E+0002
12  1.08000000000000E+0002
13  8.90000000000000E+0001
14  9.20000000000000E+0001
15  7.80000000000000E+0001
16  6.40000000000000E+0001
17  6.90000000000000E+0001
18  7.20000000000000E+0001
19  6.85000000000000E+0001
20  6.50000000000000E+0001
21  7.80000000000000E+0001
22  6.10000000000000E+0001
23  6.40000000000000E+0001
24  6.70000000000000E+0001
25  6.80000000000000E+0001
26  4.70000000000000E+0001
27  6.35000000000000E+0001
28  8.00000000000000E+0001
29  7.50000000000000E+0001
30  7.00000000000000E+0001
31  4.90000000000000E+0001
32  6.10000000000000E+0001
33  7.30000000000000E+0001
34  6.30000000000000E+0001
35  7.10000000000000E+0001
36  6.85000000000000E+0001
37  6.60000000000000E+0001
38  7.60000000000000E+0001
39  7.40000000000000E+0001
40  7.35000000000000E+0001
41  7.30000000000000E+0001
42  1.00000000000000E+0002
43  1.08000000000000E+0002
44  1.19000000000000E+0002
45  1.30000000000000E+0002
46  1.38000000000000E+0002
47  1.78000000000000E+0002
48  2.01000000000000E+0002
49  2.24000000000000E+0002
50  3.15000000000000E+0002
51  3.94000000000000E+0002
52  4.47000000000000E+0002
53  5.00000000000000E+0002
54  6.16000000000000E+0002
55  8.01000000000000E+0002
56  8.46000000000000E+0002
57  8.91000000000000E+0002
58  1.06000000000000E+0003
59  1.26300000000000E+0003
60  1.36200000000000E+0003
61  1.43400000000000E+0003
62  1.50600000000000E+0003
63  1.67500000000000E+0003
64  1.77900000000000E+0003
65  1.87600000000000E+0003
66  1.97300000000000E+0003
67  2.12800000000000E+0003
68  2.28400000000000E+0003
69  2.38150000000000E+0003
70  2.47900000000000E+0003
71  2.51600000000000E+0003
72  2.66100000000000E+0003
73  2.66450000000000E+0003
74  2.66800000000000E+0003
75  2.67100000000000E+0003
76  2.71000000000000E+0003
77  2.66600000000000E+0003
78  2.62200000000000E+0003
79  2.68000000000000E+0003
80  2.69000000000000E+0003
81  2.68150000000000E+0003
82  2.67300000000000E+0003
83  2.76000000000000E+0003
84  2.75400000000000E+0003
85  2.76600000000000E+0003
86  2.77800000000000E+0003
87  2.64500000000000E+0003
88  2.69600000000000E+0003
89  2.63600000000000E+0003
90  2.66850000000000E+0003
91  2.70100000000000E+0003
92  2.70800000000000E+0003
93  2.65300000000000E+0003
94  2.68600000000000E+0003
