живое время (секунд) 59407,00
кэВ    набор
1  0.00000000000000E+0000
2  1.17300000000000E+0003
3  1.19850000000000E+0003
4  1.22400000000000E+0003
5  1.25500000000000E+0003
6  1.17200000000000E+0003
7  1.15950000000000E+0003
8  1.14700000000000E+0003
9  1.07900000000000E+0003
10  1.07400000000000E+0003
11  1.08800000000000E+0003
12  1.10200000000000E+0003
13  1.04800000000000E+0003
14  9.27000000000000E+0002
15  9.18500000000000E+0002
16  9.10000000000000E+0002
17  8.08000000000000E+0002
18  7.53000000000000E+0002
19  6.88000000000000E+0002
20  6.23000000000000E+0002
21  6.14000000000000E+0002
22  5.59000000000000E+0002
23  5.65000000000000E+0002
24  5.71000000000000E+0002
25  4.78000000000000E+0002
26  4.19000000000000E+0002
27  4.24000000000000E+0002
28  4.08000000000000E+0002
29  3.92000000000000E+0002
30  3.79000000000000E+0002
31  3.91000000000000E+0002
32  3.90500000000000E+0002
33  3.90000000000000E+0002
34  3.74000000000000E+0002
35  3.79000000000000E+0002
36  3.95500000000000E+0002
37  4.12000000000000E+0002
38  4.50000000000000E+0002
39  4.97000000000000E+0002
40  4.82000000000000E+0002
41  4.67000000000000E+0002
42  5.51000000000000E+0002
43  6.44000000000000E+0002
44  6.76000000000000E+0002
45  7.08000000000000E+0002
46  8.23000000000000E+0002
47  1.03600000000000E+0003
48  1.13950000000000E+0003
49  1.24300000000000E+0003
50  1.50300000000000E+0003
51  1.87100000000000E+0003
52  2.09850000000000E+0003
53  2.32600000000000E+0003
54  2.80500000000000E+0003
55  3.46900000000000E+0003
56  4.04100000000000E+0003
57  4.50100000000000E+0003
58  4.96100000000000E+0003
59  5.69100000000000E+0003
60  6.34300000000000E+0003
61  6.71750000000000E+0003
62  7.09200000000000E+0003
63  7.95600000000000E+0003
64  8.75000000000000E+0003
65  9.08900000000000E+0003
66  9.42800000000000E+0003
67  1.00080000000000E+0004
68  1.11260000000000E+0004
69  1.15865000000000E+0004
70  1.20470000000000E+0004
71  1.28960000000000E+0004
72  1.35580000000000E+0004
73  1.37155000000000E+0004
74  1.38730000000000E+0004
75  1.40490000000000E+0004
76  1.42170000000000E+0004
77  1.40885000000000E+0004
78  1.39600000000000E+0004
79  1.37100000000000E+0004
80  1.38510000000000E+0004
81  1.38935000000000E+0004
82  1.39360000000000E+0004
83  1.39760000000000E+0004
84  1.44790000000000E+0004
85  1.44790000000000E+0004
86  1.45520000000000E+0004
87  1.46250000000000E+0004
88  1.45030000000000E+0004
89  1.42380000000000E+0004
90  1.43000000000000E+0004
91  1.43620000000000E+0004
92  1.43240000000000E+0004
93  1.40230000000000E+0004
94  1.41095000000000E+0004
95  1.41960000000000E+0004
96  1.43560000000000E+0004
97  1.44790000000000E+0004
98  1.45590000000000E+0004
99  1.46390000000000E+0004
100  1.50070000000000E+0004
101  1.51230000000000E+0004
102  1.52225000000000E+0004
103  1.53220000000000E+0004
104  1.51610000000000E+0004
105  1.55490000000000E+0004
106  1.56600000000000E+0004
107  1.57710000000000E+0004
108  1.62140000000000E+0004
109  1.64450000000000E+0004
110  1.64965000000000E+0004
111  1.65480000000000E+0004
112  1.67260000000000E+0004
113  1.68000000000000E+0004
114  1.69020000000000E+0004
115  1.70430000000000E+0004
116  1.71840000000000E+0004
117  1.76500000000000E+0004
118  1.75320000000000E+0004
119  1.74635000000000E+0004
120  1.73950000000000E+0004
121  1.77000000000000E+0004
122  1.76070000000000E+0004
123  1.77215000000000E+0004
124  1.78360000000000E+0004
125  1.78350000000000E+0004
126  1.79600000000000E+0004
127  1.79325000000000E+0004
128  1.79050000000000E+0004
129  1.80820000000000E+0004
130  1.80410000000000E+0004
131  1.79295000000000E+0004
132  1.78180000000000E+0004
133  1.78510000000000E+0004
134  1.79820000000000E+0004
135  1.77830000000000E+0004
136  1.75840000000000E+0004
137  1.79940000000000E+0004
138  1.79710000000000E+0004
139  1.78040000000000E+0004
140  1.76370000000000E+0004
141  1.77820000000000E+0004
142  1.76130000000000E+0004
143  1.76070000000000E+0004
144  1.74485000000000E+0004
145  1.72900000000000E+0004
146  1.73090000000000E+0004
147  1.72630000000000E+0004
148  1.70940000000000E+0004
149  1.69250000000000E+0004
150  1.71390000000000E+0004
151  1.68400000000000E+0004
152  1.67785000000000E+0004
153  1.67170000000000E+0004
154  1.63140000000000E+0004
155  1.66440000000000E+0004
156  1.64045000000000E+0004
157  1.61650000000000E+0004
158  1.62250000000000E+0004
159  1.58520000000000E+0004
160  1.57590000000000E+0004
161  1.56660000000000E+0004
162  1.55990000000000E+0004
163  1.54040000000000E+0004
164  1.53590000000000E+0004
165  1.53140000000000E+0004
166  1.52310000000000E+0004
167  1.51600000000000E+0004
168  1.51725000000000E+0004
169  1.51850000000000E+0004
170  1.50810000000000E+0004
171  1.46470000000000E+0004
