живое время (секунд) 3344,50
кэВ    набор
1  7.00000000000000E+0001
2  7.25000000000000E+0001
3  7.50000000000000E+0001
4  8.60000000000000E+0001
5  7.40000000000000E+0001
6  7.80000000000000E+0001
7  7.15000000000000E+0001
8  6.50000000000000E+0001
9  7.80000000000000E+0001
10  5.80000000000000E+0001
11  6.65000000000000E+0001
12  7.50000000000000E+0001
13  6.70000000000000E+0001
14  6.60000000000000E+0001
15  6.60000000000000E+0001
16  6.60000000000000E+0001
17  6.50000000000000E+0001
18  6.30000000000000E+0001
19  6.95000000000000E+0001
20  7.60000000000000E+0001
21  7.30000000000000E+0001
22  7.70000000000000E+0001
23  6.85000000000000E+0001
24  6.00000000000000E+0001
25  5.30000000000000E+0001
26  5.20000000000000E+0001
27  4.75000000000000E+0001
28  4.30000000000000E+0001
29  6.20000000000000E+0001
30  5.80000000000000E+0001
31  5.60000000000000E+0001
32  5.15000000000000E+0001
33  4.70000000000000E+0001
34  5.00000000000000E+0001
35  5.30000000000000E+0001
36  6.15000000000000E+0001
37  7.00000000000000E+0001
38  7.10000000000000E+0001
39  9.90000000000000E+0001
40  8.80000000000000E+0001
41  7.70000000000000E+0001
42  9.00000000000000E+0001
43  1.30000000000000E+0002
44  1.39000000000000E+0002
45  1.48000000000000E+0002
46  2.20000000000000E+0002
47  2.26000000000000E+0002
48  2.64500000000000E+0002
49  3.03000000000000E+0002
50  3.42000000000000E+0002
51  4.45000000000000E+0002
52  5.04000000000000E+0002
53  5.63000000000000E+0002
54  6.88000000000000E+0002
55  7.63000000000000E+0002
56  8.37500000000000E+0002
57  9.12000000000000E+0002
58  1.05100000000000E+0003
59  1.24300000000000E+0003
60  1.34200000000000E+0003
61  1.41550000000000E+0003
62  1.48900000000000E+0003
63  1.60200000000000E+0003
64  1.74300000000000E+0003
65  1.83950000000000E+0003
66  1.93600000000000E+0003
67  2.04800000000000E+0003
68  2.23000000000000E+0003
69  2.30050000000000E+0003
70  2.37100000000000E+0003
71  2.55400000000000E+0003
72  2.50400000000000E+0003
73  2.50600000000000E+0003
74  2.50800000000000E+0003
75  2.58800000000000E+0003
76  2.63400000000000E+0003
77  2.57150000000000E+0003
78  2.50900000000000E+0003
79  2.56200000000000E+0003
80  2.64500000000000E+0003
81  2.66650000000000E+0003
82  2.68800000000000E+0003
83  2.65000000000000E+0003
84  2.74300000000000E+0003
85  2.69400000000000E+0003
86  2.64500000000000E+0003
87  2.76600000000000E+0003
88  2.68500000000000E+0003
89  2.76700000000000E+0003
90  2.72200000000000E+0003
91  2.67700000000000E+0003
92  2.69300000000000E+0003
93  2.70100000000000E+0003
94  2.66550000000000E+0003
95  2.63000000000000E+0003
96  2.74900000000000E+0003
97  2.72500000000000E+0003
98  2.78400000000000E+0003
99  2.84300000000000E+0003
100  2.89200000000000E+0003
101  2.79200000000000E+0003
102  2.84950000000000E+0003
103  2.90700000000000E+0003
104  3.04900000000000E+0003
105  3.03000000000000E+0003
106  3.04250000000000E+0003
107  3.05500000000000E+0003
108  3.03900000000000E+0003
109  3.16400000000000E+0003
110  3.18150000000000E+0003
111  3.19900000000000E+0003
112  3.18000000000000E+0003
113  3.25300000000000E+0003
114  3.30100000000000E+0003
115  3.34900000000000E+0003
116  3.43500000000000E+0003
117  3.41100000000000E+0003
118  3.43600000000000E+0003
119  3.45150000000000E+0003
120  3.46700000000000E+0003
121  3.41600000000000E+0003
122  3.38000000000000E+0003
123  3.51350000000000E+0003
124  3.64700000000000E+0003
125  3.43700000000000E+0003
126  3.57300000000000E+0003
127  3.59050000000000E+0003
128  3.60800000000000E+0003
129  3.57300000000000E+0003
130  3.52700000000000E+0003
131  3.57050000000000E+0003
132  3.61400000000000E+0003
133  3.62700000000000E+0003
134  3.53100000000000E+0003
135  3.51450000000000E+0003
136  3.49800000000000E+0003
137  3.54100000000000E+0003
138  3.55000000000000E+0003
139  3.51800000000000E+0003
140  3.48600000000000E+0003
141  3.63400000000000E+0003
142  3.66400000000000E+0003
143  3.59000000000000E+0003
144  3.51600000000000E+0003
145  3.53000000000000E+0003
146  3.39700000000000E+0003
147  3.47300000000000E+0003
148  3.46300000000000E+0003
149  3.45300000000000E+0003
150  3.42800000000000E+0003
151  3.33400000000000E+0003
152  3.39050000000000E+0003
153  3.44700000000000E+0003
154  3.32300000000000E+0003
155  3.30500000000000E+0003
156  3.37050000000000E+0003
157  3.43600000000000E+0003
158  3.26300000000000E+0003
159  3.30400000000000E+0003
160  3.24600000000000E+0003
161  3.18800000000000E+0003
162  3.19900000000000E+0003
163  3.16900000000000E+0003
164  3.12700000000000E+0003
165  3.08500000000000E+0003
166  3.36600000000000E+0003
167  3.09200000000000E+0003
168  3.14300000000000E+0003
169  3.19400000000000E+0003
170  3.14500000000000E+0003
171  3.12800000000000E+0003
172  3.15450000000000E+0003
173  3.18100000000000E+0003
174  3.19100000000000E+0003
175  3.12200000000000E+0003
176  3.07700000000000E+0003
177  3.06100000000000E+0003
178  3.04500000000000E+0003
179  3.13000000000000E+0003
180  3.11500000000000E+0003
181  3.06300000000000E+0003
182  3.01100000000000E+0003
183  3.13100000000000E+0003
184  3.09300000000000E+0003
185  3.10200000000000E+0003
186  3.11100000000000E+0003
187  3.12700000000000E+0003
188  3.16400000000000E+0003
189  3.13000000000000E+0003
190  3.09600000000000E+0003
191  3.05000000000000E+0003
192  3.06000000000000E+0003
193  2.95700000000000E+0003
194  2.85400000000000E+0003
195  2.95800000000000E+0003
196  2.88000000000000E+0003
197  2.85800000000000E+0003
198  2.83600000000000E+0003
199  2.76100000000000E+0003
200  2.71300000000000E+0003
201  2.75000000000000E+0003
202  2.78700000000000E+0003
203  2.61600000000000E+0003
204  2.59700000000000E+0003
205  2.58500000000000E+0003
206  2.52450000000000E+0003
207  2.46400000000000E+0003
208  2.61000000000000E+0003
209  2.46400000000000E+0003
210  2.41900000000000E+0003
211  2.37400000000000E+0003
212  2.55800000000000E+0003
213  2.37600000000000E+0003
214  2.32600000000000E+0003
215  2.27600000000000E+0003
216  2.34000000000000E+0003
217  2.26500000000000E+0003
218  2.21900000000000E+0003
219  2.17300000000000E+0003
220  2.16400000000000E+0003
221  2.08200000000000E+0003
222  2.09500000000000E+0003
223  2.10800000000000E+0003
224  2.08500000000000E+0003
225  2.06100000000000E+0003
226  2.05200000000000E+0003
227  2.04300000000000E+0003
228  2.06100000000000E+0003
229  1.97000000000000E+0003
230  1.92650000000000E+0003
231  1.88300000000000E+0003
232  1.87200000000000E+0003
233  1.95300000000000E+0003
234  1.81200000000000E+0003
235  1.80450000000000E+0003
236  1.79700000000000E+0003
237  1.81200000000000E+0003
238  1.69000000000000E+0003
239  1.73650000000000E+0003
240  1.78300000000000E+0003
241  1.73500000000000E+0003
242  1.72600000000000E+0003
243  1.72200000000000E+0003
244  1.71800000000000E+0003
245  1.61500000000000E+0003
246  1.54300000000000E+0003
247  1.56700000000000E+0003
248  1.59100000000000E+0003
249  1.62600000000000E+0003
250  1.48300000000000E+0003
251  1.49850000000000E+0003
252  1.51400000000000E+0003
253  1.44900000000000E+0003
254  1.39200000000000E+0003
255  1.41350000000000E+0003
256  1.43500000000000E+0003
257  1.41800000000000E+0003
258  1.46800000000000E+0003
259  1.45800000000000E+0003
260  1.44800000000000E+0003
261  1.42200000000000E+0003
262  1.30000000000000E+0003
263  1.29900000000000E+0003
264  1.29400000000000E+0003
265  1.28900000000000E+0003
266  1.30200000000000E+0003
267  1.31200000000000E+0003
268  1.29250000000000E+0003
269  1.27300000000000E+0003
270  1.29700000000000E+0003
271  1.22700000000000E+0003
272  1.25000000000000E+0003
273  1.27300000000000E+0003
274  1.27500000000000E+0003
275  1.17300000000000E+0003
276  1.18000000000000E+0003
277  1.18700000000000E+0003
278  1.10400000000000E+0003
279  1.10400000000000E+0003
280  1.13750000000000E+0003
281  1.17100000000000E+0003
282  1.22400000000000E+0003
283  1.15000000000000E+0003
284  1.14050000000000E+0003
285  1.13100000000000E+0003
286  1.10100000000000E+0003
287  1.13800000000000E+0003
288  1.14000000000000E+0003
289  1.10200000000000E+0003
290  1.06400000000000E+0003
291  1.08300000000000E+0003
292  1.05000000000000E+0003
293  1.04500000000000E+0003
294  1.04000000000000E+0003
295  9.84000000000000E+0002
296  9.76000000000000E+0002
297  1.03550000000000E+0003
298  1.09500000000000E+0003
299  9.95000000000000E+0002
300  1.01600000000000E+0003
301  1.00050000000000E+0003
302  9.85000000000000E+0002
303  9.69000000000000E+0002
304  9.99000000000000E+0002
305  9.55000000000000E+0002
306  9.11000000000000E+0002
307  9.40000000000000E+0002
308  9.40000000000000E+0002
309  9.40000000000000E+0002
310  9.40000000000000E+0002
311  9.44000000000000E+0002
312  8.89000000000000E+0002
313  8.77500000000000E+0002
314  8.66000000000000E+0002
315  8.91000000000000E+0002
316  9.27000000000000E+0002
317  8.65000000000000E+0002
318  8.71500000000000E+0002
319  8.78000000000000E+0002
320  8.58000000000000E+0002
321  8.33000000000000E+0002
322  8.54500000000000E+0002
323  8.76000000000000E+0002
324  8.22000000000000E+0002
325  8.30000000000000E+0002
326  8.48500000000000E+0002
327  8.67000000000000E+0002
328  8.33000000000000E+0002
329  7.78000000000000E+0002
330  7.85000000000000E+0002
331  7.92000000000000E+0002
332  7.70000000000000E+0002
333  8.13000000000000E+0002
334  7.95000000000000E+0002
335  7.77000000000000E+0002
336  8.11000000000000E+0002
337  7.72000000000000E+0002
338  7.72500000000000E+0002
339  7.73000000000000E+0002
340  7.81000000000000E+0002
341  7.69000000000000E+0002
342  7.77500000000000E+0002
343  7.86000000000000E+0002
344  7.46000000000000E+0002
345  6.79000000000000E+0002
346  6.78000000000000E+0002
347  7.07000000000000E+0002
348  7.36000000000000E+0002
349  7.57000000000000E+0002
350  6.48000000000000E+0002
351  6.86000000000000E+0002
352  7.24000000000000E+0002
353  7.03000000000000E+0002
354  6.92000000000000E+0002
355  6.90500000000000E+0002
356  6.89000000000000E+0002
357  6.90000000000000E+0002
358  6.84000000000000E+0002
359  6.62000000000000E+0002
360  6.40000000000000E+0002
361  6.70000000000000E+0002
362  6.79000000000000E+0002
363  6.66000000000000E+0002
364  6.53000000000000E+0002
365  6.25000000000000E+0002
366  6.55000000000000E+0002
367  6.51000000000000E+0002
368  6.47000000000000E+0002
369  6.39000000000000E+0002
370  6.27000000000000E+0002
371  6.24000000000000E+0002
372  6.21000000000000E+0002
373  6.18000000000000E+0002
374  6.22000000000000E+0002
375  6.42000000000000E+0002
376  6.05500000000000E+0002
377  5.69000000000000E+0002
378  5.87000000000000E+0002
379  6.11000000000000E+0002
380  6.10000000000000E+0002
381  6.09000000000000E+0002
382  5.75000000000000E+0002
383  5.64000000000000E+0002
384  5.89000000000000E+0002
385  6.14000000000000E+0002
386  5.36000000000000E+0002
387  6.02000000000000E+0002
388  5.84000000000000E+0002
389  5.66000000000000E+0002
390  5.46000000000000E+0002
391  5.52000000000000E+0002
392  5.51500000000000E+0002
393  5.51000000000000E+0002
394  5.50000000000000E+0002
395  5.52000000000000E+0002
396  5.63000000000000E+0002
397  5.74000000000000E+0002
398  5.81000000000000E+0002
399  5.68000000000000E+0002
400  5.40000000000000E+0002
401  5.12000000000000E+0002
402  5.85000000000000E+0002
403  5.70000000000000E+0002
404  5.59000000000000E+0002
405  5.37500000000000E+0002
406  5.16000000000000E+0002
407  5.40000000000000E+0002
408  5.68000000000000E+0002
409  5.55500000000000E+0002
410  5.43000000000000E+0002
411  5.31000000000000E+0002
412  5.70000000000000E+0002
413  5.55500000000000E+0002
414  5.41000000000000E+0002
415  5.37000000000000E+0002
416  5.66000000000000E+0002
417  5.34500000000000E+0002
418  5.03000000000000E+0002
419  5.18000000000000E+0002
420  5.38000000000000E+0002
421  5.28000000000000E+0002
422  5.18000000000000E+0002
423  5.36000000000000E+0002
424  5.42000000000000E+0002
425  5.38500000000000E+0002
426  5.35000000000000E+0002
427  5.33000000000000E+0002
428  5.19000000000000E+0002
429  5.21000000000000E+0002
430  5.23000000000000E+0002
431  5.78000000000000E+0002
432  5.25000000000000E+0002
433  5.08000000000000E+0002
434  5.18000000000000E+0002
435  5.28000000000000E+0002
436  5.46000000000000E+0002
437  5.63000000000000E+0002
438  5.44500000000000E+0002
439  5.26000000000000E+0002
440  5.70000000000000E+0002
441  5.41000000000000E+0002
442  5.25000000000000E+0002
443  5.09000000000000E+0002
444  5.37000000000000E+0002
445  5.21000000000000E+0002
446  5.13000000000000E+0002
447  5.05000000000000E+0002
448  5.44000000000000E+0002
449  4.92000000000000E+0002
450  4.99000000000000E+0002
451  5.06000000000000E+0002
452  4.97000000000000E+0002
