живое время (секунд) 2965,00
кэВ    набор
1  7.70000000000000E+0001
2  8.10000000000000E+0001
3  8.50000000000000E+0001
4  7.20000000000000E+0001
5  6.50000000000000E+0001
6  7.00000000000000E+0001
7  8.05000000000000E+0001
8  9.10000000000000E+0001
9  7.60000000000000E+0001
10  7.30000000000000E+0001
11  7.20000000000000E+0001
12  7.10000000000000E+0001
13  6.00000000000000E+0001
14  6.90000000000000E+0001
15  7.65000000000000E+0001
16  8.40000000000000E+0001
17  7.90000000000000E+0001
18  7.30000000000000E+0001
19  7.50000000000000E+0001
20  7.70000000000000E+0001
21  6.80000000000000E+0001
22  6.80000000000000E+0001
23  7.00000000000000E+0001
24  7.20000000000000E+0001
25  6.60000000000000E+0001
26  7.10000000000000E+0001
27  7.35000000000000E+0001
28  7.60000000000000E+0001
29  7.10000000000000E+0001
30  6.00000000000000E+0001
31  7.80000000000000E+0001
32  7.35000000000000E+0001
33  6.90000000000000E+0001
34  8.10000000000000E+0001
35  1.01000000000000E+0002
36  9.45000000000000E+0001
37  8.80000000000000E+0001
38  9.00000000000000E+0001
39  9.50000000000000E+0001
40  1.01500000000000E+0002
41  1.08000000000000E+0002
42  1.09000000000000E+0002
43  1.41000000000000E+0002
44  1.52500000000000E+0002
45  1.64000000000000E+0002
46  1.70000000000000E+0002
47  2.41000000000000E+0002
48  2.92000000000000E+0002
49  3.43000000000000E+0002
50  4.17000000000000E+0002
51  5.37000000000000E+0002
52  5.78500000000000E+0002
53  6.20000000000000E+0002
54  7.55000000000000E+0002
55  9.22000000000000E+0002
56  1.01100000000000E+0003
57  1.10000000000000E+0003
58  1.25800000000000E+0003
59  1.49100000000000E+0003
60  1.67800000000000E+0003
61  1.72950000000000E+0003
62  1.78100000000000E+0003
63  2.03400000000000E+0003
64  2.12200000000000E+0003
65  2.23050000000000E+0003
66  2.33900000000000E+0003
67  2.60900000000000E+0003
68  2.74900000000000E+0003
69  2.84050000000000E+0003
70  2.93200000000000E+0003
71  3.16500000000000E+0003
72  3.23200000000000E+0003
73  3.27700000000000E+0003
74  3.32200000000000E+0003
75  3.32600000000000E+0003
76  3.27800000000000E+0003
77  3.22050000000000E+0003
78  3.16300000000000E+0003
79  3.19500000000000E+0003
80  3.27700000000000E+0003
81  3.31350000000000E+0003
82  3.35000000000000E+0003
83  3.29700000000000E+0003
84  3.38400000000000E+0003
85  3.39600000000000E+0003
86  3.40800000000000E+0003
87  3.37000000000000E+0003
88  3.40500000000000E+0003
89  3.26000000000000E+0003
90  3.33350000000000E+0003
91  3.40700000000000E+0003
92  3.23500000000000E+0003
93  3.29400000000000E+0003
94  3.36450000000000E+0003
95  3.43500000000000E+0003
96  3.40400000000000E+0003
97  3.51700000000000E+0003
98  3.57400000000000E+0003
99  3.63100000000000E+0003
100  3.60300000000000E+0003
101  3.58400000000000E+0003
102  3.65850000000000E+0003
103  3.73300000000000E+0003
104  3.77700000000000E+0003
105  3.71400000000000E+0003
106  3.75200000000000E+0003
107  3.79000000000000E+0003
108  3.93200000000000E+0003
109  3.95100000000000E+0003
110  4.03900000000000E+0003
111  4.12700000000000E+0003
112  4.10900000000000E+0003
113  4.19600000000000E+0003
114  4.20750000000000E+0003
115  4.21900000000000E+0003
116  4.23300000000000E+0003
117  4.26200000000000E+0003
118  4.32100000000000E+0003
119  4.33900000000000E+0003
120  4.35700000000000E+0003
121  4.23200000000000E+0003
122  4.39200000000000E+0003
123  4.44200000000000E+0003
124  4.49200000000000E+0003
125  4.51400000000000E+0003
126  4.54500000000000E+0003
127  4.47900000000000E+0003
128  4.41300000000000E+0003
129  4.37200000000000E+0003
130  4.45400000000000E+0003
131  4.43250000000000E+0003
132  4.41100000000000E+0003
133  4.51400000000000E+0003
134  4.36400000000000E+0003
135  4.42150000000000E+0003
136  4.47900000000000E+0003
137  4.45900000000000E+0003
138  4.44800000000000E+0003
139  4.41600000000000E+0003
140  4.38400000000000E+0003
141  4.32100000000000E+0003
142  4.31300000000000E+0003
143  4.32800000000000E+0003
144  4.34300000000000E+0003
145  4.38800000000000E+0003
146  4.34700000000000E+0003
147  4.34000000000000E+0003
148  4.32050000000000E+0003
149  4.30100000000000E+0003
150  4.27500000000000E+0003
151  4.25100000000000E+0003
152  4.25500000000000E+0003
153  4.25900000000000E+0003
154  4.18600000000000E+0003
155  4.08900000000000E+0003
156  4.10200000000000E+0003
157  4.11500000000000E+0003
158  4.04100000000000E+0003
159  4.04700000000000E+0003
160  4.04200000000000E+0003
161  4.03700000000000E+0003
162  4.00500000000000E+0003
163  3.99300000000000E+0003
164  4.00200000000000E+0003
165  4.01100000000000E+0003
166  3.88000000000000E+0003
167  3.86000000000000E+0003
168  3.91050000000000E+0003
169  3.96100000000000E+0003
170  3.82800000000000E+0003
171  3.84600000000000E+0003
172  3.80600000000000E+0003
173  3.76600000000000E+0003
174  3.67100000000000E+0003
175  3.76400000000000E+0003
176  3.64600000000000E+0003
177  3.66900000000000E+0003
178  3.69200000000000E+0003
179  3.69700000000000E+0003
180  3.59300000000000E+0003
181  3.62600000000000E+0003
