живое время (секунд) 49762,00
Канал    набор
1  1.00100000000000E+0003
2  9.48000000000000E+0002
3  1.07300000000000E+0003
4  9.61000000000000E+0002
5  9.87000000000000E+0002
6  8.73000000000000E+0002
7  8.52000000000000E+0002
8  7.98000000000000E+0002
9  7.47000000000000E+0002
10  7.68000000000000E+0002
11  7.10000000000000E+0002
12  7.09000000000000E+0002
13  6.85000000000000E+0002
14  6.00000000000000E+0002
15  5.62000000000000E+0002
16  5.10000000000000E+0002
17  4.94000000000000E+0002
18  4.43000000000000E+0002
19  4.83000000000000E+0002
20  4.29000000000000E+0002
21  3.71000000000000E+0002
22  3.83000000000000E+0002
23  3.40000000000000E+0002
24  3.49000000000000E+0002
25  3.22000000000000E+0002
26  3.57000000000000E+0002
27  3.43000000000000E+0002
28  3.58000000000000E+0002
29  3.60000000000000E+0002
30  3.70000000000000E+0002
31  4.69000000000000E+0002
32  4.59000000000000E+0002
33  5.45000000000000E+0002
34  6.43000000000000E+0002
35  6.78000000000000E+0002
36  8.23000000000000E+0002
37  9.49000000000000E+0002
38  1.21400000000000E+0003
39  1.55800000000000E+0003
40  1.88300000000000E+0003
41  2.30000000000000E+0003
42  2.76900000000000E+0003
43  3.47100000000000E+0003
44  3.98600000000000E+0003
45  4.74200000000000E+0003
46  5.30100000000000E+0003
47  5.81800000000000E+0003
48  6.71800000000000E+0003
49  7.31300000000000E+0003
50  7.95000000000000E+0003
51  8.54000000000000E+0003
52  9.26900000000000E+0003
53  9.99700000000000E+0003
54  1.05380000000000E+0004
55  1.10300000000000E+0004
56  1.16850000000000E+0004
57  1.17670000000000E+0004
58  1.19180000000000E+0004
59  1.17380000000000E+0004
60  1.15440000000000E+0004
61  1.14660000000000E+0004
62  1.14790000000000E+0004
63  1.17480000000000E+0004
64  1.20000000000000E+0004
65  1.19770000000000E+0004
66  1.23100000000000E+0004
67  1.21980000000000E+0004
68  1.21610000000000E+0004
69  1.20930000000000E+0004
70  1.18140000000000E+0004
71  1.22600000000000E+0004
72  1.19560000000000E+0004
73  1.21040000000000E+0004
74  1.23200000000000E+0004
75  1.24240000000000E+0004
76  1.28590000000000E+0004
77  1.27810000000000E+0004
78  1.30560000000000E+0004
79  1.30570000000000E+0004
80  1.33450000000000E+0004
81  1.33500000000000E+0004
82  1.35840000000000E+0004
83  1.38780000000000E+0004
84  1.40540000000000E+0004
85  1.41790000000000E+0004
86  1.43650000000000E+0004
87  1.42410000000000E+0004
88  1.44960000000000E+0004
89  1.47930000000000E+0004
90  1.47840000000000E+0004
91  1.48730000000000E+0004
92  1.50320000000000E+0004
93  1.49170000000000E+0004
94  1.51070000000000E+0004
95  1.52120000000000E+0004
96  1.50580000000000E+0004
97  1.52130000000000E+0004
98  1.51210000000000E+0004
99  1.52240000000000E+0004
100  1.51360000000000E+0004
101  1.51230000000000E+0004
102  1.49870000000000E+0004
103  1.50850000000000E+0004
104  1.47440000000000E+0004
105  1.50600000000000E+0004
106  1.49650000000000E+0004
107  1.46810000000000E+0004
108  1.46210000000000E+0004
109  1.45280000000000E+0004
110  1.46990000000000E+0004
111  1.45130000000000E+0004
112  1.45290000000000E+0004
113  1.43810000000000E+0004
114  1.45070000000000E+0004
115  1.42330000000000E+0004
116  1.40220000000000E+0004
117  1.39360000000000E+0004
118  1.38870000000000E+0004
