живое время (секунд) 5977,00
кэВ    набор
1  1.07000000000000E+0002
2  1.02000000000000E+0002
3  9.70000000000000E+0001
4  1.08000000000000E+0002
5  1.01000000000000E+0002
6  1.21000000000000E+0002
7  1.11500000000000E+0002
8  1.02000000000000E+0002
9  1.27000000000000E+0002
10  1.38000000000000E+0002
11  1.36500000000000E+0002
12  1.35000000000000E+0002
13  1.17000000000000E+0002
14  1.27000000000000E+0002
15  1.24000000000000E+0002
16  1.21000000000000E+0002
17  1.21000000000000E+0002
18  1.14000000000000E+0002
19  1.07500000000000E+0002
20  1.01000000000000E+0002
21  8.50000000000000E+0001
22  9.10000000000000E+0001
23  8.60000000000000E+0001
24  8.10000000000000E+0001
25  8.40000000000000E+0001
26  7.50000000000000E+0001
27  7.50000000000000E+0001
28  7.50000000000000E+0001
29  7.30000000000000E+0001
30  8.30000000000000E+0001
31  6.50000000000000E+0001
32  7.15000000000000E+0001
33  7.80000000000000E+0001
34  8.80000000000000E+0001
35  8.70000000000000E+0001
36  9.15000000000000E+0001
37  9.60000000000000E+0001
38  8.70000000000000E+0001
39  9.10000000000000E+0001
40  8.85000000000000E+0001
41  8.60000000000000E+0001
42  1.14000000000000E+0002
43  1.26000000000000E+0002
44  1.39500000000000E+0002
45  1.53000000000000E+0002
46  1.92000000000000E+0002
47  2.29000000000000E+0002
48  2.65000000000000E+0002
49  3.01000000000000E+0002
50  3.94000000000000E+0002
51  4.42000000000000E+0002
52  5.20000000000000E+0002
53  5.98000000000000E+0002
54  7.43000000000000E+0002
55  8.88000000000000E+0002
56  9.76000000000000E+0002
57  1.06400000000000E+0003
58  1.21900000000000E+0003
59  1.50600000000000E+0003
60  1.47500000000000E+0003
61  1.64900000000000E+0003
62  1.82300000000000E+0003
63  2.01100000000000E+0003
64  2.16800000000000E+0003
65  2.27050000000000E+0003
66  2.37300000000000E+0003
67  2.59800000000000E+0003
68  2.75700000000000E+0003
69  2.82800000000000E+0003
70  2.89900000000000E+0003
71  3.11900000000000E+0003
72  3.22500000000000E+0003
73  3.22050000000000E+0003
74  3.21600000000000E+0003
75  3.16300000000000E+0003
76  3.17500000000000E+0003
77  3.13050000000000E+0003
78  3.08600000000000E+0003
79  3.22400000000000E+0003
80  3.18000000000000E+0003
81  3.13450000000000E+0003
82  3.08900000000000E+0003
83  3.17800000000000E+0003
84  3.29800000000000E+0003
85  3.30550000000000E+0003
86  3.31300000000000E+0003
87  3.16200000000000E+0003
88  3.25100000000000E+0003
89  3.19500000000000E+0003
90  3.20850000000000E+0003
91  3.22200000000000E+0003
92  3.19700000000000E+0003
93  3.19500000000000E+0003
94  3.19100000000000E+0003
95  3.18700000000000E+0003
96  3.16500000000000E+0003
97  3.36000000000000E+0003
98  3.39300000000000E+0003
99  3.42600000000000E+0003
100  3.42000000000000E+0003
101  3.46800000000000E+0003
102  3.57600000000000E+0003
103  3.68400000000000E+0003
104  3.66000000000000E+0003
105  3.62700000000000E+0003
106  3.67900000000000E+0003
107  3.73100000000000E+0003
108  3.76400000000000E+0003
109  3.76400000000000E+0003
110  3.79950000000000E+0003
111  3.83500000000000E+0003
112  4.02400000000000E+0003
113  4.03900000000000E+0003
114  4.01450000000000E+0003
115  3.99000000000000E+0003
116  4.02100000000000E+0003
117  4.04500000000000E+0003
118  4.12700000000000E+0003
119  4.12500000000000E+0003
120  4.12300000000000E+0003
121  4.14900000000000E+0003
122  4.20400000000000E+0003
123  4.14350000000000E+0003
124  4.08300000000000E+0003
125  4.18700000000000E+0003
126  4.27200000000000E+0003
127  4.25850000000000E+0003
128  4.24500000000000E+0003
129  4.16500000000000E+0003
130  4.19300000000000E+0003
131  4.19650000000000E+0003
132  4.20000000000000E+0003
133  4.13900000000000E+0003
134  4.18200000000000E+0003
135  4.16850000000000E+0003
136  4.15500000000000E+0003
137  4.17000000000000E+0003
138  4.04800000000000E+0003
139  4.07300000000000E+0003
140  4.09800000000000E+0003
141  4.21600000000000E+0003
142  4.11000000000000E+0003
143  4.15800000000000E+0003
144  4.20600000000000E+0003
145  3.98900000000000E+0003
146  3.98900000000000E+0003
147  3.95100000000000E+0003
148  3.98100000000000E+0003
149  4.01100000000000E+0003
150  3.98900000000000E+0003
151  4.02500000000000E+0003
152  3.93000000000000E+0003
153  3.83500000000000E+0003
154  3.90400000000000E+0003
155  3.95100000000000E+0003
156  3.86950000000000E+0003
157  3.78800000000000E+0003
158  3.80000000000000E+0003
159  3.77800000000000E+0003
160  3.78950000000000E+0003
161  3.80100000000000E+0003
162  3.68700000000000E+0003
163  3.70200000000000E+0003
164  3.72550000000000E+0003
165  3.74900000000000E+0003
166  3.59000000000000E+0003
167  3.63200000000000E+0003
168  3.61700000000000E+0003
169  3.60200000000000E+0003
170  3.46100000000000E+0003
171  3.52800000000000E+0003
172  3.53000000000000E+0003
173  3.53200000000000E+0003
174  3.37500000000000E+0003
175  3.44300000000000E+0003
176  3.49800000000000E+0003
177  3.44700000000000E+0003
178  3.39600000000000E+0003
179  3.31900000000000E+0003
180  3.46700000000000E+0003
181  3.44450000000000E+0003
182  3.42200000000000E+0003
183  3.32600000000000E+0003
184  3.44500000000000E+0003
185  3.41350000000000E+0003
186  3.38200000000000E+0003
187  3.21600000000000E+0003
188  3.23800000000000E+0003
189  3.23850000000000E+0003
190  3.23900000000000E+0003
191  3.10500000000000E+0003
192  3.07000000000000E+0003
193  3.05650000000000E+0003
194  3.04300000000000E+0003
195  3.01900000000000E+0003
196  3.01200000000000E+0003
197  3.02100000000000E+0003
198  3.03000000000000E+0003
199  2.87700000000000E+0003
200  2.86400000000000E+0003
201  2.86800000000000E+0003
202  2.87200000000000E+0003
203  2.77400000000000E+0003
204  2.72400000000000E+0003
205  2.68700000000000E+0003
206  2.68000000000000E+0003
207  2.67300000000000E+0003
208  2.67800000000000E+0003
209  2.57200000000000E+0003
210  2.58250000000000E+0003
211  2.59300000000000E+0003
212  2.52800000000000E+0003
213  2.51600000000000E+0003
214  2.49450000000000E+0003
215  2.47300000000000E+0003
216  2.43800000000000E+0003
217  2.32300000000000E+0003
218  2.31800000000000E+0003
219  2.31300000000000E+0003
220  2.25000000000000E+0003
221  2.28200000000000E+0003
222  2.24200000000000E+0003
223  2.20200000000000E+0003
224  2.21500000000000E+0003
225  2.24200000000000E+0003
226  2.20300000000000E+0003
227  2.16400000000000E+0003
228  2.15800000000000E+0003
229  2.18500000000000E+0003
230  2.13950000000000E+0003
231  2.09400000000000E+0003
232  2.05600000000000E+0003
233  2.06600000000000E+0003
234  2.08300000000000E+0003
235  2.04700000000000E+0003
236  2.01100000000000E+0003
237  2.00900000000000E+0003
238  1.95900000000000E+0003
239  1.95400000000000E+0003
240  1.94900000000000E+0003
241  1.87700000000000E+0003
242  1.94800000000000E+0003
243  1.89150000000000E+0003
244  1.83500000000000E+0003
245  1.77100000000000E+0003
246  1.84200000000000E+0003
247  1.79900000000000E+0003
248  1.75600000000000E+0003
249  1.76200000000000E+0003
250  1.65200000000000E+0003
251  1.62300000000000E+0003
252  1.59400000000000E+0003
253  1.62100000000000E+0003
254  1.58100000000000E+0003
255  1.58850000000000E+0003
256  1.59600000000000E+0003
257  1.47000000000000E+0003
258  1.58600000000000E+0003
259  1.57150000000000E+0003
260  1.55700000000000E+0003
261  1.54600000000000E+0003
262  1.44400000000000E+0003
263  1.54500000000000E+0003
264  1.51350000000000E+0003
265  1.48200000000000E+0003
266  1.46300000000000E+0003
267  1.44900000000000E+0003
268  1.45150000000000E+0003
269  1.45400000000000E+0003
270  1.43700000000000E+0003
271  1.35900000000000E+0003
272  1.34550000000000E+0003
273  1.33200000000000E+0003
274  1.32900000000000E+0003
275  1.34300000000000E+0003
276  1.37950000000000E+0003
277  1.41600000000000E+0003
278  1.30500000000000E+0003
279  1.34000000000000E+0003
280  1.33300000000000E+0003
281  1.32600000000000E+0003
282  1.26300000000000E+0003
283  1.26500000000000E+0003
284  1.24800000000000E+0003
285  1.23100000000000E+0003
286  1.26900000000000E+0003
287  1.20800000000000E+0003
288  1.23600000000000E+0003
289  1.19750000000000E+0003
290  1.15900000000000E+0003
291  1.17800000000000E+0003
292  1.17700000000000E+0003
293  1.17550000000000E+0003
294  1.17400000000000E+0003
295  1.17500000000000E+0003
296  1.16800000000000E+0003
297  1.15100000000000E+0003
298  1.13400000000000E+0003
299  1.12200000000000E+0003
300  1.12100000000000E+0003
301  1.09000000000000E+0003
302  1.05900000000000E+0003
303  1.05100000000000E+0003
304  1.07600000000000E+0003
305  1.06400000000000E+0003
306  1.05200000000000E+0003
307  1.01600000000000E+0003
308  9.97000000000000E+0002
309  1.01150000000000E+0003
310  1.02600000000000E+0003
311  1.05000000000000E+0003
312  1.04600000000000E+0003
313  9.97000000000000E+0002
314  9.48000000000000E+0002
315  9.97000000000000E+0002
316  9.72000000000000E+0002
317  9.76000000000000E+0002
318  9.68500000000000E+0002
319  9.61000000000000E+0002
320  9.50000000000000E+0002
321  9.85000000000000E+0002
322  9.69500000000000E+0002
323  9.54000000000000E+0002
324  9.58000000000000E+0002
325  9.33000000000000E+0002
326  9.02000000000000E+0002
327  8.71000000000000E+0002
328  8.81000000000000E+0002
329  9.42000000000000E+0002
330  9.05500000000000E+0002
331  8.69000000000000E+0002
332  9.18000000000000E+0002
333  9.31000000000000E+0002
334  8.52500000000000E+0002
335  7.74000000000000E+0002
336  9.03000000000000E+0002
337  9.36000000000000E+0002
338  8.92000000000000E+0002
339  8.48000000000000E+0002
340  8.55000000000000E+0002
341  8.25000000000000E+0002
342  8.08000000000000E+0002
343  7.91000000000000E+0002
344  8.17000000000000E+0002
345  7.88000000000000E+0002
346  8.11000000000000E+0002
347  8.17000000000000E+0002
348  8.23000000000000E+0002
349  8.09000000000000E+0002
350  8.20000000000000E+0002
351  8.12000000000000E+0002
352  8.04000000000000E+0002
353  8.33000000000000E+0002
354  7.63000000000000E+0002
355  7.91500000000000E+0002
356  8.20000000000000E+0002
357  7.62000000000000E+0002
358  7.55000000000000E+0002
359  7.68000000000000E+0002
360  7.81000000000000E+0002
361  7.51000000000000E+0002
362  6.96000000000000E+0002
363  7.03000000000000E+0002
364  7.10000000000000E+0002
365  7.33000000000000E+0002
366  7.33000000000000E+0002
367  7.06500000000000E+0002
368  6.80000000000000E+0002
369  7.05000000000000E+0002
370  6.88000000000000E+0002
371  6.81000000000000E+0002
372  6.74000000000000E+0002
373  6.98000000000000E+0002
374  6.82000000000000E+0002
375  6.39000000000000E+0002
376  6.61000000000000E+0002
377  6.83000000000000E+0002
378  6.52000000000000E+0002
379  6.70000000000000E+0002
380  6.38000000000000E+0002
381  6.06000000000000E+0002
382  6.66000000000000E+0002
383  6.28000000000000E+0002
384  6.59000000000000E+0002
385  6.90000000000000E+0002
386  6.40000000000000E+0002
387  6.34000000000000E+0002
388  6.30500000000000E+0002
389  6.27000000000000E+0002
390  6.49000000000000E+0002
391  6.05000000000000E+0002
392  6.19000000000000E+0002
393  6.33000000000000E+0002
394  6.35000000000000E+0002
395  5.80000000000000E+0002
396  5.99000000000000E+0002
397  6.18000000000000E+0002
398  6.09000000000000E+0002
399  6.24000000000000E+0002
400  6.16500000000000E+0002
401  6.09000000000000E+0002
402  5.63000000000000E+0002
403  5.77000000000000E+0002
404  5.53000000000000E+0002
405  5.76500000000000E+0002
406  6.00000000000000E+0002
407  5.79000000000000E+0002
408  5.14000000000000E+0002
409  5.55000000000000E+0002
410  5.96000000000000E+0002
411  5.97000000000000E+0002
412  5.76000000000000E+0002
413  5.84500000000000E+0002
414  5.93000000000000E+0002
415  5.60000000000000E+0002
416  5.29000000000000E+0002
417  5.70500000000000E+0002
418  6.12000000000000E+0002
419  5.37000000000000E+0002
420  5.30000000000000E+0002
421  5.66000000000000E+0002
422  6.02000000000000E+0002
423  5.27000000000000E+0002
424  5.43000000000000E+0002
425  5.30000000000000E+0002
426  5.17000000000000E+0002
427  5.37000000000000E+0002
428  5.17000000000000E+0002
429  5.25000000000000E+0002
430  5.33000000000000E+0002
431  5.40000000000000E+0002
432  5.38000000000000E+0002
433  5.40000000000000E+0002
434  5.27500000000000E+0002
435  5.15000000000000E+0002
436  5.42000000000000E+0002
437  5.20000000000000E+0002
438  5.20500000000000E+0002
439  5.21000000000000E+0002
440  5.30000000000000E+0002
441  4.91000000000000E+0002
442  4.90500000000000E+0002
443  4.90000000000000E+0002
444  4.78000000000000E+0002
445  4.99000000000000E+0002
446  4.75000000000000E+0002
447  4.51000000000000E+0002
448  4.64000000000000E+0002
449  4.83000000000000E+0002
450  4.90000000000000E+0002
451  4.97000000000000E+0002
452  5.09000000000000E+0002
