живое время (секунд) 62073,00
Канал    набор
1  1.72700000000000E+0003
2  1.61900000000000E+0003
3  1.58600000000000E+0003
4  1.59400000000000E+0003
5  1.53800000000000E+0003
6  1.44200000000000E+0003
7  1.42200000000000E+0003
8  1.33100000000000E+0003
9  1.33100000000000E+0003
10  1.22900000000000E+0003
11  1.12600000000000E+0003
12  1.00600000000000E+0003
13  8.80000000000000E+0002
14  7.87000000000000E+0002
15  7.61000000000000E+0002
16  6.29000000000000E+0002
17  6.08000000000000E+0002
18  5.23000000000000E+0002
19  4.92000000000000E+0002
20  4.22000000000000E+0002
21  4.18000000000000E+0002
22  3.43000000000000E+0002
23  3.46000000000000E+0002
24  3.59000000000000E+0002
25  3.40000000000000E+0002
26  3.23000000000000E+0002
27  3.47000000000000E+0002
28  3.76000000000000E+0002
29  3.29000000000000E+0002
30  4.24000000000000E+0002
31  4.36000000000000E+0002
32  5.18000000000000E+0002
33  4.94000000000000E+0002
34  6.03000000000000E+0002
35  6.71000000000000E+0002
36  8.10000000000000E+0002
37  9.13000000000000E+0002
38  1.03000000000000E+0003
39  1.31300000000000E+0003
40  1.57700000000000E+0003
41  1.89200000000000E+0003
42  2.30000000000000E+0003
43  2.67000000000000E+0003
44  3.16200000000000E+0003
45  3.69600000000000E+0003
46  4.02000000000000E+0003
47  4.44900000000000E+0003
48  4.76000000000000E+0003
49  5.16800000000000E+0003
50  5.59500000000000E+0003
51  5.92600000000000E+0003
52  6.19400000000000E+0003
53  6.68700000000000E+0003
54  7.10600000000000E+0003
55  7.41800000000000E+0003
56  7.54800000000000E+0003
57  7.59500000000000E+0003
58  7.63000000000000E+0003
59  7.72400000000000E+0003
60  7.40000000000000E+0003
61  7.44300000000000E+0003
62  7.56200000000000E+0003
63  7.60200000000000E+0003
64  7.72500000000000E+0003
65  7.89600000000000E+0003
66  7.67900000000000E+0003
67  7.70000000000000E+0003
68  7.62200000000000E+0003
69  7.54400000000000E+0003
70  7.36800000000000E+0003
71  7.44100000000000E+0003
72  7.56700000000000E+0003
73  7.43500000000000E+0003
74  7.55700000000000E+0003
75  7.61100000000000E+0003
76  7.48400000000000E+0003
77  7.66700000000000E+0003
78  7.77100000000000E+0003
79  8.06000000000000E+0003
80  7.85500000000000E+0003
81  7.90800000000000E+0003
82  8.19100000000000E+0003
83  8.02200000000000E+0003
84  8.08500000000000E+0003
85  8.15000000000000E+0003
86  8.37700000000000E+0003
87  8.45600000000000E+0003
88  8.43300000000000E+0003
89  8.46200000000000E+0003
90  8.41800000000000E+0003
91  8.61400000000000E+0003
92  8.77300000000000E+0003
93  8.78600000000000E+0003
94  8.79400000000000E+0003
95  8.89600000000000E+0003
96  8.77100000000000E+0003
97  8.96000000000000E+0003
98  8.71600000000000E+0003
99  8.78100000000000E+0003
100  8.79900000000000E+0003
101  8.85200000000000E+0003
102  8.70700000000000E+0003
103  8.94100000000000E+0003
104  8.96300000000000E+0003
105  8.77100000000000E+0003
