живое время (секунд) 55133,00
кэВ    набор
1  0.00000000000000E+0000
2  1.09300000000000E+0003
3  1.04850000000000E+0003
4  1.00400000000000E+0003
5  1.10100000000000E+0003
6  9.85000000000000E+0002
7  9.88000000000000E+0002
8  9.91000000000000E+0002
9  9.18000000000000E+0002
10  9.55000000000000E+0002
11  9.07000000000000E+0002
12  8.59000000000000E+0002
13  8.69000000000000E+0002
14  7.70000000000000E+0002
15  7.43000000000000E+0002
16  7.16000000000000E+0002
17  7.02000000000000E+0002
18  6.29000000000000E+0002
19  6.35000000000000E+0002
20  6.41000000000000E+0002
21  5.72000000000000E+0002
22  5.06000000000000E+0002
23  4.88000000000000E+0002
24  4.70000000000000E+0002
25  4.07000000000000E+0002
26  3.77000000000000E+0002
27  3.35000000000000E+0002
28  3.18500000000000E+0002
29  3.02000000000000E+0002
30  3.20000000000000E+0002
31  2.93000000000000E+0002
32  3.03000000000000E+0002
33  3.13000000000000E+0002
34  3.05000000000000E+0002
35  3.52000000000000E+0002
36  3.49000000000000E+0002
37  3.46000000000000E+0002
38  3.75000000000000E+0002
39  4.02000000000000E+0002
40  4.39500000000000E+0002
41  4.77000000000000E+0002
42  5.28000000000000E+0002
43  5.28000000000000E+0002
44  6.10000000000000E+0002
45  6.92000000000000E+0002
46  8.00000000000000E+0002
47  8.78000000000000E+0002
48  1.00350000000000E+0003
49  1.12900000000000E+0003
50  1.39400000000000E+0003
51  1.69000000000000E+0003
52  1.89800000000000E+0003
53  2.10600000000000E+0003
54  2.55100000000000E+0003
55  3.18200000000000E+0003
56  3.86000000000000E+0003
57  4.19400000000000E+0003
58  4.52800000000000E+0003
59  5.04400000000000E+0003
60  5.87600000000000E+0003
61  6.22450000000000E+0003
62  6.57300000000000E+0003
63  7.25400000000000E+0003
64  7.83400000000000E+0003
65  8.16550000000000E+0003
66  8.49700000000000E+0003
67  9.39700000000000E+0003
68  1.03090000000000E+0004
69  1.05855000000000E+0004
70  1.08620000000000E+0004
71  1.17140000000000E+0004
72  1.24140000000000E+0004
73  1.25410000000000E+0004
74  1.26680000000000E+0004
75  1.29300000000000E+0004
76  1.29200000000000E+0004
77  1.28290000000000E+0004
78  1.27380000000000E+0004
79  1.26490000000000E+0004
80  1.26300000000000E+0004
81  1.27155000000000E+0004
82  1.28010000000000E+0004
83  1.30940000000000E+0004
84  1.31300000000000E+0004
85  1.31690000000000E+0004
86  1.31325000000000E+0004
87  1.30960000000000E+0004
88  1.31430000000000E+0004
89  1.29390000000000E+0004
90  1.29160000000000E+0004
91  1.28930000000000E+0004
92  1.28740000000000E+0004
93  1.29490000000000E+0004
94  1.29265000000000E+0004
95  1.29040000000000E+0004
96  1.29650000000000E+0004
97  1.32440000000000E+0004
98  1.32855000000000E+0004
99  1.33270000000000E+0004
100  1.34450000000000E+0004
101  1.36530000000000E+0004
102  1.37020000000000E+0004
103  1.37510000000000E+0004
104  1.40970000000000E+0004
105  1.43210000000000E+0004
106  1.44055000000000E+0004
107  1.44900000000000E+0004
108  1.49850000000000E+0004
109  1.49650000000000E+0004
110  1.51420000000000E+0004
111  1.53190000000000E+0004
112  1.54060000000000E+0004
113  1.53590000000000E+0004
114  1.56880000000000E+0004
115  1.56960000000000E+0004
116  1.57040000000000E+0004
117  1.58540000000000E+0004
118  1.60010000000000E+0004
119  1.59935000000000E+0004
120  1.59860000000000E+0004
121  1.61750000000000E+0004
122  1.63490000000000E+0004
123  1.62590000000000E+0004
124  1.61690000000000E+0004
125  1.60600000000000E+0004
126  1.66550000000000E+0004
127  1.65015000000000E+0004
128  1.63480000000000E+0004
129  1.62740000000000E+0004
130  1.63840000000000E+0004
131  1.64170000000000E+0004
132  1.64500000000000E+0004
133  1.66530000000000E+0004
134  1.64000000000000E+0004
135  1.63255000000000E+0004
136  1.62510000000000E+0004
137  1.63430000000000E+0004
138  1.62070000000000E+0004
139  1.61980000000000E+0004
140  1.61890000000000E+0004
141  1.61190000000000E+0004
142  1.60720000000000E+0004
143  1.58210000000000E+0004
144  1.58590000000000E+0004
145  1.58970000000000E+0004
146  1.58750000000000E+0004
147  1.57150000000000E+0004
148  1.57355000000000E+0004
149  1.57560000000000E+0004
150  1.53590000000000E+0004
151  1.54200000000000E+0004
152  1.54460000000000E+0004
153  1.54720000000000E+0004
154  1.50890000000000E+0004
155  1.50310000000000E+0004
156  1.49525000000000E+0004
157  1.48740000000000E+0004
158  1.48970000000000E+0004
159  1.46200000000000E+0004
160  1.45545000000000E+0004
161  1.44890000000000E+0004
162  1.44020000000000E+0004
163  1.40130000000000E+0004
164  1.39635000000000E+0004
165  1.39140000000000E+0004
166  1.38950000000000E+0004
167  1.36450000000000E+0004
168  1.37480000000000E+0004
169  1.38510000000000E+0004
170  1.36220000000000E+0004
171  1.33500000000000E+0004
172  1.33640000000000E+0004
173  1.32730000000000E+0004
174  1.31820000000000E+0004
175  1.30180000000000E+0004
176  1.32170000000000E+0004
177  1.30455000000000E+0004
178  1.28740000000000E+0004
179  1.30060000000000E+0004
180  1.27630000000000E+0004
181  1.26440000000000E+0004
182  1.25250000000000E+0004
183  1.26840000000000E+0004
184  1.22070000000000E+0004
185  1.22195000000000E+0004
186  1.22320000000000E+0004
187  1.23280000000000E+0004
188  1.20350000000000E+0004
189  1.19980000000000E+0004
190  1.19610000000000E+0004
191  1.18740000000000E+0004
192  1.16200000000000E+0004
193  1.15470000000000E+0004
194  1.14740000000000E+0004
195  1.11430000000000E+0004
196  1.12880000000000E+0004
197  1.12275000000000E+0004
198  1.11670000000000E+0004
199  1.09280000000000E+0004
200  1.05990000000000E+0004
201  1.05600000000000E+0004
202  1.04740000000000E+0004
203  1.03880000000000E+0004
204  1.04410000000000E+0004
205  1.04500000000000E+0004
206  1.03500000000000E+0004
207  1.02500000000000E+0004
208  1.00610000000000E+0004
209  9.96400000000000E+0003
210  9.92850000000000E+0003
211  9.89300000000000E+0003
212  9.69000000000000E+0003
213  9.70200000000000E+0003
214  9.63900000000000E+0003
215  9.57600000000000E+0003
216  9.57700000000000E+0003
217  9.32400000000000E+0003
218  9.18550000000000E+0003
219  9.04700000000000E+0003
220  9.06500000000000E+0003
221  9.13600000000000E+0003
222  9.04200000000000E+0003
223  8.94800000000000E+0003
224  8.94100000000000E+0003
225  8.65400000000000E+0003
226  8.61450000000000E+0003
227  8.57500000000000E+0003
228  8.52800000000000E+0003
229  8.60600000000000E+0003
230  8.37000000000000E+0003
231  8.36850000000000E+0003
232  8.36700000000000E+0003
233  8.36600000000000E+0003
234  8.39500000000000E+0003
235  8.36650000000000E+0003
236  8.33800000000000E+0003
237  8.34500000000000E+0003
238  8.36600000000000E+0003
239  8.32850000000000E+0003
240  8.29100000000000E+0003
241  8.07900000000000E+0003
242  7.89200000000000E+0003
