живое время (секунд) 4017,90
кэВ    набор
1  1.03000000000000E+0002
2  1.06000000000000E+0002
3  1.09000000000000E+0002
4  1.34000000000000E+0002
5  1.19000000000000E+0002
6  1.00000000000000E+0002
7  1.07500000000000E+0002
8  1.15000000000000E+0002
9  1.24000000000000E+0002
10  1.25000000000000E+0002
11  1.31000000000000E+0002
12  1.37000000000000E+0002
13  1.04000000000000E+0002
14  1.19000000000000E+0002
15  1.18500000000000E+0002
16  1.18000000000000E+0002
17  1.28000000000000E+0002
18  1.20000000000000E+0002
19  1.21000000000000E+0002
20  1.22000000000000E+0002
21  1.06000000000000E+0002
22  9.70000000000000E+0001
23  9.20000000000000E+0001
24  8.70000000000000E+0001
25  1.05000000000000E+0002
26  9.20000000000000E+0001
27  1.03000000000000E+0002
28  1.14000000000000E+0002
29  9.60000000000000E+0001
30  1.04000000000000E+0002
31  1.13000000000000E+0002
32  1.17500000000000E+0002
33  1.22000000000000E+0002
34  1.34000000000000E+0002
35  1.27000000000000E+0002
36  1.38000000000000E+0002
37  1.49000000000000E+0002
38  1.63000000000000E+0002
39  1.60000000000000E+0002
40  1.78000000000000E+0002
41  1.96000000000000E+0002
42  2.38000000000000E+0002
43  2.55000000000000E+0002
44  2.77500000000000E+0002
45  3.00000000000000E+0002
46  3.79000000000000E+0002
47  4.54000000000000E+0002
48  4.88000000000000E+0002
49  5.22000000000000E+0002
50  6.94000000000000E+0002
51  8.56000000000000E+0002
52  9.36000000000000E+0002
53  1.01600000000000E+0003
54  1.26600000000000E+0003
55  1.49900000000000E+0003
56  1.60050000000000E+0003
57  1.70200000000000E+0003
58  1.93900000000000E+0003
59  2.19300000000000E+0003
60  2.40600000000000E+0003
61  2.59050000000000E+0003
62  2.77500000000000E+0003
63  2.90100000000000E+0003
64  3.24700000000000E+0003
65  3.33800000000000E+0003
66  3.42900000000000E+0003
67  3.75600000000000E+0003
68  4.11600000000000E+0003
69  4.16750000000000E+0003
70  4.21900000000000E+0003
71  4.53000000000000E+0003
72  4.63400000000000E+0003
73  4.66650000000000E+0003
74  4.69900000000000E+0003
75  4.58100000000000E+0003
76  4.70000000000000E+0003
77  4.69550000000000E+0003
78  4.69100000000000E+0003
79  4.69900000000000E+0003
80  4.70200000000000E+0003
81  4.71200000000000E+0003
82  4.72200000000000E+0003
83  4.86800000000000E+0003
84  4.85700000000000E+0003
85  4.82900000000000E+0003
86  4.80100000000000E+0003
87  4.84100000000000E+0003
88  4.70000000000000E+0003
89  4.74200000000000E+0003
90  4.76000000000000E+0003
91  4.77800000000000E+0003
92  4.83900000000000E+0003
93  4.84600000000000E+0003
94  4.81100000000000E+0003
95  4.77600000000000E+0003
96  4.87300000000000E+0003
97  4.73900000000000E+0003
98  4.84700000000000E+0003
99  4.95500000000000E+0003
100  5.16300000000000E+0003
101  5.14700000000000E+0003
102  5.20150000000000E+0003
103  5.25600000000000E+0003
104  5.43900000000000E+0003
105  5.46000000000000E+0003
106  5.50850000000000E+0003
107  5.55700000000000E+0003
108  5.53700000000000E+0003
109  5.69500000000000E+0003
110  5.72550000000000E+0003
111  5.75600000000000E+0003
112  5.71700000000000E+0003
113  6.05600000000000E+0003
114  6.01300000000000E+0003
115  5.97000000000000E+0003
116  6.07500000000000E+0003
117  6.12000000000000E+0003
118  6.13800000000000E+0003
119  6.16250000000000E+0003
120  6.18700000000000E+0003
121  6.35800000000000E+0003
122  6.29200000000000E+0003
123  6.28650000000000E+0003
124  6.28100000000000E+0003
125  6.44500000000000E+0003
126  6.29200000000000E+0003
127  6.28550000000000E+0003
128  6.27900000000000E+0003
129  6.36800000000000E+0003
130  6.28800000000000E+0003
131  6.36900000000000E+0003
132  6.45000000000000E+0003
133  6.42500000000000E+0003
134  6.27200000000000E+0003
135  6.26500000000000E+0003
136  6.25800000000000E+0003
137  6.46400000000000E+0003
138  6.41900000000000E+0003
139  6.42400000000000E+0003
140  6.42900000000000E+0003
141  6.25700000000000E+0003
142  6.52700000000000E+0003
143  6.45350000000000E+0003
144  6.38000000000000E+0003
145  6.31000000000000E+0003
146  6.36700000000000E+0003
147  6.28600000000000E+0003
148  6.29550000000000E+0003
149  6.30500000000000E+0003
150  6.29700000000000E+0003
151  6.28000000000000E+0003
152  6.29250000000000E+0003
153  6.30500000000000E+0003
154  6.12600000000000E+0003
155  6.14600000000000E+0003
156  6.07850000000000E+0003
157  6.01100000000000E+0003
158  6.00400000000000E+0003
159  6.01500000000000E+0003
160  5.99000000000000E+0003
161  5.96500000000000E+0003
162  5.85900000000000E+0003
163  5.91500000000000E+0003
164  5.94100000000000E+0003
165  5.96700000000000E+0003
166  5.88500000000000E+0003
167  5.91600000000000E+0003
168  5.86100000000000E+0003
169  5.80600000000000E+0003
170  5.79800000000000E+0003
171  5.75000000000000E+0003
172  5.74300000000000E+0003
173  5.73600000000000E+0003
174  5.60200000000000E+0003
175  5.80600000000000E+0003
176  5.69700000000000E+0003
177  5.69950000000000E+0003
178  5.70200000000000E+0003
179  5.84800000000000E+0003
180  5.83600000000000E+0003
181  5.78050000000000E+0003
182  5.72500000000000E+0003
183  5.77900000000000E+0003
184  5.68100000000000E+0003
185  5.77100000000000E+0003
186  5.86100000000000E+0003
187  5.79300000000000E+0003
188  5.86000000000000E+0003
189  5.90050000000000E+0003
190  5.94100000000000E+0003
191  5.82700000000000E+0003
192  5.72900000000000E+0003
193  5.60650000000000E+0003
194  5.48400000000000E+0003
195  5.56100000000000E+0003
196  5.49000000000000E+0003
197  5.50400000000000E+0003
198  5.51800000000000E+0003
199  5.26800000000000E+0003
200  5.17900000000000E+0003
201  5.27800000000000E+0003
202  5.37700000000000E+0003
203  5.14100000000000E+0003
204  5.07100000000000E+0003
205  4.92400000000000E+0003
206  4.96550000000000E+0003
207  5.00700000000000E+0003
208  4.73500000000000E+0003
209  4.75300000000000E+0003
210  4.73550000000000E+0003
211  4.71800000000000E+0003
