живое время (секунд) 52524,00
кэВ    набор
1  0.00000000000000E+0000
2  1.00500000000000E+0003
3  9.88500000000000E+0002
4  9.72000000000000E+0002
5  9.14000000000000E+0002
6  8.46000000000000E+0002
7  8.47500000000000E+0002
8  8.49000000000000E+0002
9  8.42000000000000E+0002
10  8.38000000000000E+0002
11  8.28000000000000E+0002
12  8.18000000000000E+0002
13  8.06000000000000E+0002
14  7.73000000000000E+0002
15  8.09000000000000E+0002
16  8.45000000000000E+0002
17  7.17000000000000E+0002
18  7.48000000000000E+0002
19  7.37500000000000E+0002
20  7.27000000000000E+0002
21  6.35000000000000E+0002
22  5.70000000000000E+0002
23  5.37000000000000E+0002
24  5.04000000000000E+0002
25  4.92000000000000E+0002
26  4.13000000000000E+0002
27  3.43000000000000E+0002
28  3.60500000000000E+0002
29  3.78000000000000E+0002
30  3.57000000000000E+0002
31  3.37000000000000E+0002
32  3.33500000000000E+0002
33  3.30000000000000E+0002
34  3.23000000000000E+0002
35  3.73000000000000E+0002
36  3.77500000000000E+0002
37  3.82000000000000E+0002
38  4.00000000000000E+0002
39  4.26000000000000E+0002
40  4.52000000000000E+0002
41  4.78000000000000E+0002
42  5.82000000000000E+0002
43  6.58000000000000E+0002
44  6.83000000000000E+0002
45  7.08000000000000E+0002
46  8.24000000000000E+0002
47  1.02800000000000E+0003
48  1.10650000000000E+0003
49  1.18500000000000E+0003
50  1.48700000000000E+0003
51  1.79200000000000E+0003
52  1.99500000000000E+0003
53  2.19800000000000E+0003
54  2.66600000000000E+0003
55  3.18000000000000E+0003
56  3.71200000000000E+0003
57  4.05550000000000E+0003
58  4.39900000000000E+0003
59  5.04500000000000E+0003
60  5.84800000000000E+0003
61  6.16600000000000E+0003
62  6.48400000000000E+0003
63  7.01600000000000E+0003
64  7.77300000000000E+0003
65  8.22750000000000E+0003
66  8.68200000000000E+0003
67  9.11700000000000E+0003
68  9.98400000000000E+0003
69  1.02990000000000E+0004
70  1.06140000000000E+0004
71  1.13250000000000E+0004
72  1.19760000000000E+0004
73  1.21750000000000E+0004
74  1.23740000000000E+0004
75  1.26710000000000E+0004
76  1.24080000000000E+0004
77  1.25695000000000E+0004
78  1.27310000000000E+0004
79  1.27700000000000E+0004
80  1.26040000000000E+0004
81  1.26400000000000E+0004
82  1.26760000000000E+0004
83  1.28220000000000E+0004
84  1.29120000000000E+0004
85  1.32710000000000E+0004
86  1.32215000000000E+0004
87  1.31720000000000E+0004
88  1.32140000000000E+0004
89  1.29870000000000E+0004
90  1.30305000000000E+0004
91  1.30740000000000E+0004
92  1.27180000000000E+0004
93  1.28560000000000E+0004
94  1.29200000000000E+0004
95  1.29840000000000E+0004
96  1.30490000000000E+0004
97  1.31690000000000E+0004
98  1.32365000000000E+0004
99  1.33040000000000E+0004
100  1.35010000000000E+0004
101  1.37710000000000E+0004
102  1.37820000000000E+0004
103  1.37930000000000E+0004
104  1.42750000000000E+0004
105  1.42120000000000E+0004
106  1.43045000000000E+0004
107  1.43970000000000E+0004
108  1.48970000000000E+0004
109  1.47610000000000E+0004
110  1.48790000000000E+0004
111  1.49970000000000E+0004
112  1.52100000000000E+0004
113  1.51720000000000E+0004
114  1.55840000000000E+0004
115  1.55355000000000E+0004
116  1.54870000000000E+0004
117  1.60770000000000E+0004
118  1.56700000000000E+0004
119  1.57580000000000E+0004
120  1.58460000000000E+0004
121  1.59400000000000E+0004
122  1.61820000000000E+0004
123  1.60255000000000E+0004
124  1.58690000000000E+0004
125  1.61230000000000E+0004
126  1.64150000000000E+0004
127  1.63750000000000E+0004
128  1.63350000000000E+0004
129  1.63180000000000E+0004
130  1.61920000000000E+0004
131  1.62150000000000E+0004
132  1.62380000000000E+0004
133  1.62560000000000E+0004
134  1.62850000000000E+0004
135  1.61710000000000E+0004
136  1.60570000000000E+0004
