живое время (секунд) 1692,10
кэВ    набор
1  5.50000000000000E+0001
2  5.35000000000000E+0001
3  5.20000000000000E+0001
4  5.00000000000000E+0001
5  4.40000000000000E+0001
6  5.10000000000000E+0001
7  4.60000000000000E+0001
8  4.10000000000000E+0001
9  4.30000000000000E+0001
10  5.00000000000000E+0001
11  4.95000000000000E+0001
12  4.90000000000000E+0001
13  4.50000000000000E+0001
14  5.20000000000000E+0001
15  5.80000000000000E+0001
16  6.40000000000000E+0001
17  5.40000000000000E+0001
18  5.20000000000000E+0001
19  4.75000000000000E+0001
20  4.30000000000000E+0001
21  4.30000000000000E+0001
22  4.10000000000000E+0001
23  4.35000000000000E+0001
24  4.60000000000000E+0001
25  3.70000000000000E+0001
26  5.10000000000000E+0001
27  4.40000000000000E+0001
28  3.70000000000000E+0001
29  4.70000000000000E+0001
30  4.50000000000000E+0001
31  5.60000000000000E+0001
32  5.10000000000000E+0001
33  4.60000000000000E+0001
34  5.40000000000000E+0001
35  6.10000000000000E+0001
36  5.30000000000000E+0001
37  4.50000000000000E+0001
38  6.00000000000000E+0001
39  6.70000000000000E+0001
40  7.60000000000000E+0001
41  8.50000000000000E+0001
42  9.30000000000000E+0001
43  1.02000000000000E+0002
44  1.18000000000000E+0002
45  1.34000000000000E+0002
46  1.48000000000000E+0002
47  2.08000000000000E+0002
48  2.17000000000000E+0002
49  2.26000000000000E+0002
50  2.69000000000000E+0002
51  3.56000000000000E+0002
52  3.82500000000000E+0002
53  4.09000000000000E+0002
54  5.31000000000000E+0002
55  6.09000000000000E+0002
56  6.67500000000000E+0002
57  7.26000000000000E+0002
58  8.25000000000000E+0002
59  9.51000000000000E+0002
60  1.06600000000000E+0003
61  1.10150000000000E+0003
62  1.13700000000000E+0003
63  1.28200000000000E+0003
64  1.42800000000000E+0003
65  1.46600000000000E+0003
66  1.50400000000000E+0003
67  1.62300000000000E+0003
68  1.81000000000000E+0003
69  1.83550000000000E+0003
70  1.86100000000000E+0003
71  1.94000000000000E+0003
72  2.02400000000000E+0003
73  2.05050000000000E+0003
74  2.07700000000000E+0003
75  2.00000000000000E+0003
76  2.05900000000000E+0003
77  2.03700000000000E+0003
78  2.01500000000000E+0003
79  2.05500000000000E+0003
80  2.04300000000000E+0003
81  2.06400000000000E+0003
82  2.08500000000000E+0003
83  2.00700000000000E+0003
84  2.06200000000000E+0003
85  2.03200000000000E+0003
86  2.00200000000000E+0003
87  2.05000000000000E+0003
88  2.02400000000000E+0003
89  1.99600000000000E+0003
90  2.00300000000000E+0003
91  2.01000000000000E+0003
92  2.00900000000000E+0003
93  2.04400000000000E+0003
94  2.03350000000000E+0003
95  2.02300000000000E+0003
96  2.03100000000000E+0003
97  2.05900000000000E+0003
98  2.03250000000000E+0003
