0   alpha=0.0261 beta=-0.1150,    на последнем интервале alpha=0.0383, beta= 1.2173
1   alpha=0.0274 beta=-0.2031,    на последнем интервале alpha=0.0424, beta= 1.2167
2   alpha=0.0287 beta=-0.2824,    на последнем интервале alpha=0.0465, beta= 1.2161
3   alpha=0.0291 beta=-0.3855,    на последнем интервале alpha=0.0489, beta= 1.2157
4   alpha=0.0272 beta=-0.1952,    на последнем интервале alpha=0.0450, beta= 1.2163
5   alpha=0.0266 beta=-0.4601,    на последнем интервале alpha=0.0500, beta= 1.2155
6   alpha=0.0275 beta=-0.3268,    на последнем интервале alpha=0.0505, beta= 1.2155
7   alpha=0.0285 beta=-0.1979,    на последнем интервале alpha=0.0511, beta= 1.2154
8   alpha=0.0270 beta=-0.4390,    на последнем интервале alpha=0.0532, beta= 1.2150
9   alpha=0.0279 beta=0.0516,    на последнем интервале alpha=0.0557, beta= 1.2147
10   alpha=0.0296 beta=0.1561,    на последнем интервале alpha=0.0562, beta= 1.2146
11   alpha=0.0314 beta=0.2505,    на последнем интервале alpha=0.0567, beta= 1.2145
12   alpha=0.0295 beta=-0.1717,    на последнем интервале alpha=0.0567, beta= 1.2145
13   alpha=0.0263 beta=-0.5362,    на последнем интервале alpha=0.0493, beta= 1.2156
14   alpha=0.0305 beta=0.3708,    на последнем интервале alpha=0.0456, beta= 1.2162
15   alpha=0.0346 beta=1.1174,    на последнем интервале alpha=0.0419, beta= 1.2168
16   alpha=0.0292 beta=0.4452,    на последнем интервале alpha=0.0394, beta= 1.2172
17   alpha=0.0307 beta=0.9281,    на последнем интервале alpha=0.0337, beta= 1.2180
18   alpha=0.0293 beta=0.8374,    на последнем интервале alpha=0.0353, beta= 1.2178
19   alpha=0.0278 beta=0.7293,    на последнем интервале alpha=0.0369, beta= 1.2175
20   alpha=0.0263 beta=0.0392,    на последнем интервале alpha=0.0415, beta= 1.2168
21   alpha=0.0279 beta=0.5879,    на последнем интервале alpha=0.0408, beta= 1.2169
22   alpha=0.0265 beta=0.4985,    на последнем интервале alpha=0.0367, beta= 1.2176
23   alpha=0.0252 beta=0.4100,    на последнем интервале alpha=0.0327, beta= 1.2182
24   alpha=0.0244 beta=0.3021,    на последнем интервале alpha=0.0376, beta= 1.2174
25   alpha=0.0273 beta=1.8517,    на последнем интервале alpha=0.0366, beta= 1.2176
26   alpha=0.0257 beta=1.3286,    на последнем интервале alpha=0.0381, beta= 1.2174
27   alpha=0.0242 beta=0.8546,    на последнем интервале alpha=0.0397, beta= 1.2171
28   alpha=0.0265 beta=1.1103,    на последнем интервале alpha=0.0394, beta= 1.2172
29   alpha=0.0256 beta=0.9551,    на последнем интервале alpha=0.0312, beta= 1.2184
30   alpha=0.0323 beta=1.9108,    на последнем интервале alpha=0.0341, beta= 1.2180
31   alpha=0.0304 beta=1.7454,    на последнем интервале alpha=0.0341, beta= 1.2180
32   alpha=0.0285 beta=1.5685,    на последнем интервале alpha=0.0341, beta= 1.2180
33   alpha=0.0334 beta=1.8562,    на последнем интервале alpha=0.0401, beta= 1.2171
34   alpha=0.0327 beta=1.1157,    на последнем интервале alpha=0.0465, beta= 1.2161
35   alpha=0.0324 beta=1.0095,    на последнем интервале alpha=0.0449, beta= 1.2163
36   alpha=0.0320 beta=0.8913,    на последнем интервале alpha=0.0433, beta= 1.2166
37   alpha=0.0400 beta=1.1220,    на последнем интервале alpha=0.0419, beta= 1.2168
38   alpha=0.0406 beta=0.9268,    на последнем интервале alpha=0.0443, beta= 1.2164
39   alpha=0.0462 beta=1.5164,    на последнем интервале alpha=0.0466, beta= 1.2161
40   alpha=0.0520 beta=2.0772,    на последнем интервале alpha=0.0489, beta= 1.2157
41   alpha=0.0630 beta=2.2490,    на последнем интервале alpha=0.0511, beta= 1.2154
42   alpha=0.0642 beta=1.2350,    на последнем интервале alpha=0.0617, beta= 1.2137
43   alpha=0.0728 beta=1.5216,    на последнем интервале alpha=0.0696, beta= 1.2125
44   alpha=0.0815 beta=1.7855,    на последнем интервале alpha=0.0776, beta= 1.2112
45   alpha=0.0958 beta=1.5011,    на последнем интервале alpha=0.0853, beta= 1.2100
46   alpha=0.1237 beta=2.0210,    на последнем интервале alpha=0.0970, beta= 1.2081
47   alpha=0.1339 beta=1.6878,    на последнем интервале alpha=0.1165, beta= 1.2050
48   alpha=0.1441 beta=1.4244,    на последнем интервале alpha=0.1360, beta= 1.2017
49   alpha=0.1783 beta=1.5441,    на последнем интервале alpha=0.1577, beta= 1.1981
50   alpha=0.2248 beta=1.6841,    на последнем интервале alpha=0.2027, beta= 1.1902
51   alpha=0.2421 beta=1.3420,    на последнем интервале alpha=0.2286, beta= 1.1856
52   alpha=0.2596 beta=1.0753,    на последнем интервале alpha=0.2544, beta= 1.1808
53   alpha=0.3348 beta=1.4845,    на последнем интервале alpha=0.2952, beta= 1.1731
54   alpha=0.3904 beta=1.5105,    на последнем интервале alpha=0.3545, beta= 1.1615
55   alpha=0.4213 beta=1.4521,    на последнем интервале alpha=0.3852, beta= 1.1552
56   alpha=0.4522 beta=1.4026,    на последнем интервале alpha=0.4158, beta= 1.1489
57   alpha=0.5191 beta=1.4172,    на последнем интервале alpha=0.4721, beta= 1.1367
58   alpha=0.5944 beta=1.4306,    на последнем интервале alpha=0.5264, beta= 1.1246
59   alpha=0.6554 beta=1.3811,    на последнем интервале alpha=0.5966, beta= 1.1082
60   alpha=0.6842 beta=1.3738,    на последнем интервале alpha=0.6070, beta= 1.1057
61   alpha=0.7130 beta=1.3671,    на последнем интервале alpha=0.6173, beta= 1.1033
62   alpha=0.7883 beta=1.3519,    на последнем интервале alpha=0.7083, beta= 1.0806
63   alpha=0.8645 beta=1.3115,    на последнем интервале alpha=0.7907, beta= 1.0591
64   alpha=0.8947 beta=1.2950,    на последнем интервале alpha=0.8136, beta= 1.0529
65   alpha=0.9248 beta=1.2797,    на последнем интервале alpha=0.8364, beta= 1.0467
66   alpha=1.0027 beta=1.3401,    на последнем интервале alpha=0.8939, beta= 1.0307
67   alpha=1.0945 beta=1.4247,    на последнем интервале alpha=0.9529, beta= 1.0138
68   alpha=1.1089 beta=1.3294,    на последнем интервале alpha=0.9883, beta= 1.0035
69   alpha=1.1234 beta=1.2393,    на последнем интервале alpha=1.0234, beta= 0.9930
70   alpha=1.1961 beta=1.3696,    на последнем интервале alpha=1.0157, beta= 0.9953
71   alpha=1.2596 beta=1.5124,    на последнем интервале alpha=1.0775, beta= 0.9766
72   alpha=1.2598 beta=1.4628,    на последнем интервале alpha=1.0891, beta= 0.9731
73   alpha=1.2601 beta=1.4141,    на последнем интервале alpha=1.1006, beta= 0.9695
74   alpha=1.2557 beta=1.3672,    на последнем интервале alpha=1.1003, beta= 0.9696
75   alpha=1.2747 beta=1.3814,    на последнем интервале alpha=1.1009, beta= 0.9694
76   alpha=1.2548 beta=1.3411,    на последнем интервале alpha=1.0991, beta= 0.9700
77   alpha=1.2349 beta=1.2999,    на последнем интервале alpha=1.0973, beta= 0.9705
78   alpha=1.2669 beta=1.3575,    на последнем интервале alpha=1.0871, beta= 0.9737
79   alpha=1.2516 beta=1.2558,    на последнем интервале alpha=1.1138, beta= 0.9654
80   alpha=1.2619 beta=1.3178,    на последнем интервале alpha=1.1024, beta= 0.9689
81   alpha=1.2722 beta=1.3798,    на последнем интервале alpha=1.0910, beta= 0.9725
82   alpha=1.2647 beta=1.2283,    на последнем интервале alpha=1.1191, beta= 0.9637
83   alpha=1.2619 beta=1.1703,    на последнем интервале alpha=1.1239, beta= 0.9622
